,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,transformer_esm,0.9635609321607079,0.9711234927201575,0.9798764376921066,0.9635609321607079,0.9615633899095295
1,transformer_esm,0.9673945872758929,0.9700203084669039,0.9730703157763126,0.9673945872758929,0.9595192264133567
2,transformer_esm,0.9709786018387198,0.9652480168203134,0.9596716160264832,0.9709786018387198,0.9524620562769271
3,transformer_esm,0.9649430930588531,0.9707832182480902,0.9774939124752589,0.9649430930588531,0.9608916306768188
4,transformer_esm,0.9233136879058127,0.8430869365477491,0.8128754525031593,0.9233136879058127,0.7669678512589354
5,transformer_esm,0.9609920634654476,0.9661480968629051,0.9718637456769895,0.9609920634654476,0.9556174998476433
6,transformer_esm,0.965435733064508,0.959924798007678,0.9545592087823165,0.965435733064508,0.9450494141493276
7,transformer_esm,0.963126786582719,0.97056558261127,0.9791705917080762,0.963126786582719,0.9607909877468661
8,transformer_esm,0.965842587534569,0.9541579685927584,0.9432293895552659,0.965842587534569,0.936502127244022
9,transformer_esm,0.9551557034420416,0.9098093148453934,0.8794788753076398,0.9551557034420416,0.8704370999341416
