,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,transformer_esm,0.9594588801295639,0.47527997125334537,0.46568627450980393,0.5996618000809775,0.8353845632717746
1,transformer_esm,0.8876501456800121,0.5071683272392811,0.5407223796033994,0.49313896982222893,0.9400900668502221
2,transformer_esm,0.994965108247791,0.7701922992588695,0.7111111111111111,0.994965108247791,0.976188461903036
3,transformer_esm,0.8943125253054518,0.5594821840385215,0.5875,0.5589453283159074,0.9708863323296919
4,transformer_esm,0.9911337636252491,0.5180141964884935,0.4791666666666667,0.6194586022657806,0.9583459740894998
5,transformer_esm,0.8697248694890822,0.8498652862289227,0.8488710011305912,0.8697248694890822,0.9865044100589324
6,transformer_esm,0.9641390135495452,0.5977001305836644,0.59375,0.6025868834684658,0.9631836392514569
7,transformer_esm,0.8882011098673399,0.6623887511208864,0.7142857142857143,0.6344293641909571,0.943468493098481
8,transformer_esm,0.8788267797175315,0.6587965955613014,0.7142857142857143,0.6277334140839511,0.9059913257081749
9,transformer_esm,0.9805558863457737,0.6213749463749464,0.6071428571428571,0.7003970616755526,0.9152838669488779
