,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6121086985698246,0.5560835037036277,0.5472702416348448,0.6121086985698246,0.4665089920923265
1,Transformer-FNET-128,0.6500235689243733,0.4854397156827999,0.46651534060655936,0.6500235689243733,0.35150581755786314
2,Transformer-MHA-64,0.7354142729477849,0.8092818347369007,0.9429824561403509,0.7354142729477849,0.7677850870573949
3,Transformer-MHA-128,0.7676734198181919,0.35890650415323827,0.4141542416314914,0.7676734198181919,0.2585412491694975
4,Transformer-FNET-64,0.7180019117016436,0.6229578583592987,0.5968550563421462,0.7180019117016436,0.39647536708045145
5,Transformer-FNET-128,0.7257935689571079,0.7065753691228837,0.6910768830831221,0.7257935689571079,0.6805352454332113
6,Transformer-MHA-64,0.7409619721952162,0.5340483318369043,0.49910802229085144,0.7409619721952162,0.4371682919380491
7,Transformer-MHA-128,0.6937938439278922,0.4021560543460438,0.4151499199505572,0.6937938439278922,0.2616710847742755
8,Transformer-FNET-64,0.5890504342246969,0.46653929056544047,0.4391675374433995,0.5890504342246969,0.3344311863316661
9,Transformer-FNET-128,0.6955811540261942,0.4019744465826947,0.41254122855938213,0.6955811540261942,0.25928050869626645
10,Transformer-MHA-64,0.6625486518247912,0.376864315446889,0.4077131973624703,0.6625486518247912,0.2194332210512625
11,Transformer-MHA-128,0.7571361465463342,0.386734062506961,0.4252258815938102,0.7571361465463342,0.26308754557873276
