,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9480826386503833,0.8692456373188678,0.8556870679441266,0.9480826386503833,0.9946880351476357
1,Transformer-FNET-128,0.9658543173708483,0.9492492562230439,0.9514355685136887,0.9658543173708483,0.9981521232023105
2,Transformer-MHA-64,0.9686530495016077,0.9674843861126846,0.9771549696184174,0.9686530495016077,0.9985577556971318
3,Transformer-MHA-128,0.9686087817249404,0.9532691638682064,0.9570071114138106,0.9686087817249404,0.9980623857369428
4,Transformer-FNET-64,0.9527363229732344,0.9341590032421182,0.9368578842285136,0.9527363229732344,0.9977011798610917
5,Transformer-FNET-128,0.9573235993779915,0.9422345865177584,0.9450193339969417,0.9573235993779915,0.9977464768967533
6,Transformer-MHA-64,0.9658838105786732,0.8668921033186479,0.8442414864138225,0.9055160724175063,0.9973869237982681
7,Transformer-MHA-128,0.9660976281051527,0.9462300507215708,0.9485258552385687,0.9660976281051527,0.9981968882392548
8,Transformer-FNET-64,0.957054361262644,0.756839404518774,0.7457317235213858,0.8444597305258623,0.9895890676385055
9,Transformer-FNET-128,0.9697902624818819,0.9682776139421619,0.9721361445852321,0.9697902624818819,0.9986925435279803
10,Transformer-MHA-64,0.9665995054988693,0.9283124384778935,0.9237997011387777,0.9665995054988693,0.997477186585916
11,Transformer-MHA-128,0.9671695653415328,0.9232930921238217,0.9303491062521175,0.9671695653415328,0.9984224850202609
12,Transformer-FNET-64,0.95298645405751,0.756236218324319,0.741442571176247,0.8408704006389794,0.9885375934940188
13,Transformer-FNET-128,0.9592405361099006,0.8585818447219942,0.8477866239286089,0.8992880026030319,0.9968020335245568
14,Transformer-MHA-64,0.9941952311736466,0.9691248183808052,0.9522467082054917,0.9941952311736466,0.9960418969516743
15,Transformer-MHA-128,0.998028022448844,0.989119335542235,0.9813880113182745,0.998028022448844,0.9991435183393694
16,Transformer-FNET-64,0.9481108183275707,0.707174509269453,0.6741342599341754,0.8365683691125623,0.9810658437374574
17,Transformer-FNET-128,0.9439842416244076,0.7849957205499629,0.7662356860177186,0.832927272021536,0.9874949122988682
18,Transformer-MHA-64,0.9677775748226389,0.8850936587917112,0.8932188700218826,0.9072914763962241,0.9985127545506547
19,Transformer-MHA-128,0.9714501585268235,0.9363653239162043,0.9321506463122877,0.9714501585268235,0.9981975368705948
20,Transformer-FNET-64,0.9786834503118796,0.8819867087448053,0.8646782085929988,0.9175157346673871,0.9987376073199583
21,Transformer-FNET-128,0.9503854388709244,0.8711207603188307,0.8473337589196321,0.9503854388709244,0.9968013258654896
22,Transformer-MHA-64,0.9603255045234478,0.8673102398782507,0.8619166643060034,0.9003051604907324,0.995186121346603
23,Transformer-MHA-128,0.9640210868794307,0.9076682610412368,0.9205923076021272,0.9037697689494664,0.9986476147571336
24,Transformer-FNET-64,0.976442340696266,0.73992140079181,0.6984657046074425,0.8137019505802215,0.982718517020181
25,Transformer-FNET-128,0.9567836395123421,0.8129733065124849,0.7996933841420332,0.8442208583932431,0.9973416193584835
26,Transformer-MHA-64,0.9699750353237135,0.9605338060763281,0.9610705706248311,0.9699750353237135,0.9978377037851378
27,Transformer-MHA-128,0.9686193001947176,0.8377210882568071,0.8443647959617083,0.8546640884071038,0.9983775419733373
28,Transformer-FNET-64,0.9508971290725292,0.6906703935480508,0.6467068542984031,0.7924142742271076,0.9868162454180196
29,Transformer-FNET-128,0.9597011659508456,0.8566721308628584,0.8331291544237891,0.9597011659508456,0.9935316341409932
30,Transformer-MHA-64,0.9689341869248231,0.9349938783330479,0.93101176436312,0.9689341869248231,0.9986027371316107
31,Transformer-MHA-128,0.9755203198860668,0.969454035215829,0.9695882302566541,0.9755203198860668,0.9986475103331227
