,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.5398675059225518,0.26612545774885726,0.3016898886464104,0.3239205035535311,0.7342595189669061
1,Transformer-FNET-128,0.5556848010976451,0.3254156219351683,0.4082218330938697,0.4167636008232338,0.4603717253535805
2,Transformer-MHA-64,0.6485477485477485,0.4593600248376776,0.4433089500860585,0.5558980701837845,0.9202168062386644
3,Transformer-MHA-128,0.6009771489129287,0.3747363114683678,0.39187898089171974,0.36058628934775727,0.8619068182157386
4,Transformer-FNET-64,0.562106344216436,0.26232107830491774,0.2624556133865162,0.281053172108218,0.7195048389569112
5,Transformer-FNET-128,0.4700561755607627,0.23087006677776875,0.2719489414694894,0.25639427757859784,0.6922133292470342
6,Transformer-MHA-64,0.6720642592202225,0.2133474911095538,0.21612535612535613,0.268825703688089,0.6669219811399117
7,Transformer-MHA-128,0.5983467433008718,0.27333417943963734,0.28386774875069193,0.3263709508913846,0.8076352288938962
8,Transformer-FNET-64,0.37307576046108165,0.20570915226982273,0.28742298569672686,0.22384545627664892,0.5337147631929351
9,Transformer-FNET-128,0.5218295805451768,0.30976625984690653,0.3763027429002533,0.39137218540888263,0.6329684429292581
10,Transformer-MHA-64,0.5326962283384301,0.2545679889132446,0.27818324724904564,0.31961773700305807,0.5948380970258822
11,Transformer-MHA-128,0.5581753703313336,0.3222698098849728,0.3337549807523469,0.33490522219880015,0.7045281682462912
12,Transformer-FNET-64,0.3622101734487056,0.22132856510071297,0.3073208322093196,0.24147344896580375,0.4709295193778817
13,Transformer-FNET-128,0.540097797207889,0.24901789066493218,0.25982905982905985,0.24927590640364106,0.7680066855249731
14,Transformer-MHA-64,0.6194150395985258,0.36746686657845695,0.361984392419175,0.4129433597323506,0.8050721843907962
15,Transformer-MHA-128,0.7824467835935726,0.306359352590929,0.308974358974359,0.36112928473549505,0.8979317023385184
16,Transformer-FNET-64,0.348353820830885,0.14196684020150568,0.20953781970454083,0.14929449464180786,0.4253236874473957
17,Transformer-FNET-128,0.6193516049020636,0.18183999984072047,0.2038854013823389,0.24774064196082543,0.5658820911183844
18,Transformer-MHA-64,0.5473300824218256,0.36057472039344024,0.39093256619029815,0.3648867216145504,0.6612070280480121
19,Transformer-MHA-128,0.5903807711147161,0.366960671777821,0.38498363798060736,0.3542284626688296,0.8210168192472849
20,Transformer-FNET-64,0.4439712852556889,0.2782816100930707,0.3514246947082768,0.2421661555940121,0.4987128658437813
21,Transformer-FNET-128,0.4068817268358553,0.15774928420026732,0.1991620704689017,0.1627526907343421,0.533181765059486
22,Transformer-MHA-64,0.7038912327903154,0.45621897246785614,0.4515170586170432,0.46926082186021023,0.9116133984107329
23,Transformer-MHA-128,0.9473006775759069,0.6311953144602354,0.5883778863658139,0.8119720093507773,0.797526594457536
24,Transformer-FNET-64,0.4889625919442433,0.12909086336027237,0.15812850595459288,0.1629875306480811,0.5085642788741733
25,Transformer-FNET-128,0.883071473209088,0.34654487856180505,0.33461171191798494,0.48167534902313885,0.8490326659379929
26,Transformer-MHA-64,0.7242166939414645,0.38999455930152993,0.4138526234918902,0.48281112929430964,0.6614806562966383
27,Transformer-MHA-128,0.6252798849129124,0.4864648915992729,0.47951583948496523,0.5359541870682106,0.8916589088303143
28,Transformer-FNET-64,0.5046651700321425,0.15620228956191845,0.1803700152297512,0.18924943876205344,0.5477287314150904
29,Transformer-FNET-128,0.5797682355021804,0.2482624873512877,0.2852106227106227,0.2484721009295059,0.5639615753282633
30,Transformer-MHA-64,0.6061909972460431,0.37150412364439245,0.38154011760672263,0.3637145983476259,0.9005640954208425
31,Transformer-MHA-128,0.6280262126592401,0.4013226000823598,0.39274706518091224,0.41868414177282676,0.9299469775709269
32,Transformer-FNET-64,0.5200534429892228,0.20375847205923195,0.24055137523965953,0.2600267214946114,0.6029514329092392
33,Transformer-FNET-128,0.46631093167790416,0.1904913249905267,0.2173371830764358,0.23315546583895208,0.5615131030766354
34,Transformer-MHA-64,0.6473120915781466,0.488572830769596,0.4922839506172839,0.48548406868360994,0.9772107590516306
35,Transformer-MHA-128,0.55038696437779,0.39556641845001084,0.4177022417153996,0.41279022328334253,0.675781529930923
