,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.848005656090105,0.6334283950930836,0.6689053100400032,0.848005656090105,0.5152344188082807
1,Transformer-FNET-128,0.926275481012865,0.8466212016968969,0.8044584263794451,0.926275481012865,0.9433308989849649
2,Transformer-MHA-64,0.6232406453827669,0.4990554490856789,0.6337122781983419,0.6232406453827669,0.3543103271638813
3,Transformer-MHA-128,0.8584175208016608,0.6113017440091623,0.6730142328219336,0.8584175208016608,0.4752979711747264
4,Transformer-FNET-64,0.9262072319487356,0.8258018515896333,0.779852445026377,0.9262072319487356,0.9281847132313576
5,Transformer-FNET-128,0.8277978029522828,0.6157034390185457,0.6659577111843086,0.8277978029522828,0.47237235333965233
6,Transformer-MHA-64,0.8507552351527634,0.641637287941966,0.6610325586434801,0.8507552351527634,0.5576166162545326
7,Transformer-MHA-128,0.8538558677848069,0.6068780794572735,0.6699617443925021,0.8538558677848069,0.45391132203003176
8,Transformer-FNET-64,0.8225340427966586,0.6052161442860474,0.6535989770817995,0.8225340427966586,0.46177603539102513
9,Transformer-FNET-128,0.8552576300001635,0.6292550360201511,0.6698162732031889,0.8552576300001635,0.5015997221634861
10,Transformer-MHA-64,0.9189474931750935,0.6583693205613411,0.6830369095429335,0.9189474931750935,0.6165054037289421
11,Transformer-MHA-128,0.8887568862079674,0.6354138835936237,0.6707214418672613,0.8887568862079674,0.5196620107655245
12,Transformer-FNET-64,0.9239868896408546,0.8063034321350168,0.7619038241677453,0.9239868896408546,0.9130751263524126
13,Transformer-FNET-128,0.8211147074689814,0.6128121201454937,0.6700188696295472,0.8211147074689814,0.4617376868363545
14,Transformer-MHA-64,0.815010298661174,0.6232504030433667,0.6602423197988289,0.815010298661174,0.5020429280788576
15,Transformer-MHA-128,0.7621581416638059,0.5458450934331907,0.6638118761023789,0.7621581416638059,0.3835417045154831
