,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.8889199515316334,0.6957532316079785,0.7195351379976259,0.732051724790757,0.995672577251358
1,Transformer-FNET-128,0.9921735283261326,0.9086299892320187,0.8970138159416766,0.9260286264377238,0.9916482245519499
2,Transformer-MHA-64,0.9220557076635504,0.8005873134133287,0.7961617061628544,0.9220557076635504,0.8897385918246976
3,Transformer-MHA-128,0.9419646049601658,0.7904507315604178,0.7867289652174306,0.8242190293401449,0.9299100495177163
4,Transformer-FNET-64,0.9650547065466296,0.8093351870735135,0.7851037580421114,0.8444228682283009,0.9973709006624235
5,Transformer-FNET-128,0.9821530322156059,0.9732291379424998,0.9673433951974838,0.9821530322156059,0.9995357173640297
6,Transformer-MHA-64,0.8101624783285042,0.5310822989892173,0.5358020494108223,0.7561516464399373,0.8698358284342789
7,Transformer-MHA-128,0.9350442916647089,0.6335495640038317,0.5948357879271018,0.8727080055537283,0.8172267945578052
8,Transformer-FNET-64,0.8611479821845418,0.6404446091131614,0.6438630109817962,0.7091806912107992,0.9937583947192273
9,Transformer-FNET-128,0.9171215786392303,0.9117089294348563,0.9339216291097187,0.9171215786392303,0.9985765404119411
10,Transformer-MHA-64,0.94326033496837,0.7522433816319383,0.7458468480251997,0.94326033496837,0.6501582326556281
11,Transformer-MHA-128,0.9408357090805397,0.7372766170195533,0.7201319419333201,0.823231245445472,0.9842584793239725
12,Transformer-FNET-64,0.8646396384431457,0.6623961758602175,0.6682647370458736,0.7565596836377524,0.9684102859774335
13,Transformer-FNET-128,0.9947796408909234,0.919896764576995,0.887163811115849,0.9947796408909234,0.9970335035456369
14,Transformer-MHA-64,0.9676401625787905,0.8831057967728254,0.878823407749996,0.9676401625787905,0.8060653667490656
15,Transformer-MHA-128,0.9772334556244742,0.8067012643497103,0.7634699745202538,0.9772334556244742,0.8784654727533107
16,Transformer-FNET-64,0.8238103420757682,0.562864372098713,0.5456556280810256,0.6784320464153385,0.9585720342799451
17,Transformer-FNET-128,0.8779410512720359,0.7280738570899888,0.7176047328488081,0.8194116478539002,0.9135350279534573
18,Transformer-MHA-64,0.8648826243018853,0.6139306400182182,0.618982225976024,0.8072237826817596,0.6559346077545072
19,Transformer-MHA-128,0.8626352043094849,0.5390429454354494,0.5414550918323717,0.8051261906888526,0.6032361843266838
20,Transformer-FNET-64,0.917083756711361,0.6862490010674878,0.6672390440319308,0.7552454467034737,0.9933966026626383
21,Transformer-FNET-128,0.8959102743319113,0.6666364499616745,0.6731731519546291,0.7378084612145152,0.9763377913018262
22,Transformer-MHA-64,0.9882629909870124,0.910183405197251,0.8646793095583901,0.9882629909870124,0.9919328369081643
23,Transformer-MHA-128,0.9715683670099844,0.8048955735905691,0.780933742051941,0.8501223211337363,0.9968165089988709
24,Transformer-FNET-64,0.9553405132300291,0.7825862196002175,0.7709732875446588,0.8359229490762754,0.9970311292647579
25,Transformer-FNET-128,0.9402903807613215,0.8746098242513629,0.8878923649718895,0.8776043553772335,0.9988241129120717
26,Transformer-MHA-64,0.9570743099089908,0.7280139076947596,0.7054485206452533,0.8932693559150581,0.9218650335446514
27,Transformer-MHA-128,0.9396305183333524,0.7403419315764032,0.698248679035334,0.8769884837777956,0.984766903444278
28,Transformer-FNET-64,0.910114931755192,0.705526125918638,0.6822978077707498,0.7495064143866286,0.9862170873201075
29,Transformer-FNET-128,0.9808180483820053,0.9028055530323239,0.8943251445840207,0.9154301784898716,0.999102807818282
30,Transformer-MHA-64,0.9184721024509555,0.7606940280662459,0.7293053688472725,0.9184721024509555,0.7086641585460836
31,Transformer-MHA-128,0.9684184903800341,0.7050312935312556,0.6459989396078145,0.9038572576880318,0.9843373946180474
