,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6309612294543552,0.40909227579749086,0.4120278935021769,0.45888089414862193,0.7677487391582309
1,Transformer-FNET-128,0.690306594641806,0.4016810703659055,0.43786784989972843,0.4602043964278706,0.663407840002691
2,Transformer-MHA-64,0.6915667602956844,0.36935382857037385,0.4049663637173661,0.4610445068637896,0.7130330458543918
3,Transformer-MHA-128,0.7812597840371491,0.4266306597628033,0.42563494493774995,0.5681889338451994,0.8162770078368027
4,Transformer-FNET-64,0.5838803542120616,0.2426383462374003,0.25075048782394993,0.2595023796498051,0.7941141525395762
5,Transformer-FNET-128,0.861668330655271,0.42230301488864835,0.3874252082650076,0.5302574342493975,0.7612601910314748
6,Transformer-MHA-64,0.5207177928970692,0.23717085923772224,0.23136439583808005,0.29755302451261095,0.8074306146313804
7,Transformer-MHA-128,0.6413764498817012,0.3924948882165591,0.40888059861799597,0.4275842999211341,0.6200281852457434
8,Transformer-FNET-64,0.7095850735024452,0.303813929794322,0.30626290025024205,0.37844537253463745,0.8448369513914843
9,Transformer-FNET-128,0.6549653347742876,0.4246340615550558,0.4367779518207597,0.476338425290391,0.9473545565639995
10,Transformer-MHA-64,0.5501726091588903,0.24090476875809677,0.2604700854700855,0.2934253915514082,0.5418429645212804
11,Transformer-MHA-128,0.828312045960208,0.505356610179818,0.4844025630412376,0.5522080306401386,0.8775065062751933
12,Transformer-FNET-64,0.5765922134728909,0.2818940987533989,0.3086868686868687,0.3075158471855418,0.6570426178677836
13,Transformer-FNET-128,0.684829380818802,0.46725842212433666,0.5116085812776446,0.5478635046550415,0.791687429735119
14,Transformer-MHA-64,0.7352038945094233,0.4159228150749913,0.4386821522575212,0.5346937414613987,0.6411140999360101
15,Transformer-MHA-128,0.7870031749337436,0.537193206711504,0.6261707317073171,0.6296025399469949,0.6267850958326765
16,Transformer-FNET-64,0.5652329943522946,0.3111341210711604,0.324371179367081,0.37682199623486307,0.815544129286304
17,Transformer-FNET-128,0.6442029792164975,0.2870358316581064,0.3140708834246693,0.3221014896082487,0.7405553860898288
18,Transformer-MHA-64,0.5114967197784468,0.3007149158616769,0.3704874938856404,0.3409978131856312,0.4464188135361191
19,Transformer-MHA-128,0.5896055284448175,0.2910404463724551,0.3336041422938602,0.33691744482561,0.3879524335605604
20,Transformer-FNET-64,0.6288588779747615,0.28416480220749313,0.280886360737107,0.38699007875369945,0.8103839806225216
21,Transformer-FNET-128,0.6892719919317225,0.34822038793561383,0.3775052366987851,0.39386970967527,0.7033683296237583
22,Transformer-MHA-64,0.6752496824066387,0.2874262449324124,0.2931839610148843,0.36013316395020734,0.6799490127099025
23,Transformer-MHA-128,0.8424371122769267,0.5221105820954628,0.5693684338243691,0.5616247415179513,0.9776785756686432
