,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6967494447809409,0.6540109395397491,0.7714638921140934,0.6967494447809409,0.489838284826332
1,Transformer-FNET-128,0.6624066222491419,0.7226050102269158,0.9097597791866132,0.6624066222491419,0.6712866200860377
2,Transformer-MHA-64,0.695275590551181,0.7473530260246394,0.9251923076923076,0.695275590551181,0.7490904101588034
3,Transformer-MHA-128,0.6488693720977187,0.556022704440426,0.6362565774473138,0.6488693720977187,0.3707081293578376
4,Transformer-FNET-64,0.6899757722592369,0.7725585883278036,0.9708323088271453,0.6899757722592369,0.7649106055193169
5,Transformer-FNET-128,0.7430648092065414,0.8153916360380693,0.9769163763066202,0.7430648092065414,0.8337871310355679
6,Transformer-MHA-64,0.6794266101352715,0.7094202898550724,0.752798323069738,0.6794266101352715,0.7191854450776524
7,Transformer-MHA-128,0.7571370886331517,0.7108279231095084,0.7318483321154954,0.7571370886331517,0.596511725388182
8,Transformer-FNET-64,0.5008277811427418,0.4647957186674922,0.4587371451793993,0.5008277811427418,0.28679186443256965
9,Transformer-FNET-128,0.6731879668887543,0.7213647499639718,0.8591697191697191,0.6731879668887543,0.699064463836821
10,Transformer-MHA-64,0.5858368665455279,0.5064381865099078,0.49601701671415205,0.5858368665455279,0.3576823768873101
11,Transformer-MHA-128,0.7842014940440137,0.8104544260572629,0.8901820798051912,0.7842014940440137,0.8121455539350515
12,Transformer-FNET-64,0.6816272965879264,0.694033399915753,0.844836811128946,0.6816272965879264,0.6211240133543017
13,Transformer-FNET-128,0.5071673733091057,0.5429101331984488,0.6157255351984489,0.5071673733091057,0.6000077530836856
14,Transformer-MHA-64,0.6672622652937613,0.575708901293781,0.7266113624116138,0.6672622652937613,0.34825004564119943
15,Transformer-MHA-128,0.6107207752877044,0.6489474517252295,0.7173500394377852,0.6107207752877044,0.6522546419906455
16,Transformer-FNET-64,0.729941449626489,0.7427325899592144,0.8072980918890874,0.729941449626489,0.6941804705698299
17,Transformer-FNET-128,0.6981324449828387,0.7693721176706482,0.9489453808602745,0.6981324449828387,0.7509373138883245
18,Transformer-MHA-64,0.7395013123359581,0.7642564812091236,0.8271822324188255,0.7395013123359581,0.7144472960924775
19,Transformer-MHA-128,0.5706137694326671,0.47578193639079247,0.47095788508508235,0.5706137694326671,0.32652377698696133
