,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9603018097066758,0.9285732491597852,0.9072388504756836,0.9603018097066758,0.995940158441275
1,Transformer-FNET-128,0.9696396770498842,0.954754123995111,0.9530031970499271,0.9696396770498842,0.9981296049232142
2,Transformer-MHA-64,0.9606840124997817,0.9432716278627448,0.9377169752895167,0.9606840124997817,0.9946567861337203
3,Transformer-MHA-128,0.9959610397490503,0.9933740527852807,0.9909195017038156,0.9959610397490503,0.9992903089890097
4,Transformer-FNET-64,0.9664804418242847,0.9401930861843516,0.924539743306124,0.9664804418242847,0.995941562052065
5,Transformer-FNET-128,0.9624874470418556,0.9269456598686132,0.9202456799851267,0.9624874470418556,0.9944040387453221
6,Transformer-MHA-64,0.9616260967924593,0.9433247088262573,0.9434537284482989,0.9616260967924593,0.9973564720021743
7,Transformer-MHA-128,0.9933826824769009,0.9946274686756907,0.9959996110971794,0.9933826824769009,0.9994837397149465
8,Transformer-FNET-64,0.995108320448598,0.9887138871169944,0.9826156822836923,0.995108320448598,0.998967677731047
9,Transformer-FNET-128,0.9928676814248125,0.9838176765412994,0.9757033076384681,0.9928676814248125,0.998903031358603
10,Transformer-MHA-64,0.999422100073236,0.989051379858961,0.9791953436205664,0.999422100073236,0.9983883347578418
11,Transformer-MHA-128,0.9635799918524555,0.9680110148022939,0.9797578706851806,0.9635799918524555,0.9967101581395491
12,Transformer-FNET-64,0.9973575637041002,0.9950886294371082,0.9929204281078208,0.9973575637041002,0.9995482709952034
13,Transformer-FNET-128,0.9958853881177286,0.9814552609145524,0.9692653691211613,0.9958853881177286,0.9987099336107912
14,Transformer-MHA-64,0.9891431968897079,0.9899502452481654,0.9912721202258914,0.9891431968897079,0.9992901712402104
15,Transformer-MHA-128,0.9999420015535274,0.995438593634054,0.9910897545416257,0.9999420015535274,0.9995483367948301
