,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.5305463028805969,0.20369632812772945,0.2652797814404732,0.33159143930037305,0.42907273779401073
1,Transformer-FNET-128,0.36115418944866157,0.24599114709977402,0.31907571288102266,0.20064121636036755,0.4718423062225416
2,Transformer-MHA-64,0.46807515251319287,0.25971321416161275,0.3298059964726632,0.26004175139621827,0.4156241085302336
3,Transformer-MHA-128,0.6011124758570396,0.5305125062765423,0.5706551081008123,0.5009270632141997,0.8123540653572816
4,Transformer-FNET-64,0.7034434694639045,0.2729231283828985,0.27742878444632835,0.3908019274799469,0.5855069322114187
5,Transformer-FNET-128,0.6636515610840997,0.15401582845580733,0.20025672115782722,0.30165980049277263,0.38051650498518363
6,Transformer-MHA-64,0.7575654369209517,0.3240933243295726,0.34995717185259667,0.42086968717830653,0.5261431013099679
7,Transformer-MHA-128,0.6276320221565178,0.21272037774053904,0.26204745455506107,0.3922700138478237,0.4766783541186717
8,Transformer-FNET-64,0.5088141794455654,0.24786375617748266,0.34179621778046976,0.31800886215347834,0.3406154452985438
9,Transformer-FNET-128,0.5451189540526716,0.3265641874285749,0.36776622763883915,0.30284386336259533,0.640880055679666
10,Transformer-MHA-64,0.5875302673049594,0.2615992490237353,0.2773769100169779,0.3264057040583108,0.5913491229707336
11,Transformer-MHA-128,0.7662468088195099,0.3509050363704431,0.387301104692409,0.4789042555121937,0.6246215629877042
12,Transformer-FNET-64,0.45430694534702915,0.21953388199120427,0.24020474189965713,0.2523927474150162,0.5283436726923034
13,Transformer-FNET-128,0.5130853427421412,0.17821210246901745,0.23456147376852224,0.2850474126345229,0.3802170301940627
14,Transformer-MHA-64,0.8806052213440214,0.6959309377904503,0.7006080734180465,0.7338376844533512,0.6048024654242365
15,Transformer-MHA-128,0.6278019160125526,0.24050839583736952,0.30311313064158296,0.3487788422291959,0.4699009740368169
16,Transformer-FNET-64,0.28009032274161955,0.16366225534284123,0.22505050505050503,0.14004516137080977,0.3783594268333487
17,Transformer-FNET-128,0.5078033223435372,0.14635754902291823,0.18790229474636388,0.23081969197433508,0.47665375683309014
18,Transformer-MHA-64,0.6365839993558097,0.2976971590743514,0.36701895888378994,0.35365777741989424,0.4991657143372507
19,Transformer-MHA-128,0.7183916336916075,0.3536341545663704,0.4016609757530553,0.5131368812082912,0.5723137299165266
20,Transformer-FNET-64,0.5858474335026601,0.2835692195695336,0.2801116268788683,0.3661546459391626,0.7648169370706465
21,Transformer-FNET-128,0.6242973165163367,0.329233291549468,0.38228869635153906,0.3901858228227104,0.5225991647412028
22,Transformer-MHA-64,0.5783521430102515,0.264950995304425,0.27923512571570824,0.3614700893814072,0.656080569644151
23,Transformer-MHA-128,0.8541445368010734,0.6888271752402186,0.7341038812785389,0.7117871140008946,0.8125256238229562
24,Transformer-FNET-64,0.4077535336901331,0.2100190821366316,0.2931743571275724,0.22652974093896283,0.26913406283438396
25,Transformer-FNET-128,0.7424832175945616,0.2502343078809819,0.26941338320225117,0.3712416087972808,0.6381370480838154
26,Transformer-MHA-64,0.7697687606254544,0.4200045568466621,0.434508474957288,0.481105475390909,0.7915264208669668
27,Transformer-MHA-128,0.5743921871508981,0.3534878849842286,0.3649554376570348,0.4786601559590818,0.637021907732836
28,Transformer-FNET-64,0.772644820902615,0.29779562874730725,0.321259196110006,0.429247122723675,0.36037535254914443
29,Transformer-FNET-128,0.6708728438621024,0.1869589584104903,0.22611268801744988,0.30494220175550113,0.3949905795209193
30,Transformer-MHA-64,0.8059471922715307,0.4168914752141346,0.4648135236091163,0.5037169951697067,0.4701701628073538
31,Transformer-MHA-128,0.7599933993174759,0.612986833663132,0.667707074646803,0.6333278327645632,0.6853659889734741
32,Transformer-FNET-64,0.5052766899505176,0.2840395833959988,0.33074582444918266,0.31579793121907346,0.6729873680010464
33,Transformer-FNET-128,0.501104083236648,0.2768684708297579,0.3139148494288681,0.27839115735369335,0.48035369581228077
34,Transformer-MHA-64,0.5830447519470312,0.1663744302295975,0.19013052615343087,0.2650203417941051,0.5943907046071563
35,Transformer-MHA-128,0.8104255625607472,0.3177216587471402,0.3493415806668621,0.4052127812803736,0.7533889238232043
36,Transformer-FNET-64,0.5065664315598819,0.3033920787339933,0.37599576798605927,0.3166040197249262,0.49235909617243345
37,Transformer-FNET-128,0.6062187048825771,0.2690175993734185,0.32894631496507026,0.33678816937920947,0.4702487204410658
38,Transformer-MHA-64,0.5783371723900935,0.34060638748743194,0.37911184210526316,0.36146073274380847,0.7447354305815507
39,Transformer-MHA-128,0.7732385420884242,0.2633889464873516,0.2701302835276546,0.42957696782690236,0.5620722180870632
