,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9706608922505601,0.9741767180256359,0.9779997663540669,0.9706608922505601,0.9709621683411728
1,Transformer-FNET-128,0.97325503317521,0.9781774321132676,0.9835186292141387,0.97325503317521,0.9754005153333172
2,Transformer-MHA-64,0.9392028262870146,0.9165239066474413,0.9037723570703484,0.9392028262870146,0.916046614820357
3,Transformer-MHA-128,0.8881299254370217,0.7828156092632202,0.7774569447204863,0.8881299254370217,0.7244055582957885
4,Transformer-FNET-64,0.9698968602871075,0.9771130905961188,0.985091086302042,0.9698968602871075,0.9742421112761814
5,Transformer-FNET-128,0.9715350167327917,0.9684979159882353,0.965546744941827,0.9715350167327917,0.9652312908341336
6,Transformer-MHA-64,0.9030255226911968,0.8699666588915888,0.8647747056693541,0.9030255226911968,0.8716459786195447
7,Transformer-MHA-128,0.8318112220485995,0.7717032966782561,0.8066271028055936,0.8318112220485995,0.7700221934174596
8,Transformer-FNET-64,0.9639422728684414,0.9715608456959708,0.9802570496108908,0.9639422728684414,0.9694875332241402
9,Transformer-FNET-128,0.9688960971452255,0.9769587385087154,0.9859203489347431,0.9688960971452255,0.9741742675259728
10,Transformer-MHA-64,0.904378801043983,0.881076907820641,0.8789987527640727,0.904378801043983,0.8868792463769253
11,Transformer-MHA-128,0.8503630614922207,0.7125213471030724,0.7393583209996789,0.8503630614922207,0.6157995105921152
