,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9032443746729463,0.6985893258534462,0.675867440365875,0.9032443746729463,0.7259608807972151
1,Transformer-FNET-128,0.925349599741697,0.8304313749385038,0.78449326337235,0.925349599741697,0.911219317530041
2,Transformer-MHA-64,0.94481389937317,0.7667268096368162,0.7271430192049467,0.94481389937317,0.8398813115721447
3,Transformer-MHA-128,0.9012764844071834,0.6661764181911396,0.6739777033327977,0.9012764844071834,0.6211819280499871
4,Transformer-FNET-64,0.8969911041339613,0.7635984489899456,0.7219537230624562,0.8969911041339613,0.8480133356666
5,Transformer-FNET-128,0.9126635269492412,0.6973699242455975,0.6816974988462041,0.9126635269492412,0.71062926057892
6,Transformer-MHA-64,0.8658767271229277,0.6480658729815559,0.6668720883313157,0.8658767271229277,0.5931579227268575
7,Transformer-MHA-128,0.761314394825033,0.560465092628076,0.6650285494322191,0.761314394825033,0.46211037389006476
8,Transformer-FNET-64,0.9215538261130968,0.7734482346918788,0.7279557506848464,0.9215538261130968,0.8542354820415314
9,Transformer-FNET-128,0.8635269492412349,0.7192914536450785,0.6934247588172129,0.8635269492412349,0.7844872828347093
10,Transformer-MHA-64,0.8908625315920148,0.6964743409157458,0.694323245553426,0.8908625315920148,0.7345616025503564
11,Transformer-MHA-128,0.8092549294676954,0.5912072170089306,0.6606598539120663,0.8092549294676954,0.46187940748259815
12,Transformer-FNET-64,0.9059000523286237,0.7465069027465961,0.7105696356020381,0.9059000523286237,0.8197010434684083
13,Transformer-FNET-128,0.9336940668247659,0.7731063814747988,0.7320550927403722,0.9336940668247659,0.8505683262071508
14,Transformer-MHA-64,0.8857535321821036,0.6376789541157571,0.66924147317529,0.8857535321821036,0.5452316622873611
15,Transformer-MHA-128,0.7545069418929601,0.5686038560840463,0.6468313428330243,0.7545069418929601,0.43460892402698553
16,Transformer-FNET-64,0.9374505939855484,0.7087255931413643,0.6931142410015649,0.9374505939855484,0.7288388783290214
17,Transformer-FNET-128,0.9357927786499215,0.7793987334206012,0.7341892241755898,0.9357927786499215,0.858282153715513
18,Transformer-MHA-64,0.8741816693944354,0.6264042002773803,0.6605633525966111,0.8741816693944354,0.5304236699787993
19,Transformer-MHA-128,0.8388540031397175,0.614520785323705,0.6623829036764615,0.8388540031397175,0.4987779204404054
20,Transformer-FNET-64,0.9066346014674282,0.7626547156426432,0.7220961900868536,0.9066346014674282,0.8440237496248826
21,Transformer-FNET-128,0.8936159079016223,0.6692190086685499,0.6732541455642677,0.8936159079016223,0.6334738476034639
22,Transformer-MHA-64,0.9087299731676631,0.7636535817215367,0.7267987975726128,0.9087299731676631,0.8475501124645419
23,Transformer-MHA-128,0.8391401405079216,0.608834233797808,0.6661547580840598,0.8391401405079216,0.4870948623042058
24,Transformer-FNET-64,0.9298367792288765,0.7636303464893928,0.7237346069596996,0.9298367792288765,0.838977609021869
25,Transformer-FNET-128,0.9439131790195621,0.7249186273679538,0.7012698412698413,0.9439131790195621,0.764715569419361
26,Transformer-MHA-64,0.7402276295133438,0.5737091095908059,0.6468585566868175,0.7402276295133438,0.44167240648407396
27,Transformer-MHA-128,0.8067002905908681,0.5923977527286513,0.664323049409269,0.8067002905908681,0.46053509175740404
28,Transformer-FNET-64,0.9237722257479096,0.7315583771195913,0.7026538169753632,0.9237722257479096,0.7873720465050138
29,Transformer-FNET-128,0.8687411625861473,0.7445363260562958,0.7128268111075688,0.8687411625861473,0.8320091597176213
30,Transformer-MHA-64,0.8831540799625905,0.7206232759871972,0.6957069830104813,0.8831540799625905,0.7810284112816349
31,Transformer-MHA-128,0.7895996860282574,0.5571098213003702,0.657952009479609,0.7895996860282574,0.423259692468022
32,Transformer-FNET-64,0.8892333856619571,0.6972215329025074,0.6827902008104133,0.8892333856619571,0.7178064593783916
33,Transformer-FNET-128,0.8777622833093958,0.7367907113773934,0.7067701637441619,0.8777622833093958,0.8140520942825089
34,Transformer-MHA-64,0.8580755870269549,0.6586191336753134,0.6800868854875937,0.8580755870269549,0.6608917532558319
35,Transformer-MHA-128,0.8102171637885923,0.5994387689907026,0.6605249205947115,0.8102171637885923,0.4724355223958949
