,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9969559408914217,0.9522836068367931,0.9282347744317225,0.9969559408914217,0.9910381268984331
1,Transformer-FNET-128,0.9998805387619255,0.9810494876814286,0.9652865416023312,0.9998805387619255,0.9990469644528132
2,Transformer-MHA-64,0.9995870969851555,0.9471849708472012,0.9201882041638267,0.9995870969851555,0.996939369695064
3,Transformer-MHA-128,0.9887066362938209,0.8874750069612443,0.8437521722931876,0.9887066362938209,0.9870743653021065
4,Transformer-FNET-64,0.9965220894533319,0.8960500434868781,0.8952614608283553,0.8968698805079987,0.9996268009693715
5,Transformer-FNET-128,0.9910061913790121,0.9848972336988417,0.9791491665792721,0.9910061913790121,0.9996268276159672
6,Transformer-MHA-64,0.9923340406530536,0.8971213030696968,0.8639031402427431,0.9923340406530536,0.9853483602130202
7,Transformer-MHA-128,0.9553749806876041,0.8034213291151138,0.7752177923512532,0.9553749806876041,0.8406277609904302
8,Transformer-FNET-64,0.9732878057243722,0.9401160246718254,0.9287624169255521,0.9732878057243722,0.9961525764010882
9,Transformer-FNET-128,0.9999953060237797,0.9991087640734249,0.998236331569665,0.9999953060237797,0.9999585328654784
10,Transformer-MHA-64,0.9235323810708788,0.7969755661226419,0.7845225923034032,0.9235323810708788,0.7979867404679992
11,Transformer-MHA-128,0.9427876157163061,0.6980709031178167,0.6372442178389283,0.8485088541446755,0.980467013414711
12,Transformer-FNET-64,0.9959640121673607,0.9878663595871318,0.9805282723914799,0.9959640121673607,0.9993781611852613
13,Transformer-FNET-128,0.9995622923851916,0.9952745142068855,0.9910991031558408,0.9995622923851916,0.999834139886534
14,Transformer-MHA-64,0.9937377971198271,0.9775919915161673,0.9638535234863996,0.9937377971198271,0.998426129335388
15,Transformer-MHA-128,0.974914584945219,0.6942923922982704,0.633395516108344,0.8774231264506971,0.9635579728480992
16,Transformer-FNET-64,0.9947157789384958,0.9879471554445366,0.9819366308427602,0.9947157789384958,0.9988804150440997
17,Transformer-FNET-128,0.9942430299148276,0.9853394568429166,0.9777602477576183,0.9942430299148276,0.9995024845118446
18,Transformer-MHA-64,0.9694397248735636,0.7513469408488332,0.7021080080784083,0.8724957523862071,0.9640236767714907
19,Transformer-MHA-128,0.9957990248935159,0.8825303864072538,0.8467537400119411,0.9957990248935159,0.981653322692561
20,Transformer-FNET-64,0.9999612982117367,0.9958753827539952,0.9920070164791919,0.9999612982117367,0.9996683428321805
21,Transformer-FNET-128,0.9937155642071076,0.8991515430870413,0.8526483139301573,0.9937155642071076,0.9929875797889149
22,Transformer-MHA-64,0.9957768695746358,0.9420260608105235,0.9100018407338558,0.9957768695746358,0.9934678470130186
23,Transformer-MHA-128,0.9584236775805901,0.8832115177432613,0.852563055829299,0.9584236775805901,0.8775038980683417
24,Transformer-FNET-64,0.9791974939548624,0.9481060342555495,0.9337712255615188,0.9791974939548624,0.9919411275257769
25,Transformer-FNET-128,0.9960952677118622,0.9834112012137717,0.9730893393762976,0.9960952677118622,0.9993780752201625
26,Transformer-MHA-64,0.9880699402961911,0.8365646506806234,0.8006597501555033,0.9880699402961911,0.9814665784384573
27,Transformer-MHA-128,0.987280044197822,0.9515674189904136,0.9346419199586242,0.987280044197822,0.9978042574512185
28,Transformer-FNET-64,0.9799264445957514,0.9615232794156784,0.9533995265135271,0.9799264445957514,0.9984669026592812
29,Transformer-FNET-128,0.9999624481902375,0.9976330866711977,0.995355673133451,0.9999624481902375,0.9996683717984544
30,Transformer-MHA-64,0.9986286237845451,0.8503836154228288,0.8166099773037994,0.8987657614060905,0.9973915858284353
31,Transformer-MHA-128,0.9499473382343288,0.7906945700963081,0.7515831139605215,0.9499473382343288,0.8945027543021511
32,Transformer-FNET-64,0.9473088880825067,0.8033093317603821,0.7832166616897057,0.852577999274256,0.993959750097053
33,Transformer-FNET-128,0.9961063234999459,0.932820044021385,0.8979635290394048,0.9961063234999459,0.9967736027073072
34,Transformer-MHA-64,0.9273737232469941,0.6172444233586425,0.600562678296724,0.8346363509222947,0.8864033842329518
35,Transformer-MHA-128,0.9842015156154871,0.8879186892096117,0.8405516694043795,0.9842015156154871,0.9866082993391704
36,Transformer-FNET-64,0.999906402662246,0.9978547893147353,0.9958420145247674,0.999906402662246,0.9992951231328024
37,Transformer-FNET-128,0.998197347373718,0.8971775353143837,0.8960061443932412,0.8983776126363463,0.99987559992624
38,Transformer-MHA-64,0.9844838761900986,0.9180893461032748,0.906508661968211,0.9844838761900986,0.9903431015952949
39,Transformer-MHA-128,0.9897905587030483,0.8418450177718051,0.8170925562681131,0.9897905587030483,0.9492507100996675
