,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9579674784262384,0.5646801281554401,0.5398341927004348,0.6705772348983668,0.9304495027948837
1,Transformer-FNET-128,0.9953789021857231,0.7747527838640723,0.7753706411213581,0.7741835905888957,0.9711365809725943
2,Transformer-MHA-64,0.9797676797344216,0.7570825094386285,0.70774231678487,0.8572967197676189,0.973269705011594
3,Transformer-MHA-128,0.9797734387097847,0.608143670659641,0.5463617265087853,0.8573017588710616,0.9715930436917488
4,Transformer-FNET-64,0.9550889505739139,0.5752080644531612,0.509540571677976,0.7428469615574885,0.9126932724186522
5,Transformer-FNET-128,0.9765472127199128,0.6644230126156737,0.6521072796934866,0.683583048903939,0.9534394437725461
6,Transformer-MHA-64,0.9593940246151405,0.5235943735379398,0.4703320593774233,0.839469771538248,0.9339361703546462
7,Transformer-MHA-128,0.7972247177782129,0.3699479399873053,0.3312726260094681,0.6200636693830545,0.7797866366736179
8,Transformer-FNET-64,0.9880868395895003,0.6097578494311344,0.5655839838930508,0.7685119863473892,0.9218874360835297
9,Transformer-FNET-128,0.9962473076790178,0.7453764710362951,0.7194629339598015,0.8717163942191406,0.97753994856624
10,Transformer-MHA-64,0.9630854478371208,0.5324356466357594,0.5010180623973727,0.6741598134859845,0.7895883482260216
11,Transformer-MHA-128,0.8386523069815419,0.4542582684361373,0.5098637070531437,0.6522851276523104,0.9276035812509903
