,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9549593792245444,0.9568159192377516,0.9590639107717752,0.9549593792245444,0.932631129070833
1,Transformer-FNET-128,0.9656130245481899,0.9691827873753484,0.9735784394395165,0.9656130245481899,0.9525341989914348
2,Transformer-MHA-64,0.963106474116882,0.9682268571147102,0.9745566960389741,0.963106474116882,0.9510905144650035
3,Transformer-MHA-128,0.9726713133395078,0.9707568953134178,0.9690288140787985,0.9726713133395078,0.9549098242630214
4,Transformer-FNET-64,0.9623324814615383,0.9640140886470401,0.9663564547378272,0.9623324814615383,0.944951204346509
5,Transformer-FNET-128,0.9631176282013776,0.9662564188348135,0.9703302984187993,0.9631176282013776,0.9491319213632646
6,Transformer-MHA-64,0.966894292936581,0.9675733677299491,0.9685315449128682,0.966894292936581,0.9496943751021265
7,Transformer-MHA-128,0.9646454282444603,0.9588656922085788,0.9534845524021455,0.9646454282444603,0.9355334719698474
8,Transformer-FNET-64,0.9627728676198973,0.9659614374453541,0.9699936491946529,0.9627728676198973,0.9479121499775509
9,Transformer-FNET-128,0.9570508750733676,0.9626255927080823,0.9696719762909,0.9570508750733676,0.9430391516653698
10,Transformer-MHA-64,0.9650949698555699,0.9665475576837123,0.9686439253419529,0.9650949698555699,0.9495879941606142
11,Transformer-MHA-128,0.9691666751420519,0.9713393528028481,0.9741358872521836,0.9691666751420519,0.9562716214874952
