,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.15754560530679934,0.20833333333333334,0.3074433656957929,0.15754560530679934,-0.09354811272684414
1,Transformer-FNET-128,0.4067164179104477,0.4051155115511551,0.40353037766830874,0.4067164179104477,0.1929546776889145
2,Transformer-MHA-64,0.6616915422885572,0.7267326732673266,0.8489326765188835,0.6616915422885572,0.5424131551189448
3,Transformer-MHA-128,0.8617330016583749,0.8161608892087481,0.7897697540554685,0.8617330016583749,0.5499011125518588
4,Transformer-FNET-64,0.4400912106135986,0.4235211143436481,0.4123980926011383,0.4400912106135986,0.21699516784371797
5,Transformer-FNET-128,0.3237976782752902,0.35640301318267414,0.39923747276688454,0.3237976782752902,0.01153497713655163
6,Transformer-MHA-64,0.7271973466003318,0.4371518565066952,0.4704527712724434,0.7271973466003318,0.19802152387786526
7,Transformer-MHA-128,0.8600746268656717,0.7486291486291486,0.6786324786324786,0.8600746268656717,0.5304665242008884
8,Transformer-FNET-64,0.3667081260364842,0.3856475199758782,0.43615257048092865,0.3667081260364842,0.27803817023962923
9,Transformer-FNET-128,0.27881426202321724,0.3145105445388731,0.3612155388471178,0.27881426202321724,-0.037716967059234364
10,Transformer-MHA-64,0.6625207296849088,0.28109744560075683,0.35882660846729836,0.6625207296849088,0.0983692041621282
11,Transformer-MHA-128,0.72242951907131,0.3637710697366972,0.41231684981684974,0.72242951907131,0.16149094370167286
12,Transformer-FNET-64,0.3667081260364842,0.3694581280788178,0.37425474254742547,0.3667081260364842,0.09945517277197127
13,Transformer-FNET-128,0.3700248756218905,0.3790849673202614,0.40217391304347827,0.3700248756218905,0.13511487375377745
14,Transformer-MHA-64,0.8333333333333334,0.8856048166392995,0.9934959349593496,0.8333333333333334,0.7690724345366926
15,Transformer-MHA-128,0.7141376451077943,0.39111613024656505,0.4504425653958364,0.7141376451077943,0.16188273581762302
16,Transformer-FNET-64,0.375,0.4001081373344147,0.6523809523809524,0.375,0.30968630587702783
17,Transformer-FNET-128,0.3453565505804312,0.3121690401521772,0.33208389112003567,0.3453565505804312,0.004369873850684603
18,Transformer-MHA-64,0.6708126036484247,0.29231309231309227,0.35861815399444513,0.6708126036484247,0.08447335695871164
19,Transformer-MHA-128,0.7207711442786069,0.5955491049830672,0.6746644603787461,0.7207711442786069,0.12186710443078962
