,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9736251901378684,0.9778742007218573,0.9825484186790231,0.9736251901378684,0.9727599886473269
1,Transformer-FNET-128,0.9730871961983154,0.9784388373524081,0.984363355503323,0.9730871961983154,0.9734842231225076
2,Transformer-MHA-64,0.9041148469994987,0.8048347848363551,0.7908024618875932,0.9041148469994987,0.7372786628820105
3,Transformer-MHA-128,0.8867439269822434,0.8539990606938695,0.8548618795102504,0.8867439269822434,0.8279646642305313
4,Transformer-FNET-64,0.9699060720571189,0.9565573977282341,0.9443423983143742,0.9699060720571189,0.9453591618578265
5,Transformer-FNET-128,0.9761233378298247,0.9801889134251421,0.9846438700781676,0.9761233378298247,0.9756368731999167
6,Transformer-MHA-64,0.924343280461906,0.9175356817699942,0.9183936427117224,0.924343280461906,0.8931681627958723
7,Transformer-MHA-128,0.8539321890773578,0.7060374978503915,0.7401369618888632,0.8539321890773578,0.6001715176247008
8,Transformer-FNET-64,0.9743233299122119,0.9779932123707765,0.9820258563815375,0.9743233299122119,0.972844040149765
9,Transformer-FNET-128,0.9762580729378826,0.9774797810521582,0.9788569969902546,0.9762580729378826,0.9720890660183819
10,Transformer-MHA-64,0.9698515518166558,0.9684607267381264,0.9670913135895919,0.9698515518166558,0.9593398877910077
11,Transformer-MHA-128,0.9139963983208955,0.8142848029796635,0.7956167029308648,0.9139963983208955,0.7507277294368352
12,Transformer-FNET-64,0.9679158960013935,0.9755050717173512,0.9840258573234605,0.9679158960013935,0.97020904521922
13,Transformer-FNET-128,0.9758901036876559,0.9792598593384344,0.9829627473457379,0.9758901036876559,0.9743976505076207
14,Transformer-MHA-64,0.9085243873432471,0.7971663738208887,0.7822020856669556,0.9085243873432471,0.7221081753452897
15,Transformer-MHA-128,0.8879574161876191,0.75933193910733,0.7615752937751226,0.8879574161876191,0.6684089451958932
16,Transformer-FNET-64,0.975576824331352,0.9773503859322279,0.9792973511648794,0.975576824331352,0.9721429469732934
17,Transformer-FNET-128,0.9711627275895983,0.9762883068717687,0.9819081476884275,0.9711627275895983,0.9706725558390964
18,Transformer-MHA-64,0.964231988466068,0.9387113261838346,0.9179068457497479,0.964231988466068,0.9237573040648724
19,Transformer-MHA-128,0.8587702737155066,0.7459086783748016,0.7607355331918955,0.8587702737155066,0.6550299088813617
20,Transformer-FNET-64,0.9740879402887609,0.9691278427976351,0.9642888886043671,0.9740879402887609,0.9615247647622894
21,Transformer-FNET-128,0.9776453633902191,0.9745767473673904,0.9715670579575097,0.9776453633902191,0.9683600542184886
22,Transformer-MHA-64,0.9139136329596195,0.7994948700306354,0.7824509774728107,0.9139136329596195,0.7248026848329668
23,Transformer-MHA-128,0.9537859197182471,0.8927326907459511,0.8601759336619231,0.9537859197182471,0.8588584974844206
24,Transformer-FNET-64,0.9585629653625173,0.9323762323550894,0.9112706555300231,0.9585629653625173,0.9137660349307619
25,Transformer-FNET-128,0.9750788967402041,0.9734252281952332,0.9718265315507845,0.9750788967402041,0.966979366214824
26,Transformer-MHA-64,0.9221519457534303,0.8688654808651708,0.8449848039423845,0.9221519457534303,0.8251459134883911
27,Transformer-MHA-128,0.8417285216624867,0.7072686019284006,0.7424338590794669,0.8417285216624867,0.6010773578163194
28,Transformer-FNET-64,0.9713055373774829,0.9778693047057665,0.9851806175293074,0.9713055373774829,0.9729541121531666
29,Transformer-FNET-128,0.9792465123304082,0.9812906747290993,0.9835449649462841,0.9792465123304082,0.9767769640405851
30,Transformer-MHA-64,0.9264770174573833,0.8930102523331155,0.8783990854359058,0.9264770174573833,0.8779196690013741
31,Transformer-MHA-128,0.9464052500425685,0.9066174345668964,0.8841453427673885,0.9464052500425685,0.8881451379620772
32,Transformer-FNET-64,0.9737950989533236,0.9636937346257576,0.954162175256084,0.9737950989533236,0.9550182709814592
33,Transformer-FNET-128,0.9565507811680457,0.9104128965852434,0.8794416604862435,0.9565507811680457,0.8852506757612203
34,Transformer-MHA-64,0.9220535933644971,0.8238704980500766,0.8008841749227843,0.9220535933644971,0.7623577201865157
35,Transformer-MHA-128,0.9718780517279626,0.9464211223402649,0.9256680624671959,0.9718780517279626,0.9325340151498139
36,Transformer-FNET-64,0.9761466423919504,0.9777060356220835,0.979453380998908,0.9761466423919504,0.9724508949875694
37,Transformer-FNET-128,0.9770550272438965,0.9778093483223297,0.9786924034023913,0.9770550272438965,0.9724695298196955
38,Transformer-MHA-64,0.9112122637878014,0.8919775636502854,0.8889075490191379,0.9112122637878014,0.8881069530299265
39,Transformer-MHA-128,0.8620866354504484,0.7202206829521683,0.7449353753776005,0.8620866354504484,0.6170527580197758
