,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9582466941272343,0.9578731876559033,0.9577455539552373,0.9582466941272343,0.943723131603886
1,Baseline_use_wavelets_False_and_use_fft_False,0.9625295130995646,0.9654851186053003,0.9688961210712228,0.9625295130995646,0.953557925950523
2,Baseline_use_fft_False,0.9574573340379097,0.9547551534431432,0.9521523046907908,0.9574573340379097,0.9382028073974249
3,Baseline_use_fft_False_and_no_gMLP,0.9511290847231054,0.9308102024697319,0.9132964428881728,0.9511290847231054,0.9025902720662102
4,Baseline_use_wavelets_False,0.896548119592778,0.7966928376165058,0.7783344026099104,0.896548119592778,0.6936354465831112
5,Baseline_use_wavelets_False_and_no_gMLP,0.9611794134535742,0.9693646442903477,0.9789416234681729,0.9611794134535742,0.9595205337134248
6,Baseline_use_gmlp_False,0.928040102489475,0.8668307320819331,0.8348770959902003,0.928040102489475,0.8045076087772159
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9571352572850437,0.9645222789251982,0.9731627845491433,0.9571352572850437,0.9528487163100307
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9482676246277689,0.9546012390980708,0.9631556820563527,0.9482676246277689,0.9401018577650182
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.957684584447385,0.9660345567502664,0.9758185100105817,0.957684584447385,0.954937321746046
10,Baseline_use_kan_False,0.9466981561247659,0.9269649805150886,0.909842140011833,0.9466981561247659,0.8974865277982702
11,Baseline_use_smoe_False,0.9079888428705591,0.8173531524384897,0.7922933347183306,0.9079888428705591,0.726182622239068
12,Baseline_use_gc_False,0.9473444016612613,0.9088137543054731,0.8811855484915533,0.9473444016612613,0.8693432034683299
13,Baseline_use_lookahead_False,0.9519200348605056,0.93260908384545,0.9156080217336494,0.9519200348605056,0.9063087746266903
14,Baseline,0.9587176672485803,0.9619662730122241,0.9657072215054195,0.9587176672485803,0.9487840306754466
15,Baseline_use_wavelets_False_and_use_fft_False,0.9572812036903439,0.9604688794078967,0.9641486362792425,0.9572812036903439,0.9466876577883199
16,Baseline_use_fft_False,0.9555268551468167,0.9558051345808701,0.9562942916721914,0.9555268551468167,0.9398922861158675
17,Baseline_use_fft_False_and_no_gMLP,0.9592555806656032,0.9616749146088384,0.9645564414095128,0.9592555806656032,0.9485607168882453
18,Baseline_use_wavelets_False,0.9187441314900818,0.8221551919740642,0.7965494126780652,0.9187441314900818,0.7353104092933874
19,Baseline_use_wavelets_False_and_no_gMLP,0.9585923087192437,0.955278828576402,0.9520942235662186,0.9585923087192437,0.9391760366313833
20,Baseline_use_gmlp_False,0.9611222243142002,0.9598515743773915,0.9587423330813968,0.9611222243142002,0.9457310630151123
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9564495240058557,0.9603731981116815,0.9650124955813638,0.9564495240058557,0.9475097811631075
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9479558062179118,0.9563454114457531,0.9665069977331543,0.9479558062179118,0.9431951557354473
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9577119531003137,0.9616174469390754,0.9661418882182474,0.9577119531003137,0.9484779489859435
24,Baseline_use_kan_False,0.9545480788587369,0.9586448832663588,0.9634248373449769,0.9545480788587369,0.9447576584879049
25,Baseline_use_smoe_False,0.9608824036060607,0.9617273349512437,0.9628180967243948,0.9608824036060607,0.9480815605084306
26,Baseline_use_gc_False,0.9596098481404484,0.9626103782536557,0.9659962976095607,0.9596098481404484,0.9492753435812609
27,Baseline_use_lookahead_False,0.9020099499907804,0.9265172897512198,0.9619892108380017,0.9020099499907804,0.9068573235399129
