,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9698607654931358,0.9713142697804302,0.9825236914311982,0.9698607654931358,0.999188498626143
1,Baseline_use_wavelets_False_and_use_fft_False,0.9724221504074619,0.9805204232479814,0.995846356958061,0.9724221504074619,0.9992786535818534
2,Baseline_use_fft_False,0.9724221504074619,0.959315253171338,0.9654241551649952,0.9724221504074619,0.9992787013369575
3,Baseline_use_fft_False_and_no_gMLP,0.972417605366102,0.9571241878520927,0.958634031708205,0.972417605366102,0.9992335798379728
4,Baseline_use_wavelets_False,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
5,Baseline_use_wavelets_False_and_no_gMLP,0.9724221504074619,0.9801924461537941,0.9952543237430488,0.9724221504074619,0.9992786992730037
6,Baseline_use_gmlp_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9735057417387313,0.9828520396203618,0.9982401272741513,0.9735057417387313,0.9992784840172957
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9724221504074619,0.9685071723632571,0.9766587230662298,0.9724221504074619,0.9992787011788168
10,Baseline_use_kan_False,0.9724221504074619,0.9659819198380046,0.9733253897328964,0.9724221504074619,0.9992787012396341
11,Baseline_use_smoe_False,0.9724221504074619,0.9813815655861401,0.9975041137680081,0.9724221504074619,0.9992785498372533
12,Baseline_use_gc_False,0.9920299935447169,0.9955221176705726,0.999505438394697,0.9920299935447169,0.9997294383298909
13,Baseline_use_lookahead_False,0.9724221504074619,0.9826167863916535,0.9999284821652921,0.9724221504074619,0.999278538142001
14,Baseline,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
15,Baseline_use_wavelets_False_and_use_fft_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
16,Baseline_use_fft_False,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
17,Baseline_use_fft_False_and_no_gMLP,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
18,Baseline_use_wavelets_False,0.9979078014445334,0.9986924805345656,0.9995074133999621,0.9979078014445334,0.9998196227298202
19,Baseline_use_wavelets_False_and_no_gMLP,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
20,Baseline_use_gmlp_False,0.9695841731112803,0.9562308817465183,0.9642737995949006,0.9695841731112803,0.9991885316472836
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9724221504074619,0.959315253171338,0.9654241551649952,0.9724221504074619,0.9992787013369575
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9724221504074619,0.9823645804873437,0.9994246833665466,0.9724221504074619,0.9992786219923798
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
24,Baseline_use_kan_False,0.9704613660937365,0.9773740202381478,0.992808396253605,0.9704613660937365,0.9992335846088403
25,Baseline_use_smoe_False,0.9743829347211874,0.9833892346588375,0.9984361018813106,0.9743829347211874,0.9993237426618307
26,Baseline_use_gc_False,0.972417605366102,0.9805430520457035,0.9958502802147762,0.972417605366102,0.9992335964615299
27,Baseline_use_lookahead_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
