,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9605479248084284,0.9725306985467981,0.9862965826253097,0.9605479248084284,0.9694388635726323
1,Baseline_use_wavelets_False_and_use_fft_False,0.8755881231233792,0.7178742070218992,0.729769749501822,0.8755881231233792,0.6045051673175299
2,Baseline_use_fft_False,0.9631792849959648,0.9322324742151821,0.9074518395750003,0.9631792849959648,0.920219701016686
3,Baseline_use_fft_False_and_no_gMLP,0.9688413519009004,0.974752774871625,0.9812868946176715,0.9688413519009004,0.971786969508038
4,Baseline_use_wavelets_False,0.9360760772533853,0.8292626361735431,0.7940937226058872,0.9360760772533853,0.7758737389710005
5,Baseline_use_wavelets_False_and_no_gMLP,0.880241760336974,0.722171225510614,0.7318352551716939,0.880241760336974,0.61133384564759
6,Baseline_use_gmlp_False,0.9690300390368448,0.9649286541602623,0.9609028161009378,0.9690300390368448,0.9602096672591902
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9669550501970224,0.9608098904897909,0.9548309106430266,0.9669550501970224,0.9554216965746658
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.966603972291585,0.9623378136835846,0.9581522472986196,0.966603972291585,0.9572794051687156
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9126098723536181,0.776956750550569,0.758267983160688,0.9126098723536181,0.6947888307964225
10,Baseline_use_kan_False,0.966948402849343,0.9655941188028919,0.9642994870355824,0.966948402849343,0.9611406129975811
11,Baseline_use_smoe_False,0.9586408903327653,0.9713145839788253,0.9860540817980533,0.9586408903327653,0.9685726030617503
12,Baseline_use_gc_False,0.9668107818513504,0.9730088447786963,0.9798752416027146,0.9668107818513504,0.969889579168519
13,Baseline_use_lookahead_False,0.9647740713769594,0.9749955294204565,0.9865071785437175,0.9647740713769594,0.971779693977315
14,Baseline,0.9589410630694722,0.9258188023892916,0.8998930669207009,0.9589410630694722,0.9122208201511963
15,Baseline_use_wavelets_False_and_use_fft_False,0.7979002762911384,0.614987258875675,0.7025183300551044,0.7979002762911384,0.48068731846358426
16,Baseline_use_fft_False,0.9555247235493299,0.9694544648231446,0.9858076848192643,0.9555247235493299,0.9665513330079301
17,Baseline_use_fft_False_and_no_gMLP,0.9633591814039364,0.9726570055120742,0.9831797883428832,0.9633591814039364,0.9697366377684677
18,Baseline_use_wavelets_False,0.8645807505939193,0.6953951207215822,0.7230505412798323,0.8645807505939193,0.57502941406493
19,Baseline_use_wavelets_False_and_no_gMLP,0.9649216113784368,0.9532093096959832,0.942241979509725,0.9649216113784368,0.946353833849349
20,Baseline_use_gmlp_False,0.962428608055097,0.9544787795367634,0.9468334320210839,0.962428608055097,0.948099273992731
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9630179126394794,0.9739251514150578,0.9864151719721767,0.9630179126394794,0.9712445756100947
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9619463556855138,0.9283129914612566,0.9020161322587062,0.9619463556855138,0.9152679285108046
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9632502317033321,0.9380692006778828,0.9169096812901681,0.9632502317033321,0.9276453792627897
24,Baseline_use_kan_False,0.9653975401614177,0.9744665006418701,0.9847049854898029,0.9653975401614177,0.9716916664738344
25,Baseline_use_smoe_False,0.9645875145365687,0.9696653838350539,0.9752626834035546,0.9645875145365687,0.9661302827259882
26,Baseline_use_gc_False,0.9353245827133421,0.8318357920833236,0.7962310914263503,0.9353245827133421,0.7798043322520464
27,Baseline_use_lookahead_False,0.9580114393748526,0.9708459349667398,0.9857960545268476,0.9580114393748526,0.9680820766663574
28,Baseline,0.9640136179651136,0.9742330424934047,0.9857214600255255,0.9640136179651136,0.971125592492307
29,Baseline_use_wavelets_False_and_use_fft_False,0.8873113006569603,0.733463781381189,0.7364191359370866,0.8873113006569603,0.6279137626159536
30,Baseline_use_fft_False,0.9649621087205155,0.9721159913384062,0.9800877788004904,0.9649621087205155,0.9689524457611483
31,Baseline_use_fft_False_and_no_gMLP,0.9657957934934239,0.9752111878447344,0.9858597649536884,0.9657957934934239,0.9725019504728176
32,Baseline_use_wavelets_False,0.9479801297633341,0.8637748594978908,0.824591268274811,0.9479801297633341,0.8271518800450073
33,Baseline_use_wavelets_False_and_no_gMLP,0.9418249613058163,0.8527852216865849,0.8145178663456183,0.9418249613058163,0.8111990273300884
34,Baseline_use_gmlp_False,0.962834690387246,0.9733690891556229,0.9852702681512309,0.962834690387246,0.9699306746816317
