,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.928038105046344,0.8671114810676176,0.828177933461448,0.928038105046344,0.9531819098509992
1,Baseline_use_wavelets_False_and_use_fft_False,0.7501001258725255,0.4773499210883909,0.5488668506647505,0.7501001258725255,0.3576407998774996
2,Baseline_use_fft_False,0.8384397528321318,0.6256277302480004,0.669054687566336,0.8384397528321318,0.492875037437686
3,Baseline_use_fft_False_and_no_gMLP,0.8732263416866918,0.656127867004643,0.673670115792556,0.8732263416866918,0.5838442133129826
4,Baseline_use_wavelets_False,0.803238356791395,0.5551795119477949,0.6122203343932885,0.803238356791395,0.4119217077417465
5,Baseline_use_wavelets_False_and_no_gMLP,0.7698678338482664,0.5393873667352639,0.6622226160308956,0.7698678338482664,0.37828232908104775
6,Baseline_use_gmlp_False,0.899545142464813,0.6885416558597596,0.6835352892508837,0.899545142464813,0.6992493769833444
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8510699164664149,0.6254023409142931,0.6694988417902373,0.8510699164664149,0.49223096280057654
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8554897585536102,0.6399815404127132,0.6708067245924809,0.8554897585536102,0.5317289338781694
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8604960521798833,0.6230371397911992,0.6708186264846816,0.8604960521798833,0.4855750671082622
10,Baseline_use_kan_False,0.8800921158027234,0.663111421140977,0.675291825471268,0.8800921158027234,0.6084889869227641
11,Baseline_use_smoe_False,0.925863943242934,0.8180900802041328,0.7726193352356451,0.925863943242934,0.9237411524443667
12,Baseline_use_gc_False,0.8506837166723882,0.635869846672685,0.6702411744751514,0.8506837166723882,0.5198442353716235
13,Baseline_use_lookahead_False,0.9248340771255292,0.8019291543623428,0.757466364743442,0.9248340771255292,0.9106969839527596
14,Baseline,0.8296286760498912,0.6183534348626877,0.6683693400560303,0.8296286760498912,0.4759423883717839
15,Baseline_use_wavelets_False_and_use_fft_False,0.702382995766106,0.4957483411121287,0.6613831453136206,0.702382995766106,0.35532970842248707
16,Baseline_use_fft_False,0.8695645954914749,0.6526157631254963,0.6729486731598091,0.8695645954914749,0.5718473454202266
17,Baseline_use_fft_False_and_no_gMLP,0.8909629248197733,0.6758437898521223,0.6789486219816728,0.8909629248197733,0.6546192499264825
18,Baseline_use_wavelets_False,0.7768194301407484,0.4458381574677864,0.5457553250206758,0.7768194301407484,0.3439324833099192
19,Baseline_use_wavelets_False_and_no_gMLP,0.8412289735667696,0.6166036700416314,0.6674270931687435,0.8412289735667696,0.4727377281405444
20,Baseline_use_gmlp_False,0.8946675821032155,0.6663090276930045,0.678482102749396,0.8946675821032155,0.612590654527956
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9035501773658313,0.6958952834544068,0.6866067792501066,0.9035501773658313,0.7233532971223526
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8283699507952855,0.6173157827177237,0.6682804328605957,0.8283699507952855,0.473670153622391
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8728830529808902,0.6563383415864584,0.6747366452982249,0.8728830529808902,0.5828147189698691
24,Baseline_use_kan_False,0.8763159400389061,0.6591973522524579,0.6743512240038676,0.8763159400389061,0.5945649485208043
25,Baseline_use_smoe_False,0.8495394209863828,0.6354658385639359,0.6712651385773376,0.8495394209863828,0.5172647123560695
26,Baseline_use_gc_False,0.7998769882137543,0.594113067570633,0.6678464049274697,0.7998769882137543,0.4303544294807288
27,Baseline_use_lookahead_False,0.9240330701453255,0.7964907093336168,0.7492335765109827,0.9240330701453255,0.9006834167493664
28,Baseline,0.9234609223023229,0.7846714599907304,0.7427013952531331,0.9234609223023229,0.8941169043220167
29,Baseline_use_wavelets_False_and_use_fft_False,0.776504748827097,0.546619204365797,0.6635322651815231,0.776504748827097,0.3830472943024704
30,Baseline_use_fft_False,0.8549176107106077,0.637261094991184,0.6662269901655314,0.8549176107106077,0.5297436287320612
31,Baseline_use_fft_False_and_no_gMLP,0.8950823892893923,0.6815317240062847,0.680887790299483,0.8950823892893923,0.6749722314632556
32,Baseline_use_wavelets_False,0.7986182629591486,0.5930387997280496,0.6677903452764634,0.7986182629591486,0.42873676491287754
33,Baseline_use_wavelets_False_and_no_gMLP,0.8047974596635771,0.5931588218776901,0.6579557981784739,0.8047974596635771,0.43561104345699353
34,Baseline_use_gmlp_False,0.9200280352443072,0.7546853403850059,0.7201418298933775,0.9200280352443072,0.8562538885119196
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8636142579242475,0.6471367917661084,0.6719380679323427,0.8636142579242475,0.5538182650388676
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8966128847694245,0.6679475006794237,0.6779252215081232,0.8966128847694245,0.6201314113360941
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8572062020826182,0.6409104628656429,0.6698873619135783,0.8572062020826182,0.5360443472095459
38,Baseline_use_kan_False,0.9255206545371323,0.8123309557255031,0.7670632955796425,0.9255206545371323,0.919332387492368
39,Baseline_use_smoe_False,0.8969132623870008,0.6842835922464913,0.6818936147105353,0.8969132623870008,0.6846307271576552
40,Baseline_use_gc_False,0.7729574322004806,0.5413578385702179,0.6600578324143122,0.7729574322004806,0.38004327074110106
41,Baseline_use_lookahead_False,0.9140347865888545,0.8562440086898814,0.8192908625891032,0.9140347865888545,0.9496747890347061
42,Baseline,0.9223166266163175,0.7729981627546901,0.733472869490469,0.9223166266163175,0.8809564006500696
