,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8583888552392489,0.873214089483323,0.9057536288548946,0.8583888552392489,0.9041398295315728
1,Baseline_use_wavelets_False_and_use_fft_False,0.8206036745406825,0.743391577060932,0.7149529509880003,0.8206036745406825,0.697408837025547
2,Baseline_use_fft_False,0.8279527559055119,0.7765291340872736,0.7627588226699437,0.8279527559055119,0.7394347105330854
3,Baseline_use_fft_False_and_no_gMLP,0.8055017161316375,0.6987659862758057,0.6556765054776359,0.8055017161316375,0.6391350361052985
4,Baseline_use_wavelets_False,0.8153543307086615,0.7582265378279122,0.7958721981469882,0.8153543307086615,0.6692334581207044
5,Baseline_use_wavelets_False_and_no_gMLP,0.844750656167979,0.8512365581604339,0.8851546844967898,0.844750656167979,0.8826879432310198
6,Baseline_use_gmlp_False,0.8417221885725823,0.8616596016265876,0.8963312368972746,0.8417221885725823,0.8952770934214468
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8338481728245508,0.8244345964020291,0.8508009068787027,0.8338481728245508,0.8206990471483742
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8338481728245508,0.8229313984709669,0.8487345987345988,0.8338481728245508,0.8221299483439178
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8316272965879264,0.8059409476489211,0.8421839849000884,0.8316272965879264,0.7696877140459654
10,Baseline_use_kan_False,0.8279123763375731,0.8671494947289248,0.9273905122223551,0.8279123763375731,0.8924409099691146
11,Baseline_use_smoe_False,0.863517060367454,0.8841052956615717,0.9210623319972328,0.863517060367454,0.9088965021899742
12,Baseline_use_gc_False,0.85249343832021,0.8368830322909462,0.8650834242589562,0.85249343832021,0.8059784946421306
13,Baseline_use_lookahead_False,0.8107611548556429,0.7769227927631035,0.8236470990094178,0.8107611548556429,0.7350740500088274
