,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9711485620358943,0.9785923147779266,0.9868352365579635,0.9711485620358943,0.9758553806798401
1,Baseline_use_wavelets_False_and_use_fft_False,0.9733669476235276,0.9767378385721767,0.9803874716622163,0.9733669476235276,0.9735829964741272
2,Baseline_use_fft_False,0.9712350551524939,0.9785973393383549,0.9867452428101872,0.9712350551524939,0.9758559707145562
3,Baseline_use_fft_False_and_no_gMLP,0.9710331144646518,0.9784311900563955,0.986621288664082,0.9710331144646518,0.9756763037342602
4,Baseline_use_wavelets_False,0.9793145589571569,0.9756699110264373,0.9720866085307259,0.9793145589571569,0.9720709939767794
5,Baseline_use_wavelets_False_and_no_gMLP,0.9769068461451932,0.9810102884009614,0.9854592620534269,0.9769068461451932,0.9783373121450106
6,Baseline_use_gmlp_False,0.9757534811747545,0.9807981528187616,0.98629354738154,0.9757534811747545,0.9781469800397048
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9777528445887569,0.9814110816836935,0.985370447682573,0.9777528445887569,0.9787604667942337
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9684565131944366,0.9769883752266203,0.986518631808808,0.9684565131944366,0.9741727725356664
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9721675467126575,0.979011027091083,0.9865559377823999,0.9721675467126575,0.9762785107663927
10,Baseline_use_kan_False,0.974292379430112,0.9803109930460737,0.9869070962152949,0.974292379430112,0.9776597037562382
11,Baseline_use_smoe_False,0.9696005969273234,0.9776252513924044,0.9865525491657176,0.9696005969273234,0.9748343925754502
12,Baseline_use_gc_False,0.973023196641102,0.979470455388454,0.9865582060532433,0.973023196641102,0.9767599427420498
13,Baseline_use_lookahead_False,0.9688410916003592,0.977218257432893,0.9865638874897384,0.9688410916003592,0.9744131795869486
