,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9673474916185434,0.9684022001111879,0.9699175400974746,0.9673474916185434,0.9512081564979791
1,Baseline_use_wavelets_False_and_use_fft_False,0.9735165449066582,0.9749209294324528,0.976758191656666,0.9735165449066582,0.9613314032753704
2,Baseline_use_fft_False,0.967150394206486,0.9705641062638121,0.9748424538978951,0.967150394206486,0.954643004548006
3,Baseline_use_fft_False_and_no_gMLP,0.9711214169451755,0.9723782380871522,0.9740944893696671,0.9711214169451755,0.9573150956443396
4,Baseline_use_wavelets_False,0.9734114236843917,0.9753367147699231,0.9777390343799857,0.9734114236843917,0.961920447136185
5,Baseline_use_wavelets_False_and_no_gMLP,0.9706224819182272,0.9687041819855723,0.9669070423903495,0.9706224819182272,0.9511800668795946
6,Baseline_use_gmlp_False,0.9690032091851726,0.9714260062354053,0.974421148510198,0.9690032091851726,0.9558016316391329
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9698880060139016,0.9695434351728386,0.9696778591152229,0.9698880060139016,0.9526410505038481
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9683138513293933,0.970784778769613,0.9740882815462303,0.9683138513293933,0.9552646550570135
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9686926575285147,0.9722452895258735,0.9766090955484416,0.9686926575285147,0.9571708494268745
10,Baseline_use_kan_False,0.970623100214667,0.9727721093550495,0.9754352953594037,0.970623100214667,0.9578893086500996
11,Baseline_use_smoe_False,0.9732269754887565,0.9753401690750497,0.9779851110874173,0.9732269754887565,0.9620770115105846
12,Baseline_use_gc_False,0.9732511929521372,0.9750222956749007,0.9772528070401028,0.9732511929521372,0.9614734432293741
13,Baseline_use_lookahead_False,0.9735666790993229,0.9747434293962117,0.976344191594276,0.9735666790993229,0.9610398260795544
14,Baseline,0.9673072672337297,0.9700912785094324,0.9735824273460182,0.9673072672337297,0.9537284703226558
15,Baseline_use_wavelets_False_and_use_fft_False,0.9741525333451483,0.9755217347497998,0.9772998535376383,0.9741525333451483,0.9622220420746076
16,Baseline_use_fft_False,0.9678640103524416,0.9709490061059297,0.9748015899103483,0.9678640103524416,0.9550785525855919
17,Baseline_use_fft_False_and_no_gMLP,0.967590366202382,0.9696489875517423,0.9722413467475844,0.967590366202382,0.952967751289797
18,Baseline_use_wavelets_False,0.9741315919331875,0.9760353529632381,0.9784388748463612,0.9741315919331875,0.9632705898200364
19,Baseline_use_wavelets_False_and_no_gMLP,0.9739438676861321,0.9759541823062259,0.9784655028110886,0.9739438676861321,0.9629688549522673
20,Baseline_use_gmlp_False,0.9704804940161579,0.9713470252945617,0.9725449449473121,0.9704804940161579,0.9555123648685241
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9710293999285895,0.973835212516385,0.9772669783366611,0.9710293999285895,0.959688791529298
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9713966787075478,0.9737149040094818,0.9765776249772976,0.9713966787075478,0.9593849171720208
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9643686636663968,0.9684368791553203,0.9736198851216793,0.9643686636663968,0.9519891602691216
24,Baseline_use_kan_False,0.9730424864663259,0.9751968229323343,0.9778902444908454,0.9730424864663259,0.9617789379931742
25,Baseline_use_smoe_False,0.9729857593440255,0.9746042224973763,0.9766379091879243,0.9729857593440255,0.9607219281681207
26,Baseline_use_gc_False,0.9728805972949637,0.974688369697986,0.9769526346765028,0.9728805972949637,0.9608744044525739
27,Baseline_use_lookahead_False,0.9702685114789262,0.9710779173746801,0.9726295087574549,0.9702685114789262,0.9554690413157105
28,Baseline,0.9747075363711617,0.9755546656499844,0.976749773748575,0.9747075363711617,0.9622280401547912
