,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.990049751243781,0.8171717171717172,0.7222222222222222,0.990049751243781,0.7807535728217769
1,Baseline_use_wavelets_False_and_use_fft_False,0.9734660033167496,0.6571787452616468,0.5793650793650794,0.9734660033167496,0.6020613128588834
2,Baseline_use_fft_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
3,Baseline_use_fft_False_and_no_gMLP,0.9867330016583749,0.7710095882684715,0.6717948717948717,0.9867330016583749,0.7330950680511593
4,Baseline_use_wavelets_False,0.9966832504145936,0.8872222222222222,0.8333333333333334,0.9966832504145936,0.9095614863908631
5,Baseline_use_wavelets_False_and_no_gMLP,0.990049751243781,0.7901564666270549,0.7248677248677248,0.990049751243781,0.7824558237026686
6,Baseline_use_gmlp_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9817578772802653,0.736654081922624,0.6333333333333333,0.9817578772802653,0.67419950270761
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9950248756218905,0.9448621553884712,0.9090909090909092,0.9950248756218905,0.8716471801967702
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9983416252072969,0.9325020781379884,0.8888888888888888,0.9983416252072969,0.9516215262529272
10,Baseline_use_kan_False,0.9966832504145936,0.8872222222222222,0.8333333333333334,0.9966832504145936,0.9095614863908631
11,Baseline_use_smoe_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
12,Baseline_use_gc_False,0.9166666666666666,0.9507307873644507,0.9967159277504104,0.9166666666666666,0.8909215822651249
13,Baseline_use_lookahead_False,0.9950248756218905,0.8937900306321359,0.8222222222222223,0.9950248756218905,0.8716133283635715
14,Baseline,0.9867330016583749,0.7615027552322268,0.7037037037037037,0.9867330016583749,0.7359148674361959
15,Baseline_use_wavelets_False_and_use_fft_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
16,Baseline_use_fft_False,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
17,Baseline_use_fft_False_and_no_gMLP,0.9767827529021559,0.6908964851992524,0.6270396270396271,0.9767827529021559,0.6310659429483394
18,Baseline_use_wavelets_False,0.8266998341625208,0.8061737257717158,0.8717948717948718,0.8266998341625208,0.7940836228717633
19,Baseline_use_wavelets_False_and_no_gMLP,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
20,Baseline_use_gmlp_False,0.9817578772802653,0.7461778914464335,0.717948717948718,0.9817578772802653,0.680553750462643
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9533582089552238,0.8315873015873017,0.7983249581239531,0.9533582089552238,0.8151195667479083
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
24,Baseline_use_kan_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
25,Baseline_use_smoe_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
26,Baseline_use_gc_False,0.955016583747927,0.9386827050022003,0.9242592592592592,0.955016583747927,0.8519561740514979
27,Baseline_use_lookahead_False,0.9917081260364843,0.9164367678221582,0.8717948717948718,0.9917081260364843,0.8081261898851871
28,Baseline,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
29,Baseline_use_wavelets_False_and_use_fft_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
30,Baseline_use_fft_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
31,Baseline_use_fft_False_and_no_gMLP,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
32,Baseline_use_wavelets_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
33,Baseline_use_wavelets_False_and_no_gMLP,0.9950248756218905,0.9448621553884712,0.9090909090909092,0.9950248756218905,0.8716471801967702
34,Baseline_use_gmlp_False,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
38,Baseline_use_kan_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
39,Baseline_use_smoe_False,0.9950248756218905,0.8667747800874736,0.7962962962962963,0.9950248756218905,0.8719155092565444
40,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
41,Baseline_use_lookahead_False,0.8233830845771144,0.7823891084760649,0.8444444444444444,0.8233830845771144,0.7394195074490589
42,Baseline,0.9983416252072969,0.9325020781379884,0.8888888888888888,0.9983416252072969,0.9516215262529272
43,Baseline_use_wavelets_False_and_use_fft_False,0.9386401326699834,0.6653970375320192,0.6837606837606837,0.9386401326699834,0.44753770304040313
44,Baseline_use_fft_False,0.9784411276948589,0.6914244281853538,0.6161616161616161,0.9784411276948589,0.6443369564753199
45,Baseline_use_fft_False_and_no_gMLP,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
46,Baseline_use_wavelets_False,0.9983416252072969,0.9325020781379884,0.8888888888888888,0.9983416252072969,0.9516215262529272
47,Baseline_use_wavelets_False_and_no_gMLP,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
48,Baseline_use_gmlp_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.990049751243781,0.7994607731449838,0.7090909090909091,0.990049751243781,0.781075274668285
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9933665008291874,0.8773516706338711,0.797979797979798,0.9933665008291874,0.8381228091328099
52,Baseline_use_kan_False,0.9533582089552238,0.8438888888888889,0.7899916247906198,0.9533582089552238,0.8142697914412742
53,Baseline_use_smoe_False,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
54,Baseline_use_gc_False,0.7483416252072969,0.818921892189219,0.9474548440065682,0.7483416252072969,0.774561584591759
55,Baseline_use_lookahead_False,0.9933665008291874,0.9299832495812396,0.8888888888888888,0.9933665008291874,0.8382137738880595
56,Baseline,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
57,Baseline_use_wavelets_False_and_use_fft_False,0.9933665008291874,0.8341849302535085,0.762962962962963,0.9933665008291874,0.8388446223842779
58,Baseline_use_fft_False,0.9983416252072969,0.9325020781379884,0.8888888888888888,0.9983416252072969,0.9516215262529272
59,Baseline_use_fft_False_and_no_gMLP,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
60,Baseline_use_wavelets_False,0.988391376451078,0.7718706047819971,0.6952380952380953,0.988391376451078,0.7572172959662452
61,Baseline_use_wavelets_False_and_no_gMLP,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
62,Baseline_use_gmlp_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
63,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
64,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9516998341625208,0.8069340016708438,0.7760942760942761,0.9516998341625208,0.7818688567950091
65,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9784411276948589,0.7073788441397696,0.6512820512820513,0.9784411276948589,0.6464789653711615
66,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
67,Baseline_use_smoe_False,0.9950248756218905,0.9448621553884712,0.9090909090909092,0.9950248756218905,0.8716471801967702
68,Baseline_use_gc_False,0.9500414593698175,0.7875674669644518,0.7602127145274352,0.9500414593698175,0.7522834574430014
69,Baseline_use_lookahead_False,0.35655058043117743,0.06942711287577992,0.3468697123519458,0.35655058043117743,0.053303250502652805
70,Baseline,0.966832504145937,0.6492146596858638,0.5925925925925926,0.966832504145937,0.5600023084300009
71,Baseline_use_wavelets_False_and_use_fft_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
72,Baseline_use_fft_False,0.9566749585406301,0.9566749585406301,0.9566749585406301,0.9566749585406301,0.8958538993089832
73,Baseline_use_fft_False_and_no_gMLP,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
74,Baseline_use_wavelets_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
75,Baseline_use_wavelets_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
76,Baseline_use_gmlp_False,0.9966832504145936,0.9612962962962963,0.9333333333333332,0.9966832504145936,0.9091085592597699
77,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
78,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
79,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9817578772802653,0.7157685347212874,0.6424242424242425,0.9817578772802653,0.6769328976927593
80,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
81,Baseline_use_smoe_False,0.9966832504145936,0.9120588235294118,0.8518518518518517,0.9966832504145936,0.909146314533143
82,Baseline_use_gc_False,0.9983416252072969,0.9795609016674002,0.9629629629629629,0.9983416252072969,0.9514925819833174
83,Baseline_use_lookahead_False,0.8266998341625208,0.8061737257717158,0.8717948717948718,0.8266998341625208,0.7940836228717633
