,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9273204244872099,0.9221787968780752,0.9238333137416245,0.9273204244872099,0.8963328503473708
1,Baseline_use_wavelets_False_and_use_fft_False,0.9582640373802169,0.897498150943799,0.8503546099290779,0.9582640373802169,0.8753118474720382
2,Baseline_use_fft_False,0.9572166785459729,0.9466637937226171,0.9385624197778895,0.9572166785459729,0.9222912154441073
3,Baseline_use_fft_False_and_no_gMLP,0.9582640373802169,0.9009690696722492,0.8554421768707483,0.9582640373802169,0.8752451024488308
4,Baseline_use_wavelets_False,0.9945355191256832,0.9624484310958813,0.9347442680776014,0.9945355191256832,0.9497896232914104
5,Baseline_use_wavelets_False_and_no_gMLP,0.9619070246297615,0.9240536769244673,0.891485468211811,0.9619070246297615,0.9015430763609518
6,Baseline_use_gmlp_False,0.9483250178189593,0.9220413247112219,0.8991091733613231,0.9483250178189593,0.8992391637565551
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9454343866318208,0.823686839076716,0.764014466546112,0.9454343866318208,0.726452886903423
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9600855310049893,0.9089344231311625,0.8687580025608194,0.9600855310049893,0.8875156568660455
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9152074918824741,0.9430863655311038,0.9766166747298822,0.9152074918824741,0.9175839929542525
10,Baseline_use_kan_False,0.9457986853567751,0.9080152171061262,0.8858983983983985,0.9457986853567751,0.8990570343385916
11,Baseline_use_smoe_False,0.9791320186901086,0.9502651072045533,0.9245362088385344,0.9791320186901086,0.9325460748117687
12,Baseline_use_gc_False,0.921719331591035,0.929484873028778,0.9409306561613081,0.921719331591035,0.9106195553364632
13,Baseline_use_lookahead_False,0.97639977825295,0.9321273808756899,0.8947933440687064,0.97639977825295,0.9111697917397992
