,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9953860953860953,0.855140953324286,0.8571428571428571,0.8531880817595103,0.9956890097621512
1,Baseline_use_wavelets_False_and_use_fft_False,0.9977207977207977,0.8877414419583095,0.8666666666666667,0.9977207977207977,0.9886227633641889
2,Baseline_use_fft_False,0.9941896024464832,0.8488942243564093,0.8461538461538461,0.8521625163826999,0.9734039158253526
3,Baseline_use_fft_False_and_no_gMLP,0.9985754985754985,0.8565297363580626,0.8571428571428571,0.8559218559218559,0.9928541454496512
4,Baseline_use_wavelets_False,0.9991452991452991,0.856775615130371,0.8571428571428571,0.8564102564102564,0.9956982402756367
5,Baseline_use_wavelets_False_and_no_gMLP,0.9961260961260961,0.8554727733017605,0.8571428571428571,0.8538223681080824,0.9900132725311815
6,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9997150997150998,0.9665240946678072,0.9444444444444443,0.9997150997150998,0.9985612893065231
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9997150997150998,0.9665240946678072,0.9444444444444443,0.9997150997150998,0.9985612893065231
10,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
11,Baseline_use_smoe_False,0.9975296874379443,0.8559559725252927,0.8568990736226231,0.8550254463753808,0.9971202533048291
12,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
13,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
14,Baseline,0.999388379204893,0.8511659663865546,0.8461538461538461,0.8566186107470511,0.9971257570093855
15,Baseline_use_wavelets_False_and_use_fft_False,0.9160968660968661,0.9302632746788735,0.974053724053724,0.9160968660968661,0.9956887646372143
16,Baseline_use_fft_False,0.9996941896024465,0.8570116751934933,0.8571428571428571,0.8568807339449541,0.9985611952113743
17,Baseline_use_fft_False_and_no_gMLP,0.9994301994301994,0.8568982387475538,0.8571428571428571,0.8566544566544566,0.9971273836579654
18,Baseline_use_wavelets_False,0.999388379204893,0.9441380718954248,0.9166666666666666,0.999388379204893,0.9971269689471548
19,Baseline_use_wavelets_False_and_no_gMLP,0.9972656972656972,0.7489689654400573,0.75,0.7479492729492729,0.9956899384282903
20,Baseline_use_gmlp_False,0.9978354978354979,0.998768346887099,0.9997155858930603,0.9978354978354979,0.9985593820492705
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9991034789199927,0.95940872716608,0.9313390313390313,0.9991034789199927,0.9956864548825409
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9991452991452991,0.9963868376096365,0.99375,0.9991452991452991,0.995696551336492
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9952713952713953,0.8254894485434281,0.8074571600792215,0.8530897673754817,0.985691993014583
24,Baseline_use_kan_False,0.9932215932215932,0.8538170687211214,0.8564127524945242,0.851332794189937,0.9942379962877567
25,Baseline_use_smoe_False,0.9996941896024465,0.8570116751934933,0.8571428571428571,0.8568807339449541,0.9985611952113743
26,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
27,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
