,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9577561394219051,0.9707320428129976,0.985865503790616,0.9577561394219051,0.9679727593913632
1,Baseline_use_wavelets_False_and_use_fft_False,0.8780796305885791,0.722587399595961,0.7314672711240702,0.8780796305885791,0.6111654164400641
2,Baseline_use_fft_False,0.962271631062598,0.9727581811910295,0.9847337936634855,0.962271631062598,0.9699432393932744
3,Baseline_use_fft_False_and_no_gMLP,0.9602701954117236,0.9716316397189976,0.9847031882885248,0.9602701954117236,0.9687961356208241
4,Baseline_use_wavelets_False,0.895500425222807,0.7443128077001928,0.7415226539592545,0.895500425222807,0.6446091366646683
5,Baseline_use_wavelets_False_and_no_gMLP,0.8040022314745848,0.6152303941065017,0.7043778279158266,0.8040022314745848,0.48528059741017326
6,Baseline_use_gmlp_False,0.9624289033495974,0.973091567289016,0.9851625023197089,0.9624289033495974,0.9702023216581905
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9572377508080789,0.9704569600907806,0.985907723632387,0.9572377508080789,0.9676997958802912
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9593298436587149,0.9427880040290963,0.9278977946457397,0.9593298436587149,0.9339098943101227
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9128810120098828,0.7799851110681654,0.7599001000335631,0.9128810120098828,0.6993877810544898
10,Baseline_use_kan_False,0.9625441490922894,0.9347336072292799,0.9119136503507925,0.9625441490922894,0.9233082707485523
11,Baseline_use_smoe_False,0.9618778617756717,0.9732374544132855,0.9862962333634581,0.9618778617756717,0.9705359400182224
12,Baseline_use_gc_False,0.9637116936938913,0.9743002350168785,0.9863931543597672,0.9637116936938913,0.971626473661892
13,Baseline_use_lookahead_False,0.9589117677015754,0.9715219599381376,0.9861783178396414,0.9589117677015754,0.9687905564747915
14,Baseline,0.964874323819129,0.945328702476965,0.928115803364077,0.964874323819129,0.9366343763619955
15,Baseline_use_wavelets_False_and_use_fft_False,0.8110947526836658,0.6325199307489325,0.7054764720026494,0.8110947526836658,0.4973855538433828
16,Baseline_use_fft_False,0.9558841001672764,0.9696698003409474,0.985859723365261,0.9558841001672764,0.966880729341001
17,Baseline_use_fft_False_and_no_gMLP,0.9577957780610923,0.9708290209725979,0.985870792405139,0.9577957780610923,0.9673605789048696
18,Baseline_use_wavelets_False,0.8184045655004833,0.6392022754679263,0.707560365997349,0.8184045655004833,0.5057746207194742
19,Baseline_use_wavelets_False_and_no_gMLP,0.9573879411126883,0.908952834804424,0.8758941112219998,0.9573879411126883,0.8900631395307922
20,Baseline_use_gmlp_False,0.9598063277534162,0.9716867688408589,0.9854120786864026,0.9598063277534162,0.9689021204774526
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9621998052824333,0.9709159350190902,0.9807452545723487,0.9621998052824333,0.9677910645890689
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9650459069442597,0.9673004412613243,0.9697844037491515,0.9650459069442597,0.9633029393912175
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9589742310490807,0.9184971136745489,0.8887662968764151,0.9589742310490807,0.902672325617281
24,Baseline_use_kan_False,0.9665026883516677,0.9739924906716508,0.9823557941249028,0.9665026883516677,0.9710594119595994
25,Baseline_use_smoe_False,0.954952034489637,0.9155999383492118,0.8865452654167475,0.954952034489637,0.8991703902027244
26,Baseline_use_gc_False,0.9654272606086248,0.9713578935464011,0.9779213863624069,0.9654272606086248,0.9680563207862495
27,Baseline_use_lookahead_False,0.9526853360607791,0.9676920469543822,0.9855299642355767,0.9526853360607791,0.9649162358390243
28,Baseline,0.9712626795987914,0.9752657858509535,0.9796502098002708,0.9712626795987914,0.9722547613494446
29,Baseline_use_wavelets_False_and_use_fft_False,0.820917809243101,0.6408269487094614,0.7082379373364653,0.820917809243101,0.5082511117950933
30,Baseline_use_fft_False,0.9599241911292374,0.9150719306539138,0.8833409306007738,0.9599241911292374,0.8980614235483
31,Baseline_use_fft_False_and_no_gMLP,0.96338703157281,0.9740212626649614,0.9861668306873655,0.96338703157281,0.9712998214832501
32,Baseline_use_wavelets_False,0.8827367226197409,0.7274541176509938,0.733601482343151,0.8827367226197409,0.6189691079579293
33,Baseline_use_wavelets_False_and_no_gMLP,0.9572394003502743,0.9026176459611772,0.8674078280770091,0.9572394003502743,0.8814860537421884
34,Baseline_use_gmlp_False,0.9641672173325473,0.9654162293912177,0.9668255212299544,0.9641672173325473,0.9611341273586198
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.959078230073978,0.9664341818713457,0.9746642985928631,0.959078230073978,0.9627756051086659
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9671497371584922,0.9740846081254911,0.9817996568509221,0.9671497371584922,0.9711215438476071
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9611532189138003,0.9707842996141637,0.9817207013068154,0.9611532189138003,0.967725022715259
38,Baseline_use_kan_False,0.9648073257674268,0.9723555237454322,0.980792589781683,0.9648073257674268,0.9692715209546352
39,Baseline_use_smoe_False,0.9512264256169227,0.902977592012269,0.8703027689710662,0.9512264256169227,0.8824709251311733
40,Baseline_use_gc_False,0.9588910572328878,0.945842258707418,0.9338079645348394,0.9588910572328878,0.9373249890880245
41,Baseline_use_lookahead_False,0.9571882208204787,0.9699927694835421,0.9847607129636865,0.9571882208204787,0.9664906330125329
42,Baseline,0.9610335525328422,0.97270468064375,0.9860325242907257,0.9610335525328422,0.9693819447034157
43,Baseline_use_wavelets_False_and_use_fft_False,0.9047643607463544,0.7604966614459568,0.7493952869075088,0.9047643607463544,0.6693484358568582
44,Baseline_use_fft_False,0.9529887555160547,0.893823021676574,0.857586016687465,0.9529887555160547,0.8696915845793229
45,Baseline_use_fft_False_and_no_gMLP,0.9649331171913897,0.9657517984577164,0.9667059719315323,0.9649331171913897,0.9614744158342282
46,Baseline_use_wavelets_False,0.7480444365915258,0.5369848991192953,0.6948708712183981,0.7480444365915258,0.43284634608640293
47,Baseline_use_wavelets_False_and_no_gMLP,0.8458237837498958,0.6729070960698991,0.7159158217126969,0.8458237837498958,0.5451088501890834
48,Baseline_use_gmlp_False,0.96578874098874,0.9753406269137644,0.9861491219448936,0.96578874098874,0.9727174883765048
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.959483396570458,0.9164298984150022,0.8854990180041097,0.959483396570458,0.8998972049810734
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9639825710627014,0.9745052763376112,0.9865157472904307,0.9639825710627014,0.971844079744715
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.963123206708684,0.9736083418251833,0.9855774492267478,0.963123206708684,0.9708666427894905
52,Baseline_use_kan_False,0.9589035773659793,0.9120722835131826,0.8795686134238258,0.9589035773659793,0.8941366576479023
53,Baseline_use_smoe_False,0.9565050262140108,0.9698391931358065,0.9854447633616027,0.9565050262140108,0.9670456989548907
54,Baseline_use_gc_False,0.9033276914590056,0.7667033987268214,0.7520004320045007,0.9033276914590056,0.6782595932407355
55,Baseline_use_lookahead_False,0.9606036754682493,0.9703269034427304,0.9813779942329962,0.9606036754682493,0.967235364209032
56,Baseline,0.9621683574264427,0.9726117479224857,0.984534895822656,0.9621683574264427,0.96978060172813
