,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,1.0,1.0,1.0,1.0,1.0
1,Baseline_use_wavelets_False_and_use_fft_False,1.0,1.0,1.0,1.0,1.0
2,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
3,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
4,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
5,Baseline_use_wavelets_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
6,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
10,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
11,Baseline_use_smoe_False,1.0,1.0,1.0,1.0,1.0
12,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
13,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
14,Baseline,1.0,1.0,1.0,1.0,1.0
15,Baseline_use_wavelets_False_and_use_fft_False,1.0,1.0,1.0,1.0,1.0
16,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
17,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
18,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
19,Baseline_use_wavelets_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
20,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
24,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
25,Baseline_use_smoe_False,1.0,1.0,1.0,1.0,1.0
26,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
27,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
28,Baseline,1.0,1.0,1.0,1.0,1.0
29,Baseline_use_wavelets_False_and_use_fft_False,0.9989490336754888,0.9959742343806598,0.9933333333333333,0.9989490336754888,0.9997833619188583
30,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
31,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
32,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
33,Baseline_use_wavelets_False_and_no_gMLP,0.9642857142857143,0.9761720830180218,0.9999632231252988,0.9642857142857143,0.9995666669910305
34,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
38,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
39,Baseline_use_smoe_False,1.0,1.0,1.0,1.0,1.0
40,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
41,Baseline_use_lookahead_False,0.99903538490495,0.9825862550781874,0.972630173564753,0.99903538490495,0.9974662649592495
