,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,1.0,1.0,1.0,1.0,1.0
1,Baseline_use_wavelets_False_and_use_fft_False,0.999265982956135,0.7996611837346987,0.7999103942652329,0.799412786364908,0.9977575776884527
2,Baseline_use_fft_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
3,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
4,Baseline_use_wavelets_False,0.9739299614507587,0.860193812065551,0.8611111111111112,0.8657155212895633,0.9955237385406327
5,Baseline_use_wavelets_False_and_no_gMLP,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
6,Baseline_use_gmlp_False,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9994034967075103,0.9950372542516532,0.991002709495013,0.9994034967075103,0.9988777394410144
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9997229125679705,0.9999312809235844,0.999515503875969,0.9994387972894168
10,Baseline_use_kan_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
11,Baseline_use_smoe_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
12,Baseline_use_gc_False,0.9999312431243124,0.9999096336002848,0.9998880931065354,0.9999312431243124,0.9994389891408104
13,Baseline_use_lookahead_False,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
14,Baseline,1.0,1.0,1.0,1.0,1.0
15,Baseline_use_wavelets_False_and_use_fft_False,0.9982537404153018,0.8642496156504137,0.8461966450755689,0.887336658146935,0.9966365332786734
16,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
17,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
18,Baseline_use_wavelets_False,0.9243889509918733,0.932429618691091,0.975041927549195,0.9243889509918733,0.994395732455946
19,Baseline_use_wavelets_False_and_no_gMLP,0.9994467470002815,0.9950372855240532,0.990959521677964,0.9994467470002815,0.9988780246648493
20,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
24,Baseline_use_kan_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
25,Baseline_use_smoe_False,0.999515503875969,0.9997229125679705,0.9999312809235844,0.999515503875969,0.9994387972894168
26,Baseline_use_gc_False,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
27,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
28,Baseline,1.0,1.0,1.0,1.0,1.0
29,Baseline_use_wavelets_False_and_use_fft_False,0.9991972260804475,0.8737167695298673,0.8627450980392157,0.888175312071509,0.9972001317549236
30,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
31,Baseline_use_fft_False_and_no_gMLP,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
32,Baseline_use_wavelets_False,0.9994034967075103,0.7997610022933683,0.8,0.7995227973660082,0.9988781232616378
33,Baseline_use_wavelets_False_and_no_gMLP,0.9992914895390514,0.8844085029899605,0.8808527297316535,0.8882591018124901,0.998316991793943
34,Baseline_use_gmlp_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9998879928315412,0.9582773046466457,0.9375,0.9998879928315412,0.9994390409536347
38,Baseline_use_kan_False,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
39,Baseline_use_smoe_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
40,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
41,Baseline_use_lookahead_False,0.999515503875969,0.9819001386962551,0.96875,0.999515503875969,0.9994389388991111
42,Baseline,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
43,Baseline_use_wavelets_False_and_use_fft_False,0.9986439730807289,0.8878211191719079,0.8879605181891175,0.8876835316273146,0.9960763640926877
44,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
45,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
46,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
47,Baseline_use_wavelets_False_and_no_gMLP,0.999265982956135,0.7995125443781725,0.7996124031007752,0.799412786364908,0.9977580253835941
48,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9997229125679705,0.9999312809235844,0.999515503875969,0.9994387972894168
52,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
53,Baseline_use_smoe_False,0.9994034967075103,0.8884084223904724,0.888458225667528,0.8883586637400092,0.9988778888235309
54,Baseline_use_gc_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
55,Baseline_use_lookahead_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
56,Baseline,0.9998879928315412,0.988580334949676,0.9791666666666667,0.9998879928315412,0.9994390404269837
57,Baseline_use_wavelets_False_and_use_fft_False,0.9165604416780763,0.663712100232021,0.7052631578947368,0.733248353342461,0.9687695567810424
58,Baseline_use_fft_False,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
59,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.9994251062038538,0.9994467847995534,0.9994034967075103,0.9988775214832368
60,Baseline_use_wavelets_False,0.9994034967075103,0.7997610022933683,0.8,0.7995227973660082,0.9988781232616378
61,Baseline_use_wavelets_False_and_no_gMLP,0.9578087849107491,0.7795663744289537,0.7995535714285714,0.7662470279285992,0.9955206073599756
62,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
63,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
64,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999515503875969,0.9580906148867314,0.9375,0.999515503875969,0.9994389391103894
65,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
66,Baseline_use_kan_False,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
67,Baseline_use_smoe_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
68,Baseline_use_gc_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
69,Baseline_use_lookahead_False,0.0001375137513751375,0.00021941854086670324,0.04,0.00011001100110011001,-0.004894557581809981
70,Baseline,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
71,Baseline_use_wavelets_False_and_use_fft_False,0.9997072287873949,0.8702401521314556,0.8571428571428572,0.8886286478110177,0.9983185190203022
72,Baseline_use_fft_False,0.9998879928315412,0.9999096023278848,0.9999312809235844,0.9998879928315412,0.9994388517476978
73,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.7997610022933683,0.8,0.7995227973660082,0.9988781232616378
74,Baseline_use_wavelets_False,0.9997759856630825,0.9950164832499533,0.9905888030888031,0.9997759856630825,0.9988784419709015
75,Baseline_use_wavelets_False_and_no_gMLP,0.923549709622125,0.8254609873071654,0.8620525087446674,0.8209330752196666,0.9932827031744929
76,Baseline_use_gmlp_False,0.9994034967075103,0.8886233358815203,0.8888888888888888,0.8883586637400092,0.9988782974498956
77,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
78,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
79,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
80,Baseline_use_kan_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
81,Baseline_use_smoe_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
82,Baseline_use_gc_False,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
83,Baseline_use_lookahead_False,0.9777227722772277,0.9719266687078996,0.971875,0.9777227722772277,0.8400712231815435
84,Baseline,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
85,Baseline_use_wavelets_False_and_use_fft_False,0.9979109360673502,0.8592856009800276,0.8432337818619406,0.8870319431709779,0.9932900710237507
86,Baseline_use_fft_False,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
87,Baseline_use_fft_False_and_no_gMLP,1.0,1.0,1.0,1.0,1.0
88,Baseline_use_wavelets_False,0.9998192359558536,0.9950381742911234,0.9905888030888031,0.9998192359558536,0.9988784543918858
89,Baseline_use_wavelets_False_and_no_gMLP,0.9991539757876763,0.7959573996671073,0.7928571428571429,0.7993231806301411,0.9971989847411081
90,Baseline_use_gmlp_False,1.0,1.0,1.0,1.0,1.0
91,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9994034967075103,0.9882816380213029,0.9790546594982079,0.9994034967075103,0.9988777019498356
