,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9618581726255311,0.970998312469178,0.9816115260319392,0.9618581726255311,0.9652066431757261
1,Baseline_use_wavelets_False_and_use_fft_False,0.967157012924316,0.974412636604468,0.9826909577754801,0.967157012924316,0.9691034716203267
2,Baseline_use_fft_False,0.9652101555734925,0.972601016457559,0.9810325089502152,0.9652101555734925,0.9670415280781541
3,Baseline_use_fft_False_and_no_gMLP,0.9639146296281159,0.9721396739475429,0.9815749877468635,0.9639146296281159,0.9662726581627645
4,Baseline_use_wavelets_False,0.9646382665336137,0.9725515638836262,0.9816343846170509,0.9646382665336137,0.9667361774477864
5,Baseline_use_wavelets_False_and_no_gMLP,0.9640125014198916,0.9725320081439826,0.9823415629543982,0.9640125014198916,0.9669604556869236
6,Baseline_use_gmlp_False,0.9632073493787847,0.9721562245237941,0.9824809314272042,0.9632073493787847,0.9665755914466192
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9626132397527464,0.9719966911163379,0.982858636777646,0.9626132397527464,0.9663457130505025
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9645765879514462,0.9726872378554504,0.9819926670411826,0.9645765879514462,0.9670379258741152
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9596749166012438,0.9695345072950751,0.9809085537115628,0.9596749166012438,0.9630472332691892
10,Baseline_use_kan_False,0.9626921557447625,0.9716660552394835,0.982024358264706,0.9626921557447625,0.9658881626099411
11,Baseline_use_smoe_False,0.964451823659877,0.9727746869463586,0.982375968481172,0.964451823659877,0.9671188311301167
12,Baseline_use_gc_False,0.9620377797413363,0.9713596804177397,0.9821600842228676,0.9620377797413363,0.9655832782499927
13,Baseline_use_lookahead_False,0.9544572472130289,0.9647989936311193,0.9775720440769105,0.9544572472130289,0.9597090229564242
14,Baseline,0.9630107250415515,0.9718836283190845,0.9821220836019466,0.9630107250415515,0.9661182637448923
15,Baseline_use_wavelets_False_and_use_fft_False,0.9693245677801526,0.9757923651151194,0.9831109236212208,0.9693245677801526,0.9707057267550283
16,Baseline_use_fft_False,0.9625451708670342,0.9717514617021085,0.9823930810737268,0.9625451708670342,0.9660399810087851
17,Baseline_use_fft_False_and_no_gMLP,0.9676539164013859,0.9728654021763713,0.9787223362742754,0.9676539164013859,0.9670655288695115
18,Baseline_use_wavelets_False,0.9677116645543462,0.9747851868896601,0.9828279177229667,0.9677116645543462,0.9695591919453488
19,Baseline_use_wavelets_False_and_no_gMLP,0.9665172751871453,0.9737061254009897,0.9818963682861619,0.9665172751871453,0.9682635510346411
20,Baseline_use_gmlp_False,0.9660138954098199,0.9732745471746157,0.9815204883841053,0.9660138954098199,0.9678005285454687
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9629024515978588,0.9708650632268995,0.9800212787780326,0.9629024515978588,0.9648293789681316
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9659968781883917,0.9731924046750241,0.9813656900754973,0.9659968781883917,0.9677255503391303
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9621693797908367,0.9708574601430205,0.9809178609204161,0.9621693797908367,0.9647513387373646
24,Baseline_use_kan_False,0.9661041848816917,0.973545627602962,0.9820621940160771,0.9661041848816917,0.9680369036073352
25,Baseline_use_smoe_False,0.9679524238787671,0.9737073662582058,0.9801802019656636,0.9679524238787671,0.9681968996585791
26,Baseline_use_gc_False,0.9629002928311069,0.9701531900288901,0.9784438408684698,0.9629002928311069,0.963995322280591
27,Baseline_use_lookahead_False,0.967336539120956,0.9724505689576571,0.9782229528342978,0.967336539120956,0.9666921472782559
28,Baseline,0.9665439474985181,0.973282352159745,0.9808989066346712,0.9665439474985181,0.9677273135785163
29,Baseline_use_wavelets_False_and_use_fft_False,0.9672985742488925,0.974623645276932,0.9829794082665017,0.9672985742488925,0.9693309843608323
30,Baseline_use_fft_False,0.9668114651310229,0.9732962744306213,0.9806322467373545,0.9668114651310229,0.9677330268191254
31,Baseline_use_fft_False_and_no_gMLP,0.9671966101895794,0.9717676159670187,0.9768956706259861,0.9671966101895794,0.9658604547168239
32,Baseline_use_wavelets_False,0.9683111977335365,0.9747533249867061,0.9820643597433584,0.9683111977335365,0.9694145127805418
33,Baseline_use_wavelets_False_and_no_gMLP,0.9675476624551895,0.9748111511042333,0.9830764715528354,0.9675476624551895,0.9696336442255714
34,Baseline_use_gmlp_False,0.9659650025122875,0.9737900198249655,0.9827375570922378,0.9659650025122875,0.9684113376234272
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.966064866154939,0.9722453141863167,0.9795070810807612,0.966064866154939,0.9652793358300755
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9664607999697091,0.973777924229358,0.9821222608741236,0.9664607999697091,0.9684152699096076
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9604189215112804,0.970646498844976,0.98250400454444,0.9604189215112804,0.9642739091728211
38,Baseline_use_kan_False,0.9655729407766342,0.9735819256120305,0.982737100061418,0.9655729407766342,0.9682556780306407
39,Baseline_use_smoe_False,0.9676513981769581,0.9747233989739845,0.982753932856193,0.9676513981769581,0.9694812999922684
40,Baseline_use_gc_False,0.9626278780190022,0.9714235217729477,0.9815864900085677,0.9626278780190022,0.9658155094352819
41,Baseline_use_lookahead_False,0.9352894222774198,0.862206724331974,0.832283245881511,0.9352894222774198,0.8195874481737533
42,Baseline,0.9646276396157303,0.9728266505991008,0.9822397284029761,0.9646276396157303,0.9672665619379894
43,Baseline_use_wavelets_False_and_use_fft_False,0.9719500944906029,0.9769852104659728,0.9826430459804443,0.9719500944906029,0.971938864827384
44,Baseline_use_fft_False,0.9675324978153821,0.9741054512916726,0.9815380458199291,0.9675324978153821,0.9687218115626032
45,Baseline_use_fft_False_and_no_gMLP,0.9654252093369333,0.9729087914484076,0.9814294087538822,0.9654252093369333,0.9671900295403771
46,Baseline_use_wavelets_False,0.9634618611382337,0.9721807787907547,0.9822140712004582,0.9634618611382337,0.9664986014889576
47,Baseline_use_wavelets_False_and_no_gMLP,0.9642183404702286,0.9727223287286614,0.9824940625852333,0.9642183404702286,0.967263279408947
48,Baseline_use_gmlp_False,0.9638919686651155,0.972499170536724,0.9824043371873543,0.9638919686651155,0.9668059088794307
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9664043247522729,0.973870835403102,0.9823896669141056,0.9664043247522729,0.9685661413374502
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9672576231289397,0.972840292870982,0.9791287094935276,0.9672576231289397,0.9671360736620026
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9666907121878262,0.9732588769215306,0.9807139249036383,0.9666907121878262,0.967811926226124
52,Baseline_use_kan_False,0.9315772087431298,0.9458193767956491,0.9674827101696538,0.9315772087431298,0.9447416718795716
53,Baseline_use_smoe_False,0.9660935579638084,0.9737955004842981,0.9825930670629348,0.9660935579638084,0.9685643226047503
54,Baseline_use_gc_False,0.9634379272397092,0.9704670502813914,0.9784611274770908,0.9634379272397092,0.9643742157932357
55,Baseline_use_lookahead_False,0.9614481269180569,0.9692734933078203,0.9784930086581304,0.9614481269180569,0.9640283276045338
56,Baseline,0.9628894457248031,0.9708733933125089,0.9800152694735695,0.9628894457248031,0.9647466239151367
57,Baseline_use_wavelets_False_and_use_fft_False,0.967840139086702,0.9729983979721101,0.978851796967208,0.967840139086702,0.9669266155293351
58,Baseline_use_fft_False,0.9621074810202487,0.9712277383496918,0.9818252498227621,0.9621074810202487,0.9652848731641409
59,Baseline_use_fft_False_and_no_gMLP,0.9682937934078119,0.9718975928458885,0.9760652594742002,0.9682937934078119,0.9649301998637302
60,Baseline_use_wavelets_False,0.9631733149359286,0.9720780045687997,0.982348114186656,0.9631733149359286,0.9664228699696792
61,Baseline_use_wavelets_False_and_no_gMLP,0.9682547225161002,0.9748213121102145,0.9822599626481177,0.9682547225161002,0.9695624032905369
62,Baseline_use_gmlp_False,0.9673039978020443,0.9741698130250568,0.9819819608413208,0.9673039978020443,0.9689533127841244
63,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9628143208927389,0.9713681982376413,0.9812790790414225,0.9628143208927389,0.9654416529662376
64,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9690895914665596,0.9739435185031008,0.9793783500972103,0.9690895914665596,0.9684384041810189
65,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9672562109241603,0.9734926085301514,0.9806280380342643,0.9672562109241603,0.9675248133046154
66,Baseline_use_kan_False,0.9659968781883917,0.9732173963252024,0.981436087554269,0.9659968781883917,0.9677279905740757
67,Baseline_use_smoe_False,0.9643388732250048,0.9730001117419979,0.9829826197916094,0.9643388732250048,0.967418321931166
68,Baseline_use_gc_False,0.968074282841612,0.9722080252385558,0.976844327123764,0.968074282841612,0.9660995807358481
69,Baseline_use_lookahead_False,0.9643497203313086,0.9722622511113984,0.9814147204382726,0.9643497203313086,0.9666708447917631
70,Baseline,0.9660533534058279,0.9730596166424713,0.9810323506316997,0.9660533534058279,0.9675787854534841
71,Baseline_use_wavelets_False_and_use_fft_False,0.9682717397375282,0.9748656599762243,0.9823614812566578,0.9682717397375282,0.9696427220049773
72,Baseline_use_fft_False,0.9677945918947347,0.9743971812554673,0.981889246311674,0.9677945918947347,0.9691067943711774
73,Baseline_use_fft_False_and_no_gMLP,0.9685195550083012,0.9730839725666192,0.9782014048144942,0.9685195550083012,0.967305378674759
74,Baseline_use_wavelets_False,0.965878284011947,0.9738942035803594,0.9830798656305314,0.965878284011947,0.9686404908838987
75,Baseline_use_wavelets_False_and_no_gMLP,0.9676265784472057,0.9744580558610719,0.982217891480035,0.9676265784472057,0.9691804389744297
76,Baseline_use_gmlp_False,0.964413998057069,0.9725166517579059,0.9818250999794383,0.964413998057069,0.9667344755993272
77,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9657300261986942,0.9720587613615576,0.9792431811821679,0.9657300261986942,0.9661404501793501
78,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9739901189954018,0.9743698096020998,0.9749001070150843,0.9739901189954018,0.9686266058109965
79,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9618948062119802,0.9714276317784631,0.9824542704631879,0.9618948062119802,0.9657311835347481
80,Baseline_use_kan_False,0.9634270801334052,0.9710678084864338,0.9798409429205165,0.9634270801334052,0.9651386480790748
81,Baseline_use_smoe_False,0.9674440660026763,0.9726712867687578,0.9785785148026593,0.9674440660026763,0.966767456218673
82,Baseline_use_gc_False,0.9656714731336714,0.973649555782727,0.9827541470775972,0.9656714731336714,0.9682541362301932
83,Baseline_use_lookahead_False,0.9666505076298457,0.9724355339306242,0.9789607400094792,0.9666505076298457,0.9668288257814205
84,Baseline,0.9590530387992756,0.9690191128356614,0.98097437111926,0.9590530387992756,0.9636411294562229
85,Baseline_use_wavelets_False_and_use_fft_False,0.9642537871178644,0.9726979612752515,0.9824374330529039,0.9642537871178644,0.9670404374147399
86,Baseline_use_fft_False,0.9639034814142264,0.9707672921431284,0.9786625766081398,0.9639034814142264,0.9644706406800624
87,Baseline_use_fft_False_and_no_gMLP,0.9673661167610531,0.9736497451173515,0.9807470272962414,0.9673661167610531,0.9681920137774873
88,Baseline_use_wavelets_False,0.9663927310839968,0.9735605844751071,0.9817525558462387,0.9663927310839968,0.9681156395265729
89,Baseline_use_wavelets_False_and_no_gMLP,0.9658612667905189,0.9738772439358336,0.9830629631746045,0.9658612667905189,0.9685642012548137
90,Baseline_use_gmlp_False,0.9624555470379695,0.9702969035127178,0.9792784032931334,0.9624555470379695,0.964215242323554
91,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9629750582054953,0.9720884266275956,0.9826691983321304,0.9629750582054953,0.966582466957159
92,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9650059489163555,0.9720242696307461,0.9800149882792546,0.9650059489163555,0.9661304826854455
93,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9637255876107864,0.9719991686997576,0.9815138474260138,0.9637255876107864,0.9662750427307313
94,Baseline_use_kan_False,0.9634394203636537,0.9723747481537494,0.9826753985820256,0.9634394203636537,0.9668038814718817
95,Baseline_use_smoe_False,0.9693424708328084,0.9744175540593075,0.9801055898082548,0.9693424708328084,0.9689675872950634
96,Baseline_use_gc_False,0.9661460218328721,0.973716260306567,0.982366141538642,0.9661460218328721,0.9684140227175086
97,Baseline_use_lookahead_False,0.9620886112172,0.9717319043028917,0.9829421785989236,0.9620886112172,0.9660429726686504
