,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8216535433070865,0.7695067810010339,0.7889722876028414,0.8216535433070865,0.7041624499767103
1,Baseline_use_wavelets_False_and_use_fft_False,0.8242782152230971,0.7509129689529702,0.7169224156049627,0.8242782152230971,0.7193949695324975
2,Baseline_use_fft_False,0.8167676155865132,0.7854823907790491,0.7774401232414835,0.8167676155865132,0.7429370271621492
3,Baseline_use_fft_False_and_no_gMLP,0.8489299414496264,0.7880919086632637,0.7632939757939758,0.8489299414496264,0.7273617447402697
4,Baseline_use_wavelets_False,0.8216535433070865,0.7504400952676815,0.7284316528212199,0.8216535433070865,0.703657892258859
5,Baseline_use_wavelets_False_and_no_gMLP,0.8348980415909549,0.8171394332181595,0.8091786593562437,0.8348980415909549,0.8257945816897263
6,Baseline_use_gmlp_False,0.8479002624671915,0.8764413569789099,0.9371942697414396,0.8479002624671915,0.915127081818446
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8411972541893803,0.8613195372368977,0.9044674841744977,0.8411972541893803,0.8899949211366759
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8181001413284879,0.7651812240047534,0.7718782165881142,0.8181001413284879,0.7080652001477408
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8125681405208965,0.7893257193748275,0.8275982569721975,0.8125681405208965,0.7148096267426494
10,Baseline_use_kan_False,0.8432969917221887,0.873741129380227,0.9254585667178873,0.8432969917221887,0.9138821709158391
11,Baseline_use_smoe_False,0.8211286089238845,0.7680135699423855,0.7875724733456693,0.8211286089238845,0.7010773607805887
12,Baseline_use_gc_False,0.8484251968503939,0.8832666533892546,0.9492470118618311,0.8484251968503939,0.9206285793793861
13,Baseline_use_lookahead_False,0.8280839895013123,0.852268737932245,0.9377586979344287,0.8280839895013123,0.8731724259554206
14,Baseline,0.8603674540682414,0.8721968297383974,0.9126333165880048,0.8603674540682414,0.8754779370373041
15,Baseline_use_wavelets_False_and_use_fft_False,0.845275590551181,0.8602613689639006,0.9115606671451794,0.845275590551181,0.8873734379834947
16,Baseline_use_fft_False,0.8468503937007874,0.8713611852834516,0.9290528699046049,0.8468503937007874,0.9030877751455231
17,Baseline_use_fft_False_and_no_gMLP,0.8326670704623461,0.7462555913307192,0.7040267607962115,0.8326670704623461,0.7024534236681625
18,Baseline_use_wavelets_False,0.8374015748031495,0.8211477987421384,0.844793521705118,0.8374015748031495,0.814659514774011
19,Baseline_use_wavelets_False_and_no_gMLP,0.8430446194225723,0.7518220065056216,0.6948768075005699,0.8430446194225723,0.7378970640674625
20,Baseline_use_gmlp_False,0.8427720573389864,0.8710831805882866,0.9209060970680162,0.8427720573389864,0.9075915004014224
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8254492226933173,0.7880059626189656,0.7953848457622043,0.8254492226933173,0.756207908128482
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8191096305269534,0.821461688985882,0.8240967486719663,0.8191096305269534,0.8436346926556852
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8389662830607713,0.7818530282926567,0.7559384222700806,0.8389662830607713,0.7336785790481423
24,Baseline_use_kan_False,0.8216535433070865,0.7695067810010339,0.7889722876028414,0.8216535433070865,0.7041624499767103
25,Baseline_use_smoe_False,0.8608923884514436,0.8631102529667315,0.8792621391347506,0.8608923884514436,0.8816227211868755
26,Baseline_use_gc_False,0.8322733696749444,0.8121173574915198,0.8235412286614728,0.8322733696749444,0.8086218938599169
27,Baseline_use_lookahead_False,0.829002624671916,0.7698541138943615,0.7422695488022121,0.829002624671916,0.7504164933990505
