,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9273204244872099,0.9221787968780752,0.9238333137416245,0.9273204244872099,0.8963328503473708
1,Baseline_use_wavelets_False_and_use_fft_False,0.9582640373802169,0.897498150943799,0.8503546099290779,0.9582640373802169,0.8753118474720382
2,Baseline_use_fft_False,0.9572166785459729,0.9466637937226171,0.9385624197778895,0.9572166785459729,0.9222912154441073
3,Baseline_use_fft_False_and_no_gMLP,0.9582640373802169,0.9009690696722492,0.8554421768707483,0.9582640373802169,0.8752451024488308
4,Baseline_use_wavelets_False,0.9945355191256832,0.9624484310958813,0.9347442680776014,0.9945355191256832,0.9497896232914104
5,Baseline_use_wavelets_False_and_no_gMLP,0.9619070246297615,0.9240536769244673,0.891485468211811,0.9619070246297615,0.9015430763609518
6,Baseline_use_gmlp_False,0.9483250178189593,0.9220413247112219,0.8991091733613231,0.9483250178189593,0.8992391637565551
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9454343866318208,0.823686839076716,0.764014466546112,0.9454343866318208,0.726452886903423
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9600855310049893,0.9089344231311625,0.8687580025608194,0.9600855310049893,0.8875156568660455
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9152074918824741,0.9430863655311038,0.9766166747298822,0.9152074918824741,0.9175839929542525
10,Baseline_use_kan_False,0.9457986853567751,0.9080152171061262,0.8858983983983985,0.9457986853567751,0.8990570343385916
11,Baseline_use_smoe_False,0.9791320186901086,0.9502651072045533,0.9245362088385344,0.9791320186901086,0.9325460748117687
12,Baseline_use_gc_False,0.921719331591035,0.929484873028778,0.9409306561613081,0.921719331591035,0.9106195553364632
13,Baseline_use_lookahead_False,0.97639977825295,0.9321273808756899,0.8947933440687064,0.97639977825295,0.9111697917397992
14,Baseline,0.9298368575275203,0.9046983682824594,0.8827594095245784,0.9298368575275203,0.8650295199095636
15,Baseline_use_wavelets_False_and_use_fft_False,0.97639977825295,0.9321273808756899,0.8947933440687064,0.97639977825295,0.9111697917397992
16,Baseline_use_fft_False,0.9445454185475568,0.949793819845799,0.9566744730679156,0.9445454185475568,0.9284614130286745
17,Baseline_use_fft_False_and_no_gMLP,0.9646392650669201,0.9412580693727582,0.9203703703703704,0.9646392650669201,0.923943439258213
18,Baseline_use_wavelets_False,0.9682822523164648,0.9673677147168188,0.9671489849572041,0.9682822523164648,0.9556364645708767
19,Baseline_use_wavelets_False_and_no_gMLP,0.9537894986932763,0.9553098588909918,0.962047212047212,0.9537894986932763,0.9474289412534277
20,Baseline_use_gmlp_False,0.9336164567989229,0.8711941875025605,0.8240331738387102,0.9336164567989229,0.8443180640247053
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9679298328977589,0.9781178343176067,0.9887356001486437,0.9679298328977589,0.963869446985029
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9423715055040786,0.9340443124556269,0.9268329235452523,0.9423715055040786,0.9201708383932877
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9556109923180486,0.9637852464630411,0.9758334392341256,0.9556109923180486,0.9643610372907463
24,Baseline_use_kan_False,0.9655500118793062,0.9513124269146149,0.9404468629447553,0.9655500118793062,0.9318209133377025
25,Baseline_use_smoe_False,0.9673715055040786,0.9596185250506238,0.9536271808999081,0.9673715055040786,0.9478101939652473
26,Baseline_use_gc_False,0.946503524194187,0.9095261508379607,0.8777312485752383,0.946503524194187,0.88465132523048
27,Baseline_use_lookahead_False,0.9609962778173755,0.9224901368253168,0.8901747815230961,0.9609962778173755,0.8944054454026504
28,Baseline,0.9600855310049893,0.9089344231311625,0.8687580025608194,0.9600855310049893,0.8875156568660455
29,Baseline_use_wavelets_False_and_use_fft_False,0.9809535123148807,0.9591239154731218,0.9396670571040602,0.9809535123148807,0.9484021017976839
30,Baseline_use_fft_False,0.9782212718777222,0.9482202396313696,0.9225768321513002,0.9782212718777222,0.9259058232287998
31,Baseline_use_fft_False_and_no_gMLP,0.9609962778173755,0.9200208628043187,0.885315716238499,0.9609962778173755,0.894376570207581
32,Baseline_use_wavelets_False,0.9483250178189593,0.9189306349920529,0.8938679556770607,0.9483250178189593,0.9003998130726468
33,Baseline_use_wavelets_False_and_no_gMLP,0.9628177714421478,0.9304734678144674,0.9022573071006396,0.9628177714421478,0.9088621938652518
34,Baseline_use_gmlp_False,0.97639977825295,0.9333038886370592,0.8973346914523385,0.97639977825295,0.9100495705180643
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9664607586916923,0.9532081941955921,0.9406237701692247,0.9664607586916923,0.9389785161510642
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9362120852142235,0.9397707418416786,0.9434334045162146,0.9362120852142235,0.9189785967354492
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9418131781103983,0.9290647262483481,0.9169618260527352,0.9418131781103983,0.9039108933227533
38,Baseline_use_kan_False,0.8390809376732399,0.8546881982725036,0.8735573705873185,0.8390809376732399,0.7588279988259241
39,Baseline_use_smoe_False,0.9736675378157914,0.9141135232636458,0.8676328502415459,0.9736675378157914,0.8902746864078858
40,Baseline_use_gc_False,0.9547002455056625,0.962874499650655,0.9749226924217393,0.9547002455056625,0.9554041236316991
41,Baseline_use_lookahead_False,0.9483250178189593,0.9246510462290461,0.9075413812045895,0.9483250178189593,0.9005745207505463
42,Baseline,0.9284370792745703,0.9549193259077726,0.9844683393070489,0.9284370792745703,0.9267947932536255
43,Baseline_use_wavelets_False_and_use_fft_False,0.9672923101290886,0.8790710180363384,0.8207249802994484,0.9672923101290886,0.845974872219902
44,Baseline_use_fft_False,0.9600855310049893,0.9131175316568575,0.8746729461015175,0.9600855310049893,0.888770057734487
45,Baseline_use_fft_False_and_no_gMLP,0.8979824978221272,0.9177554239020279,0.9471477923828783,0.8979824978221272,0.88235895132805
46,Baseline_use_wavelets_False,0.9809535123148807,0.9636068768755036,0.9484702093397747,0.9809535123148807,0.9490662256573351
47,Baseline_use_wavelets_False_and_no_gMLP,0.9754890314405639,0.9259070227022095,0.8850931677018633,0.9754890314405639,0.904058334094494
48,Baseline_use_gmlp_False,0.9383859982577017,0.9421753197402992,0.9502905770029058,0.9383859982577017,0.9291065857395303
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9528787518808901,0.9543966168818594,0.9611314611314611,0.9528787518808901,0.9385898699488647
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9059634117367547,0.9337429788969559,0.9671711935862879,0.9059634117367547,0.8990145879030755
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9280153639027481,0.9069142015200106,0.8954248366013072,0.9280153639027481,0.8511743360727206
52,Baseline_use_kan_False,0.9488833452126396,0.9420580388055221,0.9356054573445878,0.9488833452126396,0.9118990053196414
53,Baseline_use_smoe_False,0.9890710382513661,0.9327270920294176,0.8875562218890555,0.9890710382513661,0.9053905349106417
54,Baseline_use_gc_False,0.9316583511522927,0.9103714260987094,0.8908801992741952,0.9316583511522927,0.8797807543913605
55,Baseline_use_lookahead_False,0.9619070246297615,0.9322351660820871,0.9088562961416451,0.9619070246297615,0.9016962143015612
56,Baseline,0.9800427655024947,0.9535943854125671,0.9296969696969697,0.9800427655024947,0.941129488162309
57,Baseline_use_wavelets_False_and_use_fft_False,0.9745782846281777,0.9199065792089048,0.8760619690154922,0.9745782846281777,0.8970950212743881
58,Baseline_use_fft_False,0.9591747841926032,0.9148148148148149,0.8790583804143126,0.9591747841926032,0.8805163568372917
59,Baseline_use_fft_False_and_no_gMLP,0.9754890314405639,0.9280945472709785,0.8886262148673496,0.9754890314405639,0.9040393697641349
60,Baseline_use_wavelets_False,0.97639977825295,0.9321273808756899,0.8947933440687064,0.97639977825295,0.9111697917397992
61,Baseline_use_wavelets_False_and_no_gMLP,0.9483250178189593,0.9197791300428219,0.8944392860827403,0.9483250178189593,0.8992182358150559
62,Baseline_use_gmlp_False,0.9609962778173755,0.9160284612459941,0.8786933000416147,0.9609962778173755,0.8944177867357915
63,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9773105250653362,0.9385812030109738,0.9052396878483835,0.9773105250653362,0.9184348274914237
64,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.982559198542805,0.928492061271378,0.889989837398374,0.982559198542805,0.9116619960182868
65,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9406866239011641,0.888804412641622,0.8472501037616785,0.9406866239011641,0.8473219394568666
66,Baseline_use_kan_False,0.9673715055040786,0.9566800631284007,0.9468404051545884,0.9673715055040786,0.9477587227624825
67,Baseline_use_smoe_False,0.9782212718777222,0.940443742874682,0.9079685746352414,0.9782212718777222,0.9258708021400904
68,Baseline_use_gc_False,0.946366912172329,0.9586388407233094,0.9721704623878535,0.946366912172329,0.9457276542735682
69,Baseline_use_lookahead_False,0.39981785063752273,0.17819807797028753,0.3707865168539326,0.39981785063752273,0.15060423422376548
70,Baseline,0.9415973707135503,0.8836777053581439,0.8396769793644507,0.9415973707135503,0.857382649464588
71,Baseline_use_wavelets_False_and_use_fft_False,0.9547002455056625,0.9562807878697979,0.9599579281643633,0.9547002455056625,0.9556975306713325
72,Baseline_use_fft_False,0.9374752514453156,0.9379794989037348,0.9435490435490435,0.9374752514453156,0.9209117273397387
73,Baseline_use_fft_False_and_no_gMLP,0.946503524194187,0.9077319447834459,0.8746757962444237,0.946503524194187,0.8846736342166834
74,Baseline_use_wavelets_False,0.9347430110081572,0.9166996583424325,0.9061009733512718,0.9347430110081572,0.8995091606851824
75,Baseline_use_wavelets_False_and_no_gMLP,0.9773105250653362,0.9362427792693842,0.9012345679012346,0.9773105250653362,0.9184452118175873
76,Baseline_use_gmlp_False,0.9428605369446424,0.9117182462927144,0.8948823722835022,0.9428605369446424,0.8560632525443747
77,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9782212718777222,0.9452831670164318,0.9165217391304347,0.9782212718777222,0.925859158976444
78,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9528787518808901,0.9544568024616811,0.9581314441460984,0.9528787518808901,0.937911519320314
79,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9446820305694147,0.9045686985591193,0.8706225442419561,0.9446820305694147,0.8691836911124363
80,Baseline_use_kan_False,0.9244515720281936,0.9524297521652518,0.9860621558734767,0.9244515720281936,0.9361533980054294
81,Baseline_use_smoe_False,0.9782212718777222,0.940443742874682,0.9079685746352414,0.9782212718777222,0.9258708021400904
82,Baseline_use_gc_False,0.9519680050685039,0.9390237970324716,0.9267348812803359,0.9519680050685039,0.9302116104439865
83,Baseline_use_lookahead_False,0.9547002455056625,0.9595031811174081,0.9687837276878373,0.9547002455056625,0.9557982568894839
84,Baseline,0.9691138037538608,0.8872430328063429,0.8333333333333334,0.9691138037538608,0.8583274838012146
85,Baseline_use_wavelets_False_and_use_fft_False,0.9673715055040786,0.9533099750491054,0.9407114624505929,0.9673715055040786,0.9483790379808434
86,Baseline_use_fft_False,0.9671556981072306,0.9234520818570293,0.8866106376690972,0.9671556981072306,0.8943807080650918
87,Baseline_use_fft_False_and_no_gMLP,0.963728518254534,0.9290898679913955,0.8988603988603989,0.963728518254534,0.917352226444624
88,Baseline_use_wavelets_False,0.9854280510018215,0.9077126773139103,0.8554112554112554,0.9854280510018215,0.8790457799320893
89,Baseline_use_wavelets_False_and_no_gMLP,0.9510572582561179,0.9326513594806278,0.9156186968341663,0.9510572582561179,0.9222323488123647
90,Baseline_use_gmlp_False,0.9191811198226024,0.8067053023825358,0.745354795501978,0.9191811198226024,0.715275810778168
91,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9251465114437316,0.9194266573526986,0.91396499238965,0.9251465114437316,0.8845722618838487
