,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9761018066942259,0.9809530229153095,0.9863040583264912,0.9761018066942259,0.9764422277385296
1,Baseline_use_wavelets_False_and_use_fft_False,0.9773604599352579,0.9816849386671413,0.9864458781786336,0.9773604599352579,0.9773334268546134
2,Baseline_use_fft_False,0.9674237123444805,0.9758969170598767,0.9851312255263291,0.9674237123444805,0.9689058255287308
3,Baseline_use_fft_False_and_no_gMLP,0.9731649491318176,0.979180147106303,0.9858653987415716,0.9731649491318176,0.9743646591461453
4,Baseline_use_wavelets_False,0.9461298103053429,0.8667262271551851,0.8329997668436153,0.9461298103053429,0.8217396766848075
5,Baseline_use_wavelets_False_and_no_gMLP,0.9246426713072,0.8197388595411536,0.7957399692370734,0.9246426713072,0.7537952628236501
6,Baseline_use_gmlp_False,0.9734168725266638,0.9794831466014985,0.9862267130541712,0.9734168725266638,0.9747337847179133
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9732698369019036,0.9792437069224585,0.9858810654845437,0.9732698369019036,0.9744388632180303
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9361819528690335,0.8442817520441291,0.8139177830700723,0.9361819528690335,0.7893697777247302
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9737942757523337,0.9795612352201952,0.9859593986861536,0.9737942757523337,0.9748098777381402
10,Baseline_use_kan_False,0.9764034398593117,0.9804841650216943,0.9849158021258911,0.9764034398593117,0.9762933603650892
11,Baseline_use_smoe_False,0.9731649491318176,0.979180147106303,0.9858653987415716,0.9731649491318176,0.9743646591461453
12,Baseline_use_gc_False,0.9005646814898459,0.7750506160358844,0.7690790639184272,0.9005646814898459,0.6901475280178667
13,Baseline_use_lookahead_False,0.9006584304038133,0.9316796444366929,0.9716638945115922,0.9006584304038133,0.8894238004669157
