,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.912019106635683,0.8198929327113236,0.7774131798968401,0.912019106635683,0.9356736802413774
1,Baseline_use_wavelets_False_and_use_fft_False,0.9029821843532145,0.8452762278849235,0.8013182674199624,0.9029821843532145,0.8480879860755686
2,Baseline_use_fft_False,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
3,Baseline_use_fft_False_and_no_gMLP,0.9133100955331784,0.8444696865375674,0.8048877498530276,0.9133100955331784,0.9499307125000185
4,Baseline_use_wavelets_False,0.907414579567949,0.6291873338782403,0.6242590675130179,0.907414579567949,0.6000447517958201
5,Baseline_use_wavelets_False_and_no_gMLP,0.880562010500043,0.6280105465556746,0.6666945700094872,0.880562010500043,0.5404733347879399
6,Baseline_use_gmlp_False,0.9146010844306739,0.8775879917184265,0.8495326335847304,0.9146010844306739,0.9648408388662804
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9078879421636974,0.7710015020500954,0.7334504909740988,0.9078879421636974,0.8939274884107388
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8926973061365006,0.6416704450890524,0.6740818386520693,0.8926973061365006,0.5688483377507594
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
10,Baseline_use_kan_False,0.9369567088389706,0.7940141798437396,0.7500068166957083,0.9369567088389706,0.9099302814842876
11,Baseline_use_smoe_False,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
12,Baseline_use_gc_False,0.8544840347706343,0.6074487891669123,0.6684170020010115,0.8544840347706343,0.49385822614452923
13,Baseline_use_lookahead_False,0.8942841466563388,0.8822969920342408,0.873482375947579,0.8942841466563388,0.9372464093775605
14,Baseline,0.9395386866339616,0.8286628359544319,0.7813372107253577,0.9395386866339616,0.9363707987183126
15,Baseline_use_wavelets_False_and_use_fft_False,0.9140846888716757,0.8822066822066822,0.8560460410811151,0.9140846888716757,0.9587296204554117
16,Baseline_use_fft_False,0.9071133488252001,0.7647553872133604,0.728687321433252,0.9071133488252001,0.8866881976891704
17,Baseline_use_fft_False_and_no_gMLP,0.9156338755486703,0.9236650628534102,0.9327417732754061,0.9156338755486703,0.9772710650254136
18,Baseline_use_wavelets_False,0.9016911954557191,0.7637367418196725,0.700295296187844,0.9016911954557191,0.836850002784171
19,Baseline_use_wavelets_False_and_no_gMLP,0.9009166021172218,0.7301381139668893,0.7014790764790765,0.9009166021172218,0.833869949881048
20,Baseline_use_gmlp_False,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9418624666494536,0.8782249816738402,0.8377300264200301,0.9418624666494536,0.9621889583359401
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9305017643514932,0.7462359200561274,0.7151922417583879,0.9305017643514932,0.85232209375892
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9338583354849815,0.7673528344912244,0.7282924547220034,0.9338583354849815,0.8807891984637071
24,Baseline_use_kan_False,0.9397968844134607,0.8330673084296273,0.7857465873338888,0.9397968844134607,0.9391399005348646
25,Baseline_use_smoe_False,0.9143428866511748,0.8700688767959986,0.8385028177649275,0.9143428866511748,0.9618041719365604
26,Baseline_use_gc_False,0.9404638953438335,0.6965082095370945,0.6847707847707848,0.9404638953438335,0.738888535284913
27,Baseline_use_lookahead_False,0.9156338755486703,0.9464775534542976,0.98938179310561,0.9156338755486703,0.9772792824338622
28,Baseline,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
29,Baseline_use_wavelets_False_and_use_fft_False,0.9032834150959634,0.64965820001144,0.671869918699187,0.9032834150959634,0.5960178351864405
30,Baseline_use_fft_False,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
31,Baseline_use_fft_False_and_no_gMLP,0.9146010844306739,0.8775879917184265,0.8495326335847304,0.9146010844306739,0.9648408388662804
32,Baseline_use_wavelets_False,0.9564721576727773,0.7449360033025814,0.7129126497224657,0.9564721576727773,0.8415259801330587
33,Baseline_use_wavelets_False_and_no_gMLP,0.9274033909975041,0.7836887956077468,0.7104864905299925,0.9274033909975041,0.8234224434551201
34,Baseline_use_gmlp_False,0.9151174799896721,0.9025362978477087,0.8907829275927436,0.9151174799896721,0.9709884475363787
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9168172820380412,0.702140026657569,0.6910057785609461,0.9168172820380412,0.7586821619463163
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9343747310439797,0.770466294256286,0.7317298565746735,0.9343747310439797,0.8855563300379498
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
38,Baseline_use_kan_False,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
39,Baseline_use_smoe_False,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
40,Baseline_use_gc_False,0.9562139598932782,0.7438723827612717,0.709705753184014,0.9562139598932782,0.8392308419687915
41,Baseline_use_lookahead_False,0.9156338755486703,0.9138210794934758,0.9120342435358383,0.9156338755486703,0.9772736102354489
