,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9574401423299649,0.9648455526055604,0.9734279801553347,0.9574401423299649,0.9529790410362059
1,Baseline_use_wavelets_False_and_use_fft_False,0.9599543914301615,0.9577811112608412,0.9557005453052687,0.9599543914301615,0.9423161839169613
2,Baseline_use_fft_False,0.9580655814165983,0.9633877489260808,0.9695663717006253,0.9580655814165983,0.9510152704934396
3,Baseline_use_fft_False_and_no_gMLP,0.9573615048801805,0.9574941717187161,0.9578792526680114,0.9573615048801805,0.9429125598803866
4,Baseline_use_wavelets_False,0.9092634749548368,0.8202346648564097,0.7945867153098375,0.9092634749548368,0.7304073805176066
5,Baseline_use_wavelets_False_and_no_gMLP,0.9563828322417907,0.9615345922396122,0.9672057980012543,0.9563828322417907,0.9496441354761442
6,Baseline_use_gmlp_False,0.9570314182560637,0.9604313191739328,0.9643361784478041,0.9570314182560637,0.9465338772841773
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9537887539767315,0.9592452373264485,0.9655825237068174,0.9537887539767315,0.9456010678972089
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.956012708020452,0.9545055590885231,0.953113165866848,0.956012708020452,0.937881076611627
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9565173324420284,0.959510894600727,0.9631570929152428,0.9565173324420284,0.9466589542822205
10,Baseline_use_kan_False,0.9567128177182479,0.9458151951789527,0.935547921601496,0.9567128177182479,0.9253804772501433
11,Baseline_use_smoe_False,0.9231037690821434,0.843586378485902,0.812865675594082,0.9231037690821434,0.7681488795632337
12,Baseline_use_gc_False,0.9571612519617645,0.9625285324843903,0.9687307097756913,0.9571612519617645,0.9500964874392114
13,Baseline_use_lookahead_False,0.844457497063665,0.7085062543724839,0.736841622143395,0.844457497063665,0.5706400504547895
