,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9497368136778324,0.8729555695293291,0.8267593680637159,0.9497368136778324,0.9002582859132466
1,Baseline_use_wavelets_False_and_use_fft_False,0.9692433720583854,0.910726788301243,0.868017553156872,0.9692433720583854,0.9455117672608137
2,Baseline_use_fft_False,0.9632856717307119,0.8401523696218699,0.7685111989459815,0.9632856717307119,0.864977269028327
3,Baseline_use_fft_False_and_no_gMLP,0.9337950551087281,0.6424862752999811,0.579483825252773,0.9337950551087281,0.6315298382373293
4,Baseline_use_wavelets_False,0.9093684837652666,0.653353418038554,0.6629451913788462,0.9093684837652666,0.547686395038877
5,Baseline_use_wavelets_False_and_no_gMLP,0.9661761384281492,0.9277691670164789,0.8963277322169333,0.9661761384281492,0.9493373632448648
6,Baseline_use_gmlp_False,0.9910634495084897,0.8164903313103897,0.7574136636636636,0.9910634495084897,0.8708521586709231
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9442210306821567,0.7026977204345699,0.6172086720867209,0.9442210306821567,0.6922004781665259
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9324406603226979,0.7949808336288272,0.7471104226861366,0.9324406603226979,0.8619506873448731
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9507745010425975,0.74090763234395,0.6547619047619048,0.9507745010425975,0.7412309730209011
10,Baseline_use_kan_False,0.9797765535030951,0.8070457079152732,0.7530920873238555,0.9797765535030951,0.8502880464752651
11,Baseline_use_smoe_False,0.9373696753053321,0.6906598027725065,0.672911787665886,0.9373696753053321,0.6612561327767276
12,Baseline_use_gc_False,0.8504715421605501,0.8796075177419791,0.9135062720740471,0.8504715421605501,0.8918840943861283
13,Baseline_use_lookahead_False,0.8450253202263927,0.5720842820860946,0.615357601037792,0.8450253202263927,0.41223899354006177
