,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9689796002371488,0.9784676090515166,0.9947494156468238,0.9689796002371488,0.9990983240878705
1,Baseline_use_wavelets_False_and_use_fft_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
2,Baseline_use_fft_False,0.9609296120228653,0.9517763073326679,0.9586618326251312,0.9609296120228653,0.9990081249702973
3,Baseline_use_fft_False_and_no_gMLP,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
4,Baseline_use_wavelets_False,0.9979123464858933,0.9985017823988388,0.9991262555337622,0.9979123464858933,0.9998647152505329
5,Baseline_use_wavelets_False_and_no_gMLP,0.9724221504074619,0.9801924461537941,0.9952543237430488,0.9724221504074619,0.9992786992730037
6,Baseline_use_gmlp_False,0.9660683990168957,0.971149112651764,0.9847391691036651,0.9660683990168957,0.9991434089557258
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9704613660937365,0.9785473663267912,0.9951319995840273,0.9704613660937365,0.999233619417141
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
10,Baseline_use_kan_False,0.9704613660937365,0.9725966709555074,0.9849080745476065,0.9704613660937365,0.9992335358423102
11,Baseline_use_smoe_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
12,Baseline_use_gc_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
13,Baseline_use_lookahead_False,0.9715449574250058,0.9810627316680827,0.9977241779220073,0.9715449574250058,0.9992335816428244
14,Baseline,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
15,Baseline_use_wavelets_False_and_use_fft_False,0.9822260719760894,0.9892170992979772,0.9989070654411544,0.9822260719760894,0.9995040275663298
16,Baseline_use_fft_False,0.9715449574250058,0.957323364470686,0.9623938521346922,0.9715449574250058,0.9992336059763699
17,Baseline_use_fft_False_and_no_gMLP,0.9979123464858933,0.9988764063303484,0.9998697322405418,0.9979123464858933,0.9998647139412873
18,Baseline_use_wavelets_False,0.9724221504074619,0.977026096544832,0.9896216860291928,0.9724221504074619,0.9992787005710604
19,Baseline_use_wavelets_False_and_no_gMLP,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
20,Baseline_use_gmlp_False,0.9704613660937365,0.9561808916634208,0.9623938521346922,0.9704613660937365,0.9992336233402377
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.970449449273144,0.9785509073720942,0.9951529687048792,0.970449449273144,0.9990981813233255
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9715449574250058,0.9820765766553575,0.9997315340905679,0.9715449574250058,0.9992335496792767
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9724221504074619,0.977026096544832,0.9896216860291928,0.9724221504074619,0.9992787005710604
24,Baseline_use_kan_False,0.9724221504074619,0.959315253171338,0.9654241551649952,0.9724221504074619,0.9992787013369575
25,Baseline_use_smoe_False,0.9724221504074619,0.9793937239966602,0.9936741971194059,0.9724221504074619,0.9992786630422125
26,Baseline_use_gc_False,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
27,Baseline_use_lookahead_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
28,Baseline,0.9704613660937365,0.9786688249261005,0.9952891129869423,0.9704613660937365,0.9992335990897279
29,Baseline_use_wavelets_False_and_use_fft_False,0.9881084249172659,0.993233199870437,0.9994974966870581,0.9881084249172659,0.9996392515700447
30,Baseline_use_fft_False,0.969851675410416,0.9777801485648345,0.9941224877007767,0.969851675410416,0.9990983448525925
31,Baseline_use_fft_False_and_no_gMLP,0.9686939177725736,0.9526978495393901,0.9573832009941367,0.9686939177725736,0.9990081812353331
32,Baseline_use_wavelets_False,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
33,Baseline_use_wavelets_False_and_no_gMLP,0.9724221504074619,0.9818031864340178,0.9983194160172454,0.9724221504074619,0.9992786775033091
34,Baseline_use_gmlp_False,0.9822215269347294,0.9869029112082172,0.994397920597094,0.9822215269347294,0.9994589559786471
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9704568210523765,0.9788995128734963,0.995734011831441,0.9704568210523765,0.9991885345076534
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9989959378171627,0.999055306170708,0.9991262555337622,0.9989959378171627,0.9998647152564067
38,Baseline_use_kan_False,0.9704568210523765,0.9741208823295148,0.9870302260677022,0.9704568210523765,0.9991885410512112
39,Baseline_use_smoe_False,0.9998731307996188,0.9999325371219553,0.9999920563995631,0.9998731307996188,0.9999098106725922
40,Baseline_use_gc_False,0.9743829347211874,0.9833892346588375,0.9984361018813106,0.9743829347211874,0.9993237426618307
41,Baseline_use_lookahead_False,0.9704613660937365,0.9801596472618106,0.9982031476339102,0.9704613660937365,0.9992336147711756
