,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9114458175992676,0.7151401509043133,0.6951323997639788,0.9114458175992676,0.778868047941274
1,Baseline_use_wavelets_False_and_use_fft_False,0.7268709234466186,0.5011535149898567,0.6211965485703131,0.7268709234466186,0.35852973128333626
2,Baseline_use_fft_False,0.8798632566655223,0.6628684037133165,0.6752310045316774,0.8798632566655223,0.607617710729596
3,Baseline_use_fft_False_and_no_gMLP,0.8946246710149902,0.680867320943582,0.6806515206990281,0.8946246710149902,0.6726191586010187
4,Baseline_use_wavelets_False,0.809145783270397,0.5783898611281396,0.624163060838517,0.809145783270397,0.43689645363662566
5,Baseline_use_wavelets_False_and_no_gMLP,0.7359966815425105,0.5015837991233422,0.6591789048793945,0.7359966815425105,0.36070109011828877
6,Baseline_use_gmlp_False,0.8491961322805812,0.6340471304102959,0.6689379008738564,0.8491961322805812,0.5161916557143251
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8082017393294428,0.577653849208639,0.6668191020018833,0.8082017393294428,0.41123340810361436
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9038934660716329,0.6965859425649815,0.686910133625186,0.9038934660716329,0.7255339462350304
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8111769081130564,0.5803195966831057,0.6669306801173911,0.8111769081130564,0.4143985872607612
10,Baseline_use_kan_False,0.8060275775260327,0.5756926383297795,0.666739984475344,0.8060275775260327,0.40898494393612783
11,Baseline_use_smoe_False,0.9243763588511271,0.7957071897736129,0.7519823095049515,0.9243763588511271,0.9050705341377663
12,Baseline_use_gc_False,0.8929082274859823,0.6779589545869876,0.6787143678121054,0.8929082274859823,0.6638892021940586
13,Baseline_use_lookahead_False,0.8606390891406339,0.6444802902661134,0.6714946392945,0.8606390891406339,0.5454148336751318
14,Baseline,0.8609823778464355,0.6453421815416679,0.6726889805396102,0.8609823778464355,0.5464959516392405
15,Baseline_use_wavelets_False_and_use_fft_False,0.811319945073807,0.6009010443512192,0.6627051514512615,0.811319945073807,0.44542901891836606
16,Baseline_use_fft_False,0.8445045199679596,0.6306700295224007,0.6696025004111145,0.8445045199679596,0.5056840942335785
17,Baseline_use_fft_False_and_no_gMLP,0.889589769996567,0.6745848425583398,0.6795009497876038,0.889589769996567,0.648341251515632
18,Baseline_use_wavelets_False,0.8088454056528208,0.5869984987592209,0.6610903568974914,0.8088454056528208,0.4242778148629981
19,Baseline_use_wavelets_False_and_no_gMLP,0.8096035015447991,0.5994633768733847,0.6626151015978711,0.8096035015447991,0.4429296200646202
20,Baseline_use_gmlp_False,0.9128189724224739,0.7199206583816201,0.6985261260485379,0.9128189724224739,0.7899595350236693
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8461065339283671,0.6320107381769323,0.6697595758327353,0.8461065339283671,0.5092420919241931
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8149816912690239,0.6062416112085044,0.667445492026785,0.8149816912690239,0.4514884250601246
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8540021741618035,0.6381405579336741,0.66948485289935,0.8540021741618035,0.5278307173379236
24,Baseline_use_kan_False,0.8837538619979403,0.6665955551225654,0.6752241882579519,0.8837538619979403,0.6228259557338592
25,Baseline_use_smoe_False,0.7902649044513103,0.585254869008679,0.6662826451125491,0.7902649044513103,0.4183981623593412
26,Baseline_use_gc_False,0.8395840485181371,0.6271080500419528,0.6701573341072398,0.8395840485181371,0.4945212078574195
27,Baseline_use_lookahead_False,0.3990159057100355,0.17360227223262803,0.36864673981586576,0.3990159057100355,0.14405939404736126
28,Baseline,0.8771169470191097,0.6600115042125263,0.6745401046722016,0.8771169470191097,0.5974402492292026
29,Baseline_use_wavelets_False_and_use_fft_False,0.7259268795056643,0.48911758051859505,0.6578445998029417,0.7259268795056643,0.3574764884245806
30,Baseline_use_fft_False,0.8387830415379334,0.6264820672307114,0.6702356878433865,0.8387830415379334,0.4937096647173661
31,Baseline_use_fft_False_and_no_gMLP,0.8975998397986039,0.6853576332894712,0.6822980006321688,0.8975998397986039,0.6883580708871846
32,Baseline_use_wavelets_False,0.8127789220734637,0.42098985180300996,0.44950112587609836,0.8127789220734637,0.35501787525679934
33,Baseline_use_wavelets_False_and_no_gMLP,0.8049977114086281,0.5491657765888298,0.6193780623524024,0.8049977114086281,0.40085771834042583
34,Baseline_use_gmlp_False,0.9184260212838997,0.7446524913398723,0.714149285618722,0.9184260212838997,0.84018966635285
35,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8845548689781438,0.6680277683360019,0.6765931937186102,0.8845548689781438,0.6262463497827861
36,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8114343746424075,0.6032840145431269,0.6672528996256872,0.8114343746424075,0.44616368221587616
37,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8179568600526376,0.608712562726906,0.6676153902202663,0.8179568600526376,0.4561231977560132
38,Baseline_use_kan_False,0.8885599038791624,0.6727874969313504,0.6779850735327168,0.8885599038791624,0.6435447968247775
39,Baseline_use_smoe_False,0.8965699736811992,0.6837555259377379,0.6816972169332852,0.8965699736811992,0.6827890197905753
40,Baseline_use_gc_False,0.6500886829156655,0.4248828768787359,0.6571175669822771,0.6500886829156655,0.35669671788912266
41,Baseline_use_lookahead_False,0.3333333333333333,0.05337908683633591,0.029012537560874522,0.3333333333333333,0.0
42,Baseline,0.7908370522943128,0.5863326677413948,0.6674627123768402,0.7908370522943128,0.4192146029185582
43,Baseline_use_wavelets_False_and_use_fft_False,0.763917496281039,0.5232398019820504,0.6429233751716129,0.763917496281039,0.37146725470990094
44,Baseline_use_fft_False,0.9193414578327039,0.7500859540509376,0.7177325805676728,0.9193414578327039,0.8492940489831005
45,Baseline_use_fft_False_and_no_gMLP,0.8837538619979403,0.6676435473199979,0.6774684453072055,0.8837538619979403,0.6230688849597572
46,Baseline_use_wavelets_False,0.7284729374070259,0.5209757499660452,0.6542908201503773,0.7284729374070259,0.36517586640240535
47,Baseline_use_wavelets_False_and_no_gMLP,0.8049261929282526,0.5356650320175571,0.6174438353955437,0.8049261929282526,0.3882350710888237
48,Baseline_use_gmlp_False,0.8851270168211466,0.668685371354996,0.6767776779951523,0.8851270168211466,0.6286344197552493
49,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9233464927337224,0.7846730304964598,0.7414575613594535,0.9233464927337224,0.8926860371710954
50,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8855847350955487,0.6692164693633437,0.6769284915433418,0.8855847350955487,0.6305641901369081
51,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8001058473509555,0.5937293167702606,0.6667001647703544,0.8001058473509555,0.4305060899264132
52,Baseline_use_kan_False,0.8843260098409429,0.6677666247624917,0.6765206217185501,0.8843260098409429,0.6252985329229893
53,Baseline_use_smoe_False,0.9195703169699051,0.7515346111310911,0.7187076497682551,0.9195703169699051,0.8516156264227547
54,Baseline_use_gc_False,0.8294856390891406,0.596900543709738,0.668873987218341,0.8294856390891406,0.43646029718372564
55,Baseline_use_lookahead_False,0.9256350841057329,0.8275680841532992,0.77807987028975,0.9256350841057329,0.9205444782352262
56,Baseline,0.8870723194873555,0.6714913234203866,0.6785605233329771,0.8870723194873555,0.6370773212464366
57,Baseline_use_wavelets_False_and_use_fft_False,0.8226484723652591,0.5952586132246395,0.6348486104316445,0.8226484723652591,0.4594064610762913
58,Baseline_use_fft_False,0.8764303696075065,0.6593131670097315,0.6743778791575296,0.8764303696075065,0.5949732155297126
59,Baseline_use_fft_False_and_no_gMLP,0.8837538619979403,0.667118370813539,0.6763421596596498,0.8837538619979403,0.6229472513768702
60,Baseline_use_wavelets_False,0.7888631422359538,0.5574701477091036,0.661624781608409,0.7888631422359538,0.3923977235358841
61,Baseline_use_wavelets_False_and_no_gMLP,0.842373269252775,0.5868247484266055,0.6110772150473512,0.842373269252775,0.46686890571950185
62,Baseline_use_gmlp_False,0.9027491703856275,0.694324549035468,0.6859262266680598,0.9027491703856275,0.7183386196723397
63,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.911102528893466,0.714372710966952,0.6955366322092768,0.911102528893466,0.7762738451222997
64,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9235753518709234,0.787323519924414,0.7436512507100743,0.9235753518709234,0.8953785107507476
65,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8905052065453712,0.6752483862361173,0.6787566073580139,0.8905052065453712,0.6524668828387485
66,Baseline_use_kan_False,0.9155652820688865,0.7303304959541718,0.7037191254909261,0.9155652820688865,0.8133261429105114
67,Baseline_use_smoe_False,0.9178538734408971,0.7414850066654085,0.7113654251401744,0.9178538734408971,0.834572961422463
68,Baseline_use_gc_False,0.8996595720334134,0.6891924409448129,0.6846967463954831,0.8996595720334134,0.7000139312146891
69,Baseline_use_lookahead_False,0.5075225181043924,0.21824722918474462,0.39835869761588555,0.5075225181043924,0.13697749276838023
70,Baseline,0.9222021970477171,0.77193865518215,0.7326640564214206,0.9222021970477171,0.8796713609860842
71,Baseline_use_wavelets_False_and_use_fft_False,0.7711265591028722,0.540086941294451,0.6611285910973167,0.7711265591028722,0.3789574747268852
72,Baseline_use_fft_False,0.9264360910859365,0.8270914010758806,0.7821671508402539,0.9264360910859365,0.9312562547473019
73,Baseline_use_fft_False_and_no_gMLP,0.8827239958805354,0.6659674543583509,0.676031218181654,0.8827239958805354,0.6187794341481556
74,Baseline_use_wavelets_False,0.6925420528664606,0.48386913805165443,0.6611051833191895,0.6925420528664606,0.3528933550135785
75,Baseline_use_wavelets_False_and_no_gMLP,0.6798117633596522,0.4249680676677643,0.6522741522741522,0.6798117633596522,0.35896871406640857
76,Baseline_use_gmlp_False,0.9000028607392149,0.6888729089138895,0.682774197637812,0.9000028607392149,0.7017786831571461
77,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8779179539993134,0.6608339474622608,0.6747344859054332,0.8779179539993134,0.6003568109002155
78,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8876444673303582,0.6711534461844547,0.6765335083153626,0.8876444673303582,0.63934902718844
79,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8164692756608307,0.6074780783413697,0.6675294431390361,0.8164692756608307,0.4537860668606955
80,Baseline_use_kan_False,0.8731119121180914,0.6560161775184936,0.6736462383124967,0.8731119121180914,0.5834580090688694
81,Baseline_use_smoe_False,0.8235639089140633,0.6133512546900067,0.6679587663307629,0.8235639089140633,0.46530351790910307
82,Baseline_use_gc_False,0.8674762558645154,0.6283407613932276,0.6702782034950876,0.8674762558645154,0.4992407277016942
83,Baseline_use_lookahead_False,0.34722222222222227,0.08006102212051869,0.3623548922056385,0.34722222222222227,0.03241665024046099
84,Baseline,0.8540021741618035,0.6392638149655623,0.6717722422861766,0.8540021741618035,0.5280958770677524
85,Baseline_use_wavelets_False_and_use_fft_False,0.837838997596979,0.49131963820112373,0.4995534402295619,0.837838997596979,0.4123423130635706
86,Baseline_use_fft_False,0.9164807186176908,0.7345944209078761,0.7070581670709487,0.9164807186176908,0.8216805746947118
87,Baseline_use_fft_False_and_no_gMLP,0.8852414463897471,0.6688177215982676,0.6768151086188475,0.8852414463897471,0.6291152410037394
88,Baseline_use_wavelets_False,0.8519138345348439,0.6152786434365155,0.6690199450056203,0.8519138345348439,0.47001937036096947
89,Baseline_use_wavelets_False_and_no_gMLP,0.7756322233665179,0.5140113301497767,0.6299442652516116,0.7756322233665179,0.36972561684690314
90,Baseline_use_gmlp_False,0.8996595720334134,0.6887359570133872,0.6836126382330695,0.8996595720334134,0.6999058073588834
91,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8869578899187549,0.6708379726644172,0.6773990493189972,0.8869578899187549,0.6364592103369354
92,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8573206316512186,0.6404539041687661,0.6687720897932307,0.8573206316512186,0.5362134873693905
93,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8938236640347865,0.6797255288229134,0.6802514942889656,0.8938236640347865,0.668558305618583
94,Baseline_use_kan_False,0.8474796887515734,0.6331636927133059,0.6698987705241638,0.8474796887515734,0.5123534429107238
95,Baseline_use_smoe_False,0.8244793454628675,0.6141069503270661,0.6680179683535595,0.8244793454628675,0.4668604674793586
96,Baseline_use_gc_False,0.8204743105618492,0.6107977230734076,0.6677656200050351,0.8204743105618492,0.4601708770757363
97,Baseline_use_lookahead_False,0.8807786932143266,0.6638453870035516,0.6754774975054771,0.8807786932143266,0.6111249753870454
98,Baseline,0.8950823892893923,0.682016484496084,0.681989646057711,0.8950823892893923,0.6750853134878804
99,Baseline_use_wavelets_False_and_use_fft_False,0.6961465842773773,0.41192452089719295,0.661541942742046,0.6961465842773773,0.37336815068950185
100,Baseline_use_fft_False,0.8810075523515276,0.664623089934594,0.6766704031834364,0.8810075523515276,0.6121342697199359
101,Baseline_use_fft_False_and_no_gMLP,0.8852414463897471,0.6682987214635223,0.6756993929525303,0.8852414463897471,0.6289948515404229
102,Baseline_use_wavelets_False,0.7898071861769081,0.5854360839879875,0.6674215960461192,0.7898071861769081,0.4180135770010699
103,Baseline_use_wavelets_False_and_no_gMLP,0.7915236297059159,0.585771598185907,0.6651843728530673,0.7915236297059159,0.4197286029343811
104,Baseline_use_gmlp_False,0.8962266849753976,0.6837118260392486,0.6826025780308166,0.8962266849753976,0.6810736486348469
105,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8689924476484724,0.6520776669264099,0.672843381036018,0.8689924476484724,0.5700378378263301
106,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.7796229545714612,0.5758621507330525,0.6658815245948118,0.7796229545714612,0.4066816788252099
107,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.891306213525575,0.6762947084111429,0.6790954274966987,0.891306213525575,0.6562472111092995
108,Baseline_use_kan_False,0.8695645954914749,0.6526157631254963,0.6729486731598091,0.8695645954914749,0.5718473454202266
109,Baseline_use_smoe_False,0.8507981462409887,0.6359669572571575,0.6702538858317851,0.8507981462409887,0.5201179446152503
110,Baseline_use_gc_False,0.8254090857077468,0.580551599349795,0.6660512423592918,0.8254090857077468,0.4156106467422346
111,Baseline_use_lookahead_False,0.8293998169126903,0.6175938395181807,0.6672077328942064,0.8293998169126903,0.47538873056349706
112,Baseline,0.9123612541480718,0.7183732830457319,0.6976788650685841,0.9123612541480718,0.7862412302053989
113,Baseline_use_wavelets_False_and_use_fft_False,0.7981605446847465,0.5809136823315334,0.6450862184634495,0.7981605446847465,0.4251433256328347
114,Baseline_use_fft_False,0.8410716329099439,0.6272434103181,0.668140667264214,0.8410716329099439,0.4981741206541582
115,Baseline_use_fft_False_and_no_gMLP,0.9017193042682229,0.6923834006155789,0.6851033590865008,0.9017193042682229,0.7120378695495181
116,Baseline_use_wavelets_False,0.8085879391234695,0.5657321863847232,0.6665873539255637,0.8085879391234695,0.3990954446514718
117,Baseline_use_wavelets_False_and_no_gMLP,0.8446189495365602,0.6274041581167075,0.6628792225999375,0.8446189495365602,0.5051312026831455
118,Baseline_use_gmlp_False,0.9067542052866461,0.7037238625822302,0.6918357424709,0.9067542052866461,0.7440482194877412
119,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8136514475340428,0.5951590395534915,0.6692931796136943,0.8136514475340428,0.4313537387136037
120,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8590370751802267,0.643068439181015,0.6712704926356974,0.8590370751802267,0.5410445722806955
121,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9159085707746882,0.7319828351996982,0.7054752438645525,0.9159085707746882,0.81647813326648
