,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,1.0,1.0,1.0,1.0,1.0
1,Baseline_use_wavelets_False_and_use_fft_False,0.9322523339168125,0.8537088224799674,0.8886288596770267,0.8286687412593889,0.9971936454496448
2,Baseline_use_fft_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
3,Baseline_use_fft_False_and_no_gMLP,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
4,Baseline_use_wavelets_False,0.9997759856630825,0.8885743225596294,0.8884598884598884,0.8886897650338511,0.9988784452896302
5,Baseline_use_wavelets_False_and_no_gMLP,0.9324873091210095,0.845643872285041,0.8733449924701409,0.8288776081075641,0.9960740209663609
6,Baseline_use_gmlp_False,0.9994034967075103,0.990772681438139,0.9833333333333334,0.9994034967075103,0.9988782912899811
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9998879928315412,0.9999096023278848,0.9999312809235844,0.9998879928315412,0.9994388517476978
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
10,Baseline_use_kan_False,0.9994034967075103,0.9950156447553096,0.9909594214029698,0.9994034967075103,0.9988777003231512
11,Baseline_use_smoe_False,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
12,Baseline_use_gc_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
13,Baseline_use_lookahead_False,0.9583333333333333,0.9749440214957457,0.9998880931065354,0.9583333333333333,0.9994388228663845
