,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9641920276165316,0.9711457470688837,0.9792084228447603,0.9641920276165316,0.9645572684103493
1,Baseline_use_wavelets_False_and_use_fft_False,0.9674850171226291,0.9744307144169998,0.9823629689217132,0.9674850171226291,0.9689572830801951
2,Baseline_use_fft_False,0.9643274997451491,0.9723829399492786,0.9816111316641859,0.9643274997451491,0.9667311579937597
3,Baseline_use_fft_False_and_no_gMLP,0.968854475883711,0.9745302986243747,0.9809220517654759,0.968854475883711,0.9691900579628178
4,Baseline_use_wavelets_False,0.9641238194615639,0.9728431549616703,0.9829043867435455,0.9641238194615639,0.9672664274487993
5,Baseline_use_wavelets_False_and_no_gMLP,0.9637579896604427,0.9726597492074532,0.9829298443453256,0.9637579896604427,0.9670346948955382
6,Baseline_use_gmlp_False,0.9621320805615805,0.9714975588344105,0.9823524462720844,0.9621320805615805,0.965812520627766
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.6017367522054178,0.5380941069490519,0.7755796020917781,0.6017367522054178,0.45842597166905824
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9680245041128518,0.9740053643700562,0.9807500608831438,0.9680245041128518,0.9685006976580236
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9637896451481264,0.972331328086442,0.9822229608114602,0.9637896451481264,0.9665866990052596
10,Baseline_use_kan_False,0.9653633105663454,0.9731048071736811,0.9819478162782843,0.9653633105663454,0.9677242738768693
11,Baseline_use_smoe_False,0.9676591197661173,0.9726730921154135,0.9783249570507939,0.9676591197661173,0.9669210553064919
12,Baseline_use_gc_False,0.9640559707642721,0.9724281153199343,0.9820383427378498,0.9640559707642721,0.9667292314671615
13,Baseline_use_lookahead_False,0.9582579063833352,0.9663709467811743,0.9766359031517781,0.9582579063833352,0.9585841157621643
14,Baseline,0.9669629877306756,0.9742956129324695,0.9826244693418357,0.9669629877306756,0.9690200759355225
15,Baseline_use_wavelets_False_and_use_fft_False,0.9643218560035766,0.9727890714484393,0.9825627672831576,0.9643218560035766,0.9673465672460264
16,Baseline_use_fft_False,0.9653462933449172,0.9731872537575921,0.9822061276253339,0.9653462933449172,0.9676563835618504
17,Baseline_use_fft_False_and_no_gMLP,0.96347508719971,0.9720456172896359,0.9819016919950773,0.96347508719971,0.9663470292950931
18,Baseline_use_wavelets_False,0.9662840121859174,0.973671538721923,0.9820832859616728,0.9662840121859174,0.9681836509904723
19,Baseline_use_wavelets_False_and_no_gMLP,0.9684567704064854,0.9748823858925584,0.9821582111260784,0.9684567704064854,0.9696405471442663
20,Baseline_use_gmlp_False,0.9662282026112883,0.9724562442557318,0.9794868564593306,0.9662282026112883,0.9667445339861522
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9636717115369432,0.9723600291998996,0.9823417366395782,0.9636717115369432,0.9668024034971199
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9624468586984175,0.9715844763358424,0.9821600357103574,0.9624468586984175,0.9658133739936418
23,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9654311592636371,0.9735200192444186,0.9828078777983157,0.9654311592636371,0.9682605304266971
24,Baseline_use_kan_False,0.9631909927226183,0.9718095235183682,0.9816647502066532,0.9631909927226183,0.9658040659023484
25,Baseline_use_smoe_False,0.9629752783939157,0.971981967975812,0.9823855363900508,0.9629752783939157,0.9663472800978926
26,Baseline_use_gc_False,0.9664726138264058,0.9739958470883666,0.9825921967351313,0.9664726138264058,0.9686439069686926
27,Baseline_use_lookahead_False,0.9461819810307492,0.8708957859848221,0.8394874866492096,0.9461819810307492,0.8322972733269298
28,Baseline,0.9665044895025101,0.9734589847106708,0.9813321170925423,0.9665044895025101,0.9679542595327941
29,Baseline_use_wavelets_False_and_use_fft_False,0.9650575269541916,0.9732658923311432,0.9827010701973036,0.9650575269541916,0.9678024269507787
30,Baseline_use_fft_False,0.963325723366809,0.9717880726777356,0.9815531112146592,0.963325723366809,0.9658954413267579
