,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8165253381788814,0.751102047542537,0.7376650293674308,0.8165253381788814,0.6984168646581733
1,Baseline_use_wavelets_False_and_use_fft_False,0.8148293963254595,0.7509898707713094,0.772365876322849,0.8148293963254595,0.6663349260321035
2,Baseline_use_fft_False,0.8545931758530184,0.8448327349932446,0.87490687114229,0.8545931758530184,0.8235751862056893
3,Baseline_use_fft_False_and_no_gMLP,0.8270240258429234,0.7675124206063,0.7290531469635947,0.8270240258429234,0.7670103073731539
4,Baseline_use_wavelets_False,0.828477690288714,0.7956774421297891,0.8312227016086076,0.828477690288714,0.7475242314736332
5,Baseline_use_wavelets_False_and_no_gMLP,0.8350191802947707,0.8564260105123512,0.9120401214005477,0.8350191802947707,0.8721243942975744
6,Baseline_use_gmlp_False,0.8125277609529578,0.8602087016814006,0.9298788623363584,0.8125277609529578,0.8707636964035395
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.48385826771653545,0.3046728316582398,0.7133620689655172,0.48385826771653545,0.24048755392214674
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8335958005249343,0.7211321987141868,0.6623928704273038,0.8335958005249343,0.6814034281001701
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.80748031496063,0.7396273510647112,0.7805814154720904,0.80748031496063,0.6279299269873568
10,Baseline_use_kan_False,0.8411972541893803,0.859070557356801,0.8920330381237557,0.8411972541893803,0.8893035236996514
11,Baseline_use_smoe_False,0.8393700787401576,0.7705640423031728,0.750129503856337,0.8393700787401576,0.7175079498507028
12,Baseline_use_gc_False,0.8312235009085404,0.8211538461538462,0.8612751972372475,0.8312235009085404,0.7970068101620287
13,Baseline_use_lookahead_False,0.7253280839895013,0.6250588046935373,0.7529598915141085,0.7253280839895013,0.4605488372670706
14,Baseline,0.8738845144356956,0.8576466418571682,0.8579916215274478,0.8738845144356956,0.8539841826030756
15,Baseline_use_wavelets_False_and_use_fft_False,0.8248031496062992,0.7843906886426067,0.8198298561076949,0.8248031496062992,0.7235058653606707
16,Baseline_use_fft_False,0.823753280839895,0.7812905132311446,0.8168165314285804,0.823753280839895,0.7169729071069314
17,Baseline_use_fft_False_and_no_gMLP,0.8432969917221887,0.8695085022129048,0.9175300889586603,0.8432969917221887,0.9146159780905387
18,Baseline_use_wavelets_False,0.8243993539269129,0.7908384677761018,0.8112460305003433,0.8243993539269129,0.7470041851401186
19,Baseline_use_wavelets_False_and_no_gMLP,0.8514435695538057,0.8066414526654802,0.783076582174822,0.8514435695538057,0.8003286739638368
20,Baseline_use_gmlp_False,0.8264990914597213,0.7518945744752196,0.7021899581798268,0.8264990914597213,0.757990893812576
21,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8314657783161721,0.8520607262162643,0.8815332948631971,0.8314657783161721,0.8809761715962791
22,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.826216434484151,0.8392658786155193,0.8897798649260636,0.826216434484151,0.826201097868066
