,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8682234432234432,0.8511874245397409,0.8355996419785349,0.8682234432234432,0.9352896032869924
1,Baseline_use_wavelets_False_and_use_fft_False,0.8990973312401884,0.7158992912616101,0.6734851249611397,0.8990973312401884,0.7723330586328082
2,Baseline_use_fft_False,0.9140633176347461,0.7995487493051304,0.7544975023455637,0.9140633176347461,0.8884075734393709
3,Baseline_use_fft_False_and_no_gMLP,0.90634484563056,0.8629970056181642,0.8307604339282258,0.90634484563056,0.9382995629106166
4,Baseline_use_wavelets_False,0.9382391418105703,0.7335162127239384,0.7023513960087318,0.9382391418105703,0.7846289849973109
5,Baseline_use_wavelets_False_and_no_gMLP,0.9167451596023025,0.7040769944477128,0.6803761403601617,0.9167451596023025,0.7307028312873768
6,Baseline_use_gmlp_False,0.8805337519623233,0.8442326797522078,0.816396599580298,0.8805337519623233,0.9318631480927354
7,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8894427001569859,0.7997460970460858,0.7572821729004264,0.8894427001569859,0.8933833503470326
8,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9103218210361068,0.7701882912144983,0.7298932559751101,0.9103218210361068,0.8550777440668113
9,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9272239665096809,0.8096010121655405,0.7615408798394601,0.9272239665096809,0.8939203835028012
10,Baseline_use_kan_False,0.9208267922553638,0.7165691044863753,0.6928219970346609,0.9208267922553638,0.7542251780673473
11,Baseline_use_smoe_False,0.8812140240711669,0.8576147177485933,0.8372900037642964,0.8812140240711669,0.939511304989575
12,Baseline_use_gc_False,0.873731030873888,0.7671725879643528,0.7300221511482484,0.873731030873888,0.8641288521255969
13,Baseline_use_lookahead_False,0.8109177549907033,0.8658993319239796,0.9453405663433205,0.8109177549907033,0.849967178201468
