,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9598711262160416,0.9634204851634034,0.9675606474922062,0.9598711262160416,0.9513005822220862
1,Baseline_use_wavelets_False_and_use_fft_False,0.9322616879388089,0.8648693503038736,0.8324608195755546,0.9322616879388089,0.8009010148877925
2,Baseline_use_fft_False,0.9592500251298995,0.9590806836711426,0.959086711664319,0.9592500251298995,0.9443849579743504
3,Baseline_use_fft_False_and_no_gMLP,0.9566326550552785,0.960191975889248,0.964318397686645,0.9566326550552785,0.9466024318069339
4,Baseline_use_wavelets_False,0.9464221624439274,0.9169027673367954,0.8937880221813063,0.9464221624439274,0.8815909489986491
5,Baseline_use_wavelets_False_and_no_gMLP,0.959523209876456,0.9537655128719735,0.948167985365428,0.959523209876456,0.9365817939712807
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9490389452848115,0.93105342311536,0.9151513658960848,0.9490389452848115,0.9037886911327369
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9512080831266799,0.9341929462061126,0.9189579180059172,0.9512080831266799,0.9088355970752878
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9513760421579388,0.956418291447941,0.9624950109475798,0.9513760421579388,0.9429129081522108
9,Baseline_use_kan_False,0.958116349381803,0.9538197858633631,0.9496247682165491,0.958116349381803,0.9366248121279839
10,Baseline_use_smoe_False,0.9585928857449014,0.9547641593677425,0.9510584566595006,0.9585928857449014,0.9382540461613769
11,Baseline_use_gc_False,0.9602064863180666,0.9656326535461818,0.9719337548452213,0.9602064863180666,0.9543817896000204
12,Baseline_use_lookahead_False,0.9540647578656495,0.9531704652235727,0.9529498865286049,0.9540647578656495,0.9376732171636727
13,Baseline,0.9572036465998984,0.9602603157901615,0.963889001381255,0.9572036465998984,0.947130849464883
14,Baseline_use_wavelets_False_and_use_fft_False,0.9597701736663445,0.9671325204512858,0.9756669068094431,0.9597701736663445,0.9561489428780914
15,Baseline_use_fft_False,0.9567980949160996,0.9594029896014277,0.9624528709997455,0.9567980949160996,0.9453251572267954
16,Baseline_use_fft_False_and_no_gMLP,0.9567597523676371,0.9597332788798748,0.9631972702759729,0.9567597523676371,0.945863479087675
17,Baseline_use_wavelets_False,0.9624439384318197,0.9635762930976416,0.9649685735057196,0.9624439384318197,0.9506448671916229
18,Baseline_use_wavelets_False_and_no_gMLP,0.9600164955956844,0.9603379782283813,0.9608680836826302,0.9600164955956844,0.9461630400327343
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9500318628544663,0.9591553315847449,0.9700208888711561,0.9500318628544663,0.9460429792621494
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.961731197453493,0.9621421708660066,0.9627669852858928,0.961731197453493,0.9486671021164444
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9497772501471173,0.9371449945296995,0.9253803374946461,0.9497772501471173,0.9135265257646461
22,Baseline_use_kan_False,0.9569663539192822,0.9585244346367524,0.9604037810923424,0.9569663539192822,0.9439890557473162
23,Baseline_use_smoe_False,0.9602168895429978,0.9547958786542603,0.9495183938283409,0.9602168895429978,0.9379244217126821
24,Baseline_use_gc_False,0.9560294612296062,0.9569322936110786,0.9581585487532337,0.9560294612296062,0.9422306788188167
25,Baseline_use_lookahead_False,0.9465109806917203,0.9243490521051524,0.9055285118091443,0.9465109806917203,0.893771606672637
