,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.939045687705205,0.8632821825382848,0.82355039458983,0.939045687705205,0.887790611125434
1,Baseline_use_wavelets_False_and_use_fft_False,0.9495829609770629,0.7206241783923267,0.6855639730639731,0.9495829609770629,0.737997125257867
2,Baseline_use_fft_False,0.9653708668453976,0.8404810674648518,0.7776923076923077,0.9653708668453976,0.8914790969888956
3,Baseline_use_fft_False_and_no_gMLP,0.9659666368781651,0.8651129122510063,0.8024348898135306,0.9659666368781651,0.8990918738254764
4,Baseline_use_wavelets_False,0.9581332429857898,0.7862718015324225,0.7361171746570728,0.9581332429857898,0.8434697457486777
5,Baseline_use_wavelets_False_and_no_gMLP,0.9612004766160261,0.7853928452671374,0.7291615340395827,0.9612004766160261,0.8421856717123878
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9410097647363062,0.7917595881372078,0.7409265827382239,0.9410097647363062,0.8278474647519452
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9034762526719632,0.6617853718027245,0.6690679665424476,0.9034762526719632,0.5797630001778512
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.957449089486623,0.8250328848317722,0.7636445999459699,0.957449089486623,0.8734772458234025
9,Baseline_use_kan_False,0.9824247840333631,0.7527833634726838,0.7174692223780582,0.9824247840333631,0.7840594392165187
10,Baseline_use_smoe_False,0.991659219541257,0.8203033396310708,0.7641364769024342,0.991659219541257,0.878237376355542
11,Baseline_use_gc_False,0.8822102086177154,0.912387702474902,0.9476103928291132,0.8822102086177154,0.908458403286234
12,Baseline_use_lookahead_False,0.964179326779863,0.9056635879789376,0.8587012401523718,0.964179326779863,0.874803487196704
13,Baseline,0.9516125072425341,0.8479158826108159,0.7908152543370203,0.9516125072425341,0.8813921253281002
14,Baseline_use_wavelets_False_and_use_fft_False,0.9484568901458982,0.9213549437080876,0.9013649425287357,0.9484568901458982,0.9315562213055699
15,Baseline_use_fft_False,0.9499135806106316,0.7823450911609915,0.7219389661116306,0.9499135806106316,0.8210556306630716
16,Baseline_use_fft_False_and_no_gMLP,0.9692433720583854,0.9164370205853838,0.8752147766323025,0.9692433720583854,0.9459304492462383
17,Baseline_use_wavelets_False,0.9653708668453976,0.8341930719282112,0.7738095238095238,0.9653708668453976,0.8916403785802474
18,Baseline_use_wavelets_False_and_no_gMLP,0.9375047056012203,0.8974517791657431,0.8642333054704189,0.9375047056012203,0.9303074328218832
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9619173647323781,0.9307328401641161,0.9033665924403335,0.9619173647323781,0.9344084867402339
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9552755109055378,0.8473106286889162,0.7907592256503327,0.9552755109055378,0.8863521503699254
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9429738417674075,0.7511645414690086,0.6984807572936065,0.9429738417674075,0.7817627708664695
22,Baseline_use_kan_False,0.9483357720623137,0.7913785056642201,0.7400264804461618,0.9483357720623137,0.8407848761864981
23,Baseline_use_smoe_False,0.9546797408727703,0.8316033424729078,0.7784868803810528,0.9546797408727703,0.8777874072941325
24,Baseline_use_gc_False,0.9181937365583478,0.7024401238240303,0.6923395537373432,0.9181937365583478,0.6783483649924225
25,Baseline_use_lookahead_False,0.932826928805481,0.7715684789742037,0.721606079277059,0.932826928805481,0.828701682994769
26,Baseline,0.9692433720583854,0.9244298158122216,0.8873015873015873,0.9692433720583854,0.9459110710876221
27,Baseline_use_wavelets_False_and_use_fft_False,0.9587290130185573,0.7924988591870722,0.7447321277055275,0.9587290130185573,0.8492436047390904
28,Baseline_use_fft_False,0.9519660411081322,0.7264287683642522,0.6777777777777777,0.9519660411081322,0.7550941662059136
29,Baseline_use_fft_False_and_no_gMLP,0.9448822699492941,0.8447984580060052,0.7956597377329085,0.9448822699492941,0.8775713808476631
30,Baseline_use_wavelets_False,0.9695412570747691,0.9350263746854147,0.9047619047619048,0.9695412570747691,0.9504978973335523
31,Baseline_use_wavelets_False_and_no_gMLP,0.9680518319928507,0.8830967141180673,0.8293814432989691,0.9680518319928507,0.92823652638441
