,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9276948163405424,0.8575091642220127,0.8159823337465447,0.9276948163405424,0.948349898775544
1,Baseline_use_wavelets_False_and_use_fft_False,0.7382852729145212,0.5047917968460089,0.6603492002252557,0.7382852729145212,0.3617189016490633
2,Baseline_use_fft_False,0.8404994850669413,0.6267680681289864,0.6680896597153029,0.8404994850669413,0.496976808015124
3,Baseline_use_fft_False_and_no_gMLP,0.8728830529808902,0.6557931978383085,0.6735987556567689,0.8728830529808902,0.5826878544090395
4,Baseline_use_wavelets_False,0.7674648129076553,0.4848179128158803,0.5735300811962776,0.7674648129076553,0.359766625313915
5,Baseline_use_wavelets_False_and_no_gMLP,0.7269996567112941,0.4764372097761016,0.6637798651644533,0.7269996567112941,0.3584295484533194
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9183115917152992,0.7440052602658351,0.7129878500429032,0.9183115917152992,0.8390037307491581
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9248340771255292,0.8029247246863581,0.7577895486841202,0.9248340771255292,0.9106605136963899
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8281410916580844,0.6171271087416269,0.668264485188878,0.8281410916580844,0.4732607254804349
9,Baseline_use_kan_False,0.9180827325780981,0.7427184691966051,0.7114191484593295,0.9180827325780981,0.8367117667393401
10,Baseline_use_smoe_False,0.839355189380936,0.6263861426033143,0.6691329780690843,0.839355189380936,0.49474444038653714
11,Baseline_use_gc_False,0.750414807186177,0.5189269214056831,0.6617503815229528,0.750414807186177,0.3671116999320847
12,Baseline_use_lookahead_False,0.5096836022428195,0.2945625866846263,0.3387685666289944,0.5096836022428195,0.23396184632854053
13,Baseline,0.9202568943815082,0.7564492597561733,0.7206645312727639,0.9202568943815082,0.8585737426055948
14,Baseline_use_wavelets_False_and_use_fft_False,0.7716987069458748,0.5378217773761267,0.6556262149891442,0.7716987069458748,0.37851837815868633
15,Baseline_use_fft_False,0.8410716329099439,0.6278104273622497,0.6692838268225015,0.8410716329099439,0.4983095710839838
16,Baseline_use_fft_False_and_no_gMLP,0.8742562078040965,0.6565982782830802,0.6727606669941492,0.8742562078040965,0.587228280554011
17,Baseline_use_wavelets_False,0.7565940038906053,0.48132752781118,0.5851260441642278,0.7565940038906053,0.35559426563999463
18,Baseline_use_wavelets_False_and_no_gMLP,0.8279122325208834,0.5290532503402569,0.5280669626946176,0.8279122325208834,0.44747107344071824
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8940525231719877,0.6800491103230377,0.6803640883289157,0.8940525231719877,0.6697112360466906
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.882609566311935,0.6658407942084552,0.675997457617489,0.882609566311935,0.6183213706521891
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.8203598809932485,0.6107030402738812,0.66775865626143,0.8203598809932485,0.45998431648291266
22,Baseline_use_kan_False,0.8307729717358966,0.6192967737505686,0.6684519663780314,0.8307729717358966,0.47803844480388463
23,Baseline_use_smoe_False,0.815668268680627,0.6068125468626059,0.6674839957751627,0.815668268680627,0.4525440248991971
24,Baseline_use_gc_False,0.9130478315596751,0.7207145137683794,0.6989647834859368,0.9130478315596751,0.7918380618660554
25,Baseline_use_lookahead_False,0.8669086034688506,0.6515176149857597,0.6726541722294467,0.8669086034688506,0.5692567105292305
