,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9994034967075103,0.990772681438139,0.9833333333333334,0.9994034967075103,0.9988782912899811
1,Baseline_use_wavelets_False_and_use_fft_False,0.9997759856630825,0.9909593209481102,0.9833333333333334,0.9997759856630825,0.9988786795143472
2,Baseline_use_fft_False,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
3,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
4,Baseline_use_wavelets_False,0.92397321174353,0.7566867338051118,0.7999102333931777,0.739178569394824,0.9944037371762486
5,Baseline_use_wavelets_False_and_no_gMLP,0.9579718052450406,0.8585195980398223,0.8739744228533467,0.8515304935511472,0.997197561076339
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999515503875969,0.9819001386962551,0.96875,0.999515503875969,0.9994389388991111
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
9,Baseline_use_kan_False,0.9994034967075103,0.9948298455596518,0.9905869324473976,0.9994034967075103,0.9988778858410519
10,Baseline_use_smoe_False,0.9998879928315412,0.9999096023278848,0.9999312809235844,0.9998879928315412,0.9994388517476978
11,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
12,Baseline_use_lookahead_False,0.9994034967075103,0.9580002172146163,0.9374312809235844,0.9994034967075103,0.9988777416254591
13,Baseline,1.0,1.0,1.0,1.0,1.0
14,Baseline_use_wavelets_False_and_use_fft_False,0.9991539757876763,0.8843971107412304,0.8809523809523809,0.8881368673668234,0.9971995055683346
15,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
16,Baseline_use_fft_False_and_no_gMLP,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
17,Baseline_use_wavelets_False,0.999515503875969,0.9997229125679705,0.9999312809235844,0.999515503875969,0.9994387972894168
18,Baseline_use_wavelets_False_and_no_gMLP,0.8988502437077917,0.7148376942344139,0.7677675371223758,0.7190801949662333,0.9955149460157561
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
22,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
23,Baseline_use_smoe_False,0.9994034967075103,0.8885927856722514,0.8888278052654084,0.8883586637400092,0.9988777418076933
24,Baseline_use_gc_False,1.0,1.0,1.0,1.0,1.0
25,Baseline_use_lookahead_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
26,Baseline,0.9994034967075103,0.7997610022933683,0.8,0.7995227973660082,0.9988781232616378
27,Baseline_use_wavelets_False_and_use_fft_False,0.9577800803336147,0.8663705912477181,0.8887894160946981,0.8513600714076576,0.9983172091568764
28,Baseline_use_fft_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
29,Baseline_use_fft_False_and_no_gMLP,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
30,Baseline_use_wavelets_False,0.9987059471138412,0.7805378255485469,0.7680334557323542,0.798964757691073,0.9949660003091333
31,Baseline_use_wavelets_False_and_no_gMLP,0.9739622508762504,0.9765714229796405,0.9831526695641811,0.9739622508762504,0.9977555875099469
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
35,Baseline_use_kan_False,0.999515503875969,0.9580906148867314,0.9375,0.999515503875969,0.9994389391103894
36,Baseline_use_smoe_False,1.0,1.0,1.0,1.0,1.0
37,Baseline_use_gc_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
38,Baseline_use_lookahead_False,0.875,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9983177859676622
39,Baseline,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
40,Baseline_use_wavelets_False_and_use_fft_False,0.9990852189119888,0.7074590830293981,0.6924242424242425,0.7266074319359919,0.9966399304727824
41,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
42,Baseline_use_fft_False_and_no_gMLP,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
43,Baseline_use_wavelets_False,0.9994034967075103,0.9994034967075103,0.9994034967075103,0.9994034967075103,0.9988774771744388
44,Baseline_use_wavelets_False_and_no_gMLP,0.9731849835396142,0.7843214400732776,0.7925885663128278,0.7785479868316914,0.9955149001214537
45,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9998879928315412,0.9997021918162138,0.9995173745173745,0.9998879928315412,0.9994390081031739
46,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
47,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,1.0,1.0,1.0,1.0,1.0
48,Baseline_use_kan_False,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
49,Baseline_use_smoe_False,1.0,1.0,1.0,1.0,1.0
50,Baseline_use_gc_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
51,Baseline_use_lookahead_False,0.9994034967075103,0.8884084223904724,0.888458225667528,0.8883586637400092,0.9988778888235309
52,Baseline,0.999515503875969,0.9819001386962551,0.96875,0.999515503875969,0.9994389388991111
53,Baseline_use_wavelets_False_and_use_fft_False,0.9736439730807289,0.7882553032617223,0.7998209489704566,0.7789151784645831,0.9955194460322584
54,Baseline_use_fft_False,0.9998879928315412,0.988580334949676,0.9791666666666667,0.9998879928315412,0.9994390404269837
55,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.7997610022933683,0.8,0.7995227973660082,0.9988781232616378
56,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
57,Baseline_use_wavelets_False_and_no_gMLP,0.999265982956135,0.8805759184353796,0.8739745121465552,0.8882364292943422,0.9977575644678686
58,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999515503875969,0.9997013030491437,0.9998880931065354,0.999515503875969,0.999438840180473
59,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
60,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
61,Baseline_use_kan_False,0.9994034967075103,0.8885927856722514,0.8888278052654084,0.8883586637400092,0.9988777418076933
62,Baseline_use_smoe_False,0.999515503875969,0.9883936451897617,0.9791666666666667,0.999515503875969,0.9994389386879543
63,Baseline_use_gc_False,0.9994034967075103,0.8886233358815203,0.8888888888888888,0.8883586637400092,0.9988782974498956
64,Baseline_use_lookahead_False,1.0,1.0,1.0,1.0,1.0
65,Baseline,1.0,1.0,1.0,1.0,1.0
66,Baseline_use_wavelets_False_and_use_fft_False,0.9996384719117073,0.9905927682977014,0.9827386002273895,0.9996384719117073,0.9977578747423965
67,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
68,Baseline_use_fft_False_and_no_gMLP,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
69,Baseline_use_wavelets_False,0.8824873091210096,0.7180539605136682,0.7684210526315789,0.7059898472968077,0.9949597402448697
70,Baseline_use_wavelets_False_and_no_gMLP,0.9991794823705926,0.7996437405523575,0.7999450247388675,0.7993435858964741,0.9977570947240754
71,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
72,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
73,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
74,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
75,Baseline_use_smoe_False,0.9994034967075103,0.990772681438139,0.9833333333333334,0.9994034967075103,0.9988782912899811
76,Baseline_use_gc_False,0.9994034967075103,0.8845081095440719,0.8809523809523809,0.8883586637400092,0.9988781201783314
77,Baseline_use_lookahead_False,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
78,Baseline,1.0,1.0,1.0,1.0,1.0
79,Baseline_use_wavelets_False_and_use_fft_False,0.8327800803336147,0.8449254787934083,0.8657363079279969,0.8327800803336147,0.9977556964911337
80,Baseline_use_fft_False,1.0,1.0,1.0,1.0,1.0
81,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.990772681438139,0.9833333333333334,0.9994034967075103,0.9988782912899811
82,Baseline_use_wavelets_False,0.9994034967075103,0.8886233358815203,0.8888888888888888,0.8883586637400092,0.9988782974498956
83,Baseline_use_wavelets_False_and_no_gMLP,0.958152569289187,0.961978548935093,0.9765625,0.958152569289187,0.9983182381266505
84,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,1.0,1.0,1.0,1.0,1.0
85,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
86,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.999515503875969,0.9951276519237684,0.9910714285714286,0.999515503875969,0.9994389378445424
87,Baseline_use_kan_False,1.0,1.0,1.0,1.0,1.0
88,Baseline_use_smoe_False,0.999515503875969,0.9997229125679705,0.9999312809235844,0.999515503875969,0.9994387972894168
89,Baseline_use_gc_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
90,Baseline_use_lookahead_False,0.9994034967075103,0.990772681438139,0.9833333333333334,0.9994034967075103,0.9988782912899811
91,Baseline,1.0,1.0,1.0,1.0,1.0
92,Baseline_use_wavelets_False_and_use_fft_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
93,Baseline_use_fft_False,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
94,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.8885927856722514,0.8888278052654084,0.8883586637400092,0.9988777418076933
95,Baseline_use_wavelets_False,1.0,1.0,1.0,1.0,1.0
96,Baseline_use_wavelets_False_and_no_gMLP,0.9583333333333333,0.9703703703703703,0.9910714285714286,0.9583333333333333,0.9994389119795869
97,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9994034967075103,0.8886233358815203,0.8888888888888888,0.8883586637400092,0.9988782974498956
98,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,1.0,1.0,1.0,1.0,1.0
99,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9998879928315412,0.8888390856118333,0.8888888888888888,0.8887893269613699,0.9994390410853732
100,Baseline_use_kan_False,0.9994034967075103,0.8885927856722514,0.8888278052654084,0.8883586637400092,0.9988777418076933
101,Baseline_use_smoe_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
102,Baseline_use_gc_False,0.999515503875969,0.888673139158576,0.8888888888888888,0.888458225667528,0.9994389392160742
103,Baseline_use_lookahead_False,0.9946705426356589,0.8864686468646865,0.8888888888888888,0.884151593453919,0.9938502617606791
104,Baseline,1.0,1.0,1.0,1.0,1.0
105,Baseline_use_wavelets_False_and_use_fft_False,0.9983657475837606,0.799225850767602,0.7997659434699065,0.7986925980670085,0.9971945712475989
106,Baseline_use_fft_False,0.9998879928315412,0.9953143416836827,0.9910714285714286,0.9998879928315412,0.9994390393751391
107,Baseline_use_fft_False_and_no_gMLP,0.9994034967075103,0.8885927856722514,0.8888278052654084,0.8883586637400092,0.9988777418076933
