,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.8305673329295377,0.737677307504183,0.6917758903918073,0.8305673329295377,0.6880745238796612
1,Baseline_use_wavelets_False_and_use_fft_False,0.8200787401574804,0.7458414285049431,0.724021944073396,0.8200787401574804,0.6944882611878432
2,Baseline_use_fft_False,0.8133757318796689,0.7554889060887513,0.7624624211130234,0.8133757318796689,0.6712289536823659
3,Baseline_use_fft_False_and_no_gMLP,0.8426307288512013,0.7348505843901468,0.6758591548772582,0.8426307288512013,0.6930798517448674
4,Baseline_use_wavelets_False,0.8170502725620836,0.7312581242444075,0.6859929504125611,0.8170502725620836,0.7010044179691239
5,Baseline_use_wavelets_False_and_no_gMLP,0.8384514435695539,0.8303616033755276,0.8707797884430457,0.8384514435695539,0.8237031257843439
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.7015647082576217,0.5453836674958787,0.6101182928356276,0.7015647082576217,0.35334600369780517
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8049767817484353,0.7204261117304597,0.7104957950546186,0.8049767817484353,0.6372324969063817
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.812729658792651,0.7374048913792058,0.7341623878608269,0.812729658792651,0.6478427594942294
9,Baseline_use_kan_False,0.8079648697758935,0.7693872690776716,0.768095238095238,0.8079648697758935,0.7165771089285988
10,Baseline_use_smoe_False,0.6926509186351706,0.5475646919686389,0.633914666121368,0.6926509186351706,0.35837370365353766
11,Baseline_use_gc_False,0.8205632949727438,0.7986385202912268,0.7798228633279214,0.8205632949727438,0.8125051643576643
12,Baseline_use_lookahead_False,0.8279527559055119,0.7552323305885231,0.7107404483046015,0.8279527559055119,0.7410127262414009
13,Baseline,0.8384514435695539,0.8115849912498453,0.7987965982819949,0.8384514435695539,0.8203552617615335
14,Baseline_use_wavelets_False_and_use_fft_False,0.8587926509186352,0.8554643313264002,0.8681666666666666,0.8587926509186352,0.8594669961475431
15,Baseline_use_fft_False,0.8175752069452858,0.7312851964014756,0.6832393307389597,0.8175752069452858,0.7018901177115736
16,Baseline_use_fft_False_and_no_gMLP,0.8316172016959419,0.7507978611426888,0.7128107392258336,0.8316172016959419,0.6873529901174478
17,Baseline_use_wavelets_False,0.8311023622047244,0.8066319015489879,0.8430269288478244,0.8311023622047244,0.7621089647852102
18,Baseline_use_wavelets_False_and_no_gMLP,0.8102362204724409,0.774257395994126,0.8209857584857585,0.8102362204724409,0.733727562211617
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.8247627700383605,0.8433148062374557,0.8768986623150979,0.8247627700383605,0.8566485595491135
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8447405612759944,0.7980943497732783,0.7743848986585631,0.8447405612759944,0.7807288344999879
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.7969412477286492,0.7003667033370004,0.650005581176747,0.7969412477286492,0.6535325389714771
22,Baseline_use_kan_False,0.803401978598829,0.7267005767711695,0.7381874962520123,0.803401978598829,0.6300666367141008
23,Baseline_use_smoe_False,0.8316272965879264,0.8004871579459053,0.8206264020217509,0.8316272965879264,0.7695488872719253
24,Baseline_use_gc_False,0.8411972541893803,0.8633165379874961,0.908006370998497,0.8411972541893803,0.8893646626722729
25,Baseline_use_lookahead_False,0.8253280839895014,0.7859608378870674,0.8213747645951036,0.8253280839895014,0.7268251458706939
