,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9701102743893691,0.978067740984418,0.9869144295519233,0.9701102743893691,0.9753135409299146
1,Baseline_use_wavelets_False_and_use_fft_False,0.9736086049928803,0.9784786739146595,0.9837821553027465,0.9736086049928803,0.9755840863467216
2,Baseline_use_fft_False,0.9716292850432975,0.9788774525691862,0.9868917285426742,0.9716292850432975,0.9761557874673802
3,Baseline_use_fft_False_and_no_gMLP,0.9690333808033205,0.977333104727021,0.9865865119790102,0.9690333808033205,0.9745333787900272
4,Baseline_use_wavelets_False,0.9728695133776646,0.9795649617358695,0.986937777562526,0.9728695133776646,0.9768773430232314
5,Baseline_use_wavelets_False_and_no_gMLP,0.9759361188928347,0.980858825572699,0.9862176528179182,0.9759361188928347,0.978207996140691
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9707639836299716,0.9783639262857592,0.9867900333968717,0.9707639836299716,0.9756150424369412
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9692256700062817,0.9774478895574116,0.9866091342456903,0.9692256700062817,0.9746535751150749
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9697063930136848,0.9777345787259147,0.9866656802451214,0.9697063930136848,0.974954053354397
9,Baseline_use_kan_False,0.9700909714196073,0.9779636498218567,0.9867109071720295,0.9700909714196073,0.9751944230360475
10,Baseline_use_smoe_False,0.9703794052240493,0.9781352899670507,0.9867448216530671,0.9703794052240493,0.9753746927810178
11,Baseline_use_gc_False,0.9770701808935116,0.9809671519676556,0.9851888438759863,0.9770701808935116,0.9782805190066307
12,Baseline_use_lookahead_False,0.9702832606225686,0.9780780921118959,0.9867335173681279,0.9702832606225686,0.9753146035811748
13,Baseline,0.9699948268181267,0.9779064053729113,0.9866996012587413,0.9699948268181267,0.9751343316900755
14,Baseline_use_wavelets_False_and_use_fft_False,0.964093771998241,0.9175579286543448,0.8855433799546146,0.964093771998241,0.9010223734025417
15,Baseline_use_fft_False,0.9684661646793176,0.9770404000951686,0.986620895737916,0.9684661646793176,0.9742324007529892
16,Baseline_use_fft_False_and_no_gMLP,0.9746393225952393,0.9806041875240331,0.9871144720093933,0.9746393225952393,0.9777762379518818
17,Baseline_use_wavelets_False,0.971341296649176,0.9467391627656204,0.9260819539724299,0.971341296649176,0.937774480248622
18,Baseline_use_wavelets_False_and_no_gMLP,0.9746253932400006,0.9649197429302947,0.955725138500874,0.9746253932400006,0.9596208980949602
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9740135971105511,0.9801932783761321,0.9869732511840651,0.9740135971105511,0.9775388308144809
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9703794052240493,0.9781352899670507,0.9867448216530671,0.9703794052240493,0.9753746927810178
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9698986822166461,0.9778491453786339,0.9866882948005394,0.9698986822166461,0.9750742396280391
22,Baseline_use_kan_False,0.9743692210618308,0.9802635252535995,0.9867183380146511,0.9743692210618308,0.9776011415834923
23,Baseline_use_smoe_False,0.9720714021111768,0.9789541258071255,0.9865445205050625,0.9720714021111768,0.9762184177710863
24,Baseline_use_gc_False,0.9700223754464457,0.944230274818851,0.9228072143144109,0.9700223754464457,0.9347373551137095
25,Baseline_use_lookahead_False,0.6539159737040523,0.5745723882367756,0.5297494803997678,0.6539159737040523,0.7395735361297535
26,Baseline,0.9654928004012087,0.9753013208669744,0.9863648959494724,0.9654928004012087,0.9723677768443563
27,Baseline_use_wavelets_False_and_use_fft_False,0.9734831356894279,0.9778119300321308,0.9825194403947844,0.9734831356894279,0.9748182307943141
28,Baseline_use_fft_False,0.9702832606225686,0.9780780921118959,0.9867335173681279,0.9702832606225686,0.9753146035811748
29,Baseline_use_fft_False_and_no_gMLP,0.9465242475172557,0.962785769549257,0.9803358781860014,0.9465242475172557,0.9464709428519975
30,Baseline_use_wavelets_False,0.9719667668754628,0.9577668206946228,0.9447833040314674,0.9719667668754628,0.9512104555552268
31,Baseline_use_wavelets_False_and_no_gMLP,0.9716196335584165,0.9788254156713717,0.9867905592055339,0.9716196335584165,0.9760963120658378
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9711389105510134,0.9785402816434846,0.9867339123395927,0.9711389105510134,0.9757958835970579
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.971484883017412,0.9785604143884171,0.9863750532966044,0.971484883017412,0.975798402626074
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.972004211964339,0.9790532452246558,0.98683586687272,0.972004211964339,0.9763366420436573
35,Baseline_use_kan_False,0.9744364112086686,0.9801641337466217,0.9864301221362162,0.9744364112086686,0.9774833528705706
36,Baseline_use_smoe_False,0.9711485620358943,0.9785923147779266,0.9868352365579635,0.9711485620358943,0.9758553806798401
37,Baseline_use_gc_False,0.9684213898068558,0.920909507488763,0.8883076571867696,0.9684213898068558,0.9051818023375572
38,Baseline_use_lookahead_False,0.9688603945701212,0.9773223277612483,0.9867682265346264,0.9688603945701212,0.9745324106072017
39,Baseline,0.9704755498255299,0.9781924723049964,0.9867561253973504,0.9704755498255299,0.9754347812661723
40,Baseline_use_wavelets_False_and_use_fft_False,0.9729133528884536,0.9631558596805198,0.9539201141962023,0.9729133528884536,0.9576292850453036
41,Baseline_use_fft_False,0.9746866093209157,0.9805891339165907,0.9870526539875523,0.9746866093209157,0.9779593075965729
42,Baseline_use_fft_False_and_no_gMLP,0.9699851753332457,0.9778543815317468,0.9865979034202607,0.9699851753332457,0.9750747825092602
43,Baseline_use_wavelets_False,0.9784886039780126,0.9762594370900938,0.9740700730040105,0.9784886039780126,0.9727873439260185
44,Baseline_use_wavelets_False_and_no_gMLP,0.9739427044904247,0.9757184818627533,0.9776506521139439,0.9739427044904247,0.9723694224786317
45,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9709369698631711,0.9783741022020832,0.9866099260783571,0.9709369698631711,0.9756162108541632
46,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9787298911000364,0.9775172771098348,0.9763487522761062,0.9787298911000364,0.9742347629978689
47,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9697063930136848,0.9777345787259147,0.9866656802451214,0.9697063930136848,0.974954053354397
48,Baseline_use_kan_False,0.9721285705258048,0.9783413647401176,0.9851630910059255,0.9721285705258048,0.9755077470121889
49,Baseline_use_smoe_False,0.9707543321450908,0.9783118962080012,0.9866885849381313,0.9707543321450908,0.9755555279980489
50,Baseline_use_gc_False,0.9648898873220609,0.9733966682355323,0.9825276510919264,0.9648898873220609,0.9695740255797444
51,Baseline_use_lookahead_False,0.9705839984969006,0.977612152247579,0.9853247709220622,0.9705839984969006,0.9750149607760146
52,Baseline,0.9672259363449505,0.9763435671827962,0.9865769051142972,0.9672259363449505,0.9735107490430204
53,Baseline_use_wavelets_False_and_use_fft_False,0.9705620429421296,0.9781976105987139,0.986665917910944,0.9705620429421296,0.9754353459163241
