,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9674544385655497,0.9329318368464277,0.9029982363315696,0.9674544385655497,0.9174053150266125
1,Baseline_use_wavelets_False_and_use_fft_False,0.9656907701352145,0.913956872599468,0.8715542521994134,0.9656907701352145,0.8993983852234331
2,Baseline_use_fft_False,0.9591460905349795,0.8347419900361076,0.7737747954805786,0.9591460905349795,0.7899187144948818
3,Baseline_use_fft_False_and_no_gMLP,0.9494179894179894,0.8952715386823914,0.8516636418632789,0.9494179894179894,0.8616036168581785
4,Baseline_use_wavelets_False,0.9737330981775426,0.8828883417330307,0.8247515808491418,0.9737330981775426,0.8575980606394645
5,Baseline_use_wavelets_False_and_no_gMLP,0.9645149911816578,0.9121212121212121,0.8689878705201823,0.9645149911816578,0.886618002923275
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9645149911816578,0.9144695304845034,0.8738095238095238,0.9645149911816578,0.8878843733233898
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9581584362139918,0.9188775529985899,0.8851062007536828,0.9581584362139918,0.8830544915601668
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9449029982363316,0.950228793314837,0.962372992461488,0.9449029982363316,0.9483465878576244
9,Baseline_use_kan_False,0.9225955320399765,0.8441771703643796,0.8051720310765815,0.9225955320399765,0.7449692961086701
10,Baseline_use_smoe_False,0.9381701940035273,0.7851869155399743,0.7112637362637363,0.9381701940035273,0.7347219024635563
11,Baseline_use_gc_False,0.9570605526161081,0.9508415663085023,0.9448967551622419,0.9570605526161081,0.9407283236142405
12,Baseline_use_lookahead_False,0.9509935332157554,0.8232679666624949,0.7603939968719843,0.9509935332157554,0.7773215039271713
13,Baseline,0.9430937683715461,0.9023127828886791,0.8674308202340949,0.9430937683715461,0.8548395664022633
14,Baseline_use_wavelets_False_and_use_fft_False,0.9800117577895356,0.8500208563366458,0.7824463118580766,0.9800117577895356,0.8085112945933854
15,Baseline_use_fft_False,0.9849029982363314,0.9756814832676901,0.9670588235294119,0.9849029982363314,0.970741515108658
16,Baseline_use_fft_False_and_no_gMLP,0.9801998824221047,0.9347028506213463,0.8962962962962964,0.9801998824221047,0.9183541276859124
17,Baseline_use_wavelets_False,0.9552968841857731,0.9409888593118406,0.9322804293342051,0.9552968841857731,0.9221148169932905
18,Baseline_use_wavelets_False_and_no_gMLP,0.9527572016460906,0.8320180336033132,0.7779304029304029,0.9527572016460906,0.792602967025314
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9535655496766609,0.9372852820057789,0.9248015873015873,0.9535655496766609,0.9003896125643536
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8991211052322163,0.8967010845923814,0.8945575482218509,0.8991211052322163,0.8497840760245138
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9216725455614344,0.8707217310856312,0.8344981157930799,0.9216725455614344,0.8271124128444964
22,Baseline_use_kan_False,0.9796119929453262,0.9273017084990233,0.8852201257861635,0.9796119929453262,0.9123782672334869
23,Baseline_use_smoe_False,0.825703997648442,0.8670067663817664,0.9363532763532764,0.825703997648442,0.7904418040881692
24,Baseline_use_gc_False,0.9471766607877719,0.9270287701403905,0.9097294372294372,0.9471766607877719,0.9003466391775642
25,Baseline_use_lookahead_False,0.9813756613756613,0.9415757575757575,0.9076923076923077,0.9813756613756613,0.9307800854412531
26,Baseline,0.9545208700764256,0.8385037179082312,0.7723159696747371,0.9545208700764256,0.8039699331929244
27,Baseline_use_wavelets_False_and_use_fft_False,0.9529453262786597,0.9193979005743711,0.8933333333333334,0.9529453262786597,0.8983891502860576
28,Baseline_use_fft_False,0.968042328042328,0.9389702868440722,0.912983943991696,0.968042328042328,0.9227658899655115
29,Baseline_use_fft_False_and_no_gMLP,0.9523574368018811,0.9065203721971283,0.8680862680862681,0.9523574368018811,0.8912516972301393
30,Baseline_use_wavelets_False,0.9580482069370958,0.8586939357803661,0.7973421926910299,0.9580482069370958,0.8312671487717378
31,Baseline_use_wavelets_False_and_no_gMLP,0.9813756613756613,0.9490385860094598,0.9205387205387204,0.9813756613756613,0.9307495159436641
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9587786596119928,0.9074997283010034,0.8663522012578616,0.9587786596119928,0.8913362824754865
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9315564373897707,0.9051226391461112,0.8833481613285884,0.9315564373897707,0.86229622813055
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.944347442680776,0.9591938558307511,0.9766627213275468,0.944347442680776,0.9392626553940082
35,Baseline_use_kan_False,0.9436493239271017,0.9061580086580086,0.8781492932003344,0.9436493239271017,0.8659209169976668
36,Baseline_use_smoe_False,0.9721575543797766,0.9749796316642988,0.978132611069119,0.9721575543797766,0.9699500138603702
37,Baseline_use_gc_False,0.9801998824221047,0.9425224819703893,0.9103313840155945,0.9801998824221047,0.9183636603857898
38,Baseline_use_lookahead_False,0.9698059964726631,0.9523758584441264,0.9360998179944303,0.9698059964726631,0.9417589181531645
