,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9646392650669201,0.9355070993914807,0.9096296296296296,0.9646392650669201,0.9248652057089921
1,Baseline_use_wavelets_False_and_use_fft_False,0.9782212718777222,0.940443742874682,0.9079685746352414,0.9782212718777222,0.9258708021400904
2,Baseline_use_fft_False,0.9635127108576859,0.8973338639076801,0.8500631313131314,0.9635127108576859,0.86744509133626
3,Baseline_use_fft_False_and_no_gMLP,0.9446820305694147,0.9038017665158496,0.8702309092651145,0.9446820305694147,0.8706843953955735
4,Baseline_use_wavelets_False,0.9782212718777222,0.940443742874682,0.9079685746352414,0.9782212718777222,0.9258708021400904
5,Baseline_use_wavelets_False_and_no_gMLP,0.9619070246297615,0.926441948458689,0.8960875697796848,0.9619070246297615,0.9015603702050987
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9754890314405639,0.9280945472709785,0.8886262148673496,0.9754890314405639,0.9040393697641349
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9526629444840421,0.918484299797267,0.888659695363606,0.9526629444840421,0.8833710840683914
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9547002455056625,0.9595031811174081,0.9687837276878373,0.9547002455056625,0.9557982568894839
9,Baseline_use_kan_False,0.9088896808426387,0.8382261923631397,0.8093044876626966,0.9088896808426387,0.7335292064672028
10,Baseline_use_smoe_False,0.9444662231725668,0.861718904001577,0.8045218087234893,0.9444662231725668,0.829813103945078
11,Baseline_use_gc_False,0.9519680050685039,0.9447386897930921,0.9379014705101661,0.9519680050685039,0.9295534424910898
12,Baseline_use_lookahead_False,0.9482458224439693,0.8499197980992422,0.7929454542447788,0.9482458224439693,0.8078571577742414
13,Baseline,0.9396392650669201,0.9361537474097302,0.9337581023627536,0.9396392650669201,0.8942579810701365
14,Baseline_use_wavelets_False_and_use_fft_False,0.982695810564663,0.893731723638497,0.8368368368368367,0.982695810564663,0.8602662799929058
15,Baseline_use_fft_False,0.9827750059396531,0.9720873114932443,0.9622514324233231,0.9827750059396531,0.9652992099093809
16,Baseline_use_fft_False_and_no_gMLP,0.9791320186901086,0.944733416424318,0.9150157909847833,0.9791320186901086,0.9334519977516149
17,Baseline_use_wavelets_False,0.9510572582561179,0.9396675094156478,0.9335582330218978,0.9510572582561179,0.923264758232207
18,Baseline_use_wavelets_False_and_no_gMLP,0.9655500118793062,0.9397054965236783,0.9163636363636364,0.9655500118793062,0.9325287478938636
19,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9470618515878672,0.9376593329778361,0.9334001296634643,0.9470618515878672,0.8972587232615377
20,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.8948978379662628,0.9127709223224173,0.9335365853658537,0.8948978379662628,0.8632489281853667
21,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.908264037380217,0.8667178227951707,0.8368865261007988,0.908264037380217,0.8160185273191275
22,Baseline_use_kan_False,0.9773105250653362,0.9362427792693842,0.9012345679012346,0.9773105250653362,0.9184452118175873
23,Baseline_use_smoe_False,0.8028787518808902,0.8448666928959493,0.9237522231051575,0.8028787518808902,0.7595732142827571
24,Baseline_use_gc_False,0.963728518254534,0.9371452621042273,0.91392656735699,0.963728518254534,0.9163439856800508
25,Baseline_use_lookahead_False,0.9782212718777222,0.940443742874682,0.9079685746352414,0.9782212718777222,0.9258708021400904
26,Baseline,0.9473350756315831,0.8429052918978756,0.7804421768707482,0.9473350756315831,0.804258601838079
27,Baseline_use_wavelets_False_and_use_fft_False,0.9474142710065733,0.9148678969225759,0.8898550724637682,0.9474142710065733,0.894562579725423
28,Baseline_use_fft_False,0.9646392650669201,0.9412580693727582,0.9203703703703704,0.9646392650669201,0.923943439258213
29,Baseline_use_fft_False_and_no_gMLP,0.9483250178189593,0.9145636155014492,0.8851087873434241,0.9483250178189593,0.9003616552565077
30,Baseline_use_wavelets_False,0.9619070246297615,0.9209442238384832,0.886252045826514,0.9619070246297615,0.9027741965726291
31,Baseline_use_wavelets_False_and_no_gMLP,0.9800427655024947,0.9535943854125671,0.9296969696969697,0.9800427655024947,0.941129488162309
32,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9532212718777223,0.9144205464475169,0.8820598006644519,0.9532212718777223,0.9004593839431082
33,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9220618515878672,0.9135187045085917,0.9060859384147055,0.9220618515878672,0.8668917980598196
34,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9380335788389957,0.9569029162052418,0.9788166214995483,0.9380335788389957,0.9364157345059283
35,Baseline_use_kan_False,0.9363486972360814,0.905303512521748,0.8844857020913359,0.9363486972360814,0.8626088293572083
36,Baseline_use_smoe_False,0.9691929991288508,0.9718410578155569,0.9748969099228996,0.9691929991288508,0.964224691444518
37,Baseline_use_gc_False,0.9773105250653362,0.9412529212572137,0.9103546099290779,0.9773105250653362,0.918458718633008
38,Baseline_use_lookahead_False,0.9664607586916923,0.9510173754000913,0.9367000380747609,0.9664607586916923,0.9390062801518285
