,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline,0.9153756777691712,0.9126659479938585,0.910014098997828,0.9153756777691712,0.9741149633675658
1,Baseline_use_wavelets_False_and_use_fft_False,0.90427317325071,0.8028573602907295,0.7412703380001142,0.90427317325071,0.8588147387336975
2,Baseline_use_fft_False,0.9122773044151821,0.8242912234037045,0.7820289742895107,0.9122773044151821,0.9384751348740935
3,Baseline_use_fft_False_and_no_gMLP,0.9125355021946812,0.8289264913604613,0.7870293834250156,0.9125355021946812,0.9413011985914415
4,Baseline_use_wavelets_False,0.8717832859970738,0.5856266210128505,0.6025616482063905,0.8717832859970738,0.5110214595049085
5,Baseline_use_wavelets_False_and_no_gMLP,0.9255960065410105,0.7251878512074442,0.6999298038509507,0.9255960065410105,0.8146736918409158
6,Baseline_activation_mish_<class 'torch.nn.modules.activation.Mish'>,0.9156338755486703,0.9236650628534102,0.9327417732754061,0.9156338755486703,0.9772710650254136
7,Baseline_activation_gelu_<class 'torch.nn.modules.activation.GELU'>,0.9027239865737154,0.738299225255747,0.7104004687687331,0.9027239865737154,0.8486609318525368
8,Baseline_activation_relu_<class 'torch.nn.modules.activation.ReLU'>,0.9151174799896721,0.8943311104743964,0.8763191540969318,0.9151174799896721,0.9709991112261759
9,Baseline_use_kan_False,0.914859282210173,0.8856543511602477,0.8620330370114369,0.914859282210173,0.9679056722928673
10,Baseline_use_smoe_False,0.9151174799896721,0.9115170467424584,0.9080185848478531,0.9151174799896721,0.9709821297466326
11,Baseline_use_gc_False,0.906855151045701,0.7686842277208802,0.7252624422943148,0.906855151045701,0.883707650257452
12,Baseline_use_lookahead_False,0.813808739994836,0.8584210631491174,0.9207981925569347,0.813808739994836,0.8086422439360076
