,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline_no_gMLP,0.9051521913262387,0.699215465772476,0.6880877318917324,0.9051521913262387,0.7336969852097843
1,Baseline_no_gMLP,0.9230032040279208,0.7808798548218072,0.7383726541785117,0.9230032040279208,0.8886914635903053
2,Baseline_no_gMLP,0.8772313765877103,0.6601284791408278,0.6745675310501905,0.8772313765877103,0.5978543524115534
3,Baseline_no_gMLP,0.9008038677194187,0.6902813250263554,0.6833471973863788,0.9008038677194187,0.7064643523241428
4,Baseline_no_gMLP,0.8899330587023687,0.6745131856027672,0.6785223835711108,0.8899330587023687,0.649805290426684
5,Baseline_no_gMLP,0.9177394438722967,0.7408736626157536,0.71097565600077,0.9177394438722967,0.8334759282786595
6,Baseline_no_gMLP,0.9201424648129076,0.7554769102598291,0.7206900527495566,0.9201424648129076,0.8574411383072094
7,Baseline_no_gMLP,0.9081273601098524,0.706141997675832,0.6913560288968759,0.9081273601098524,0.7541092849371775
8,Baseline_no_gMLP,0.8885599038791624,0.6727874969313504,0.6779850735327168,0.8885599038791624,0.6435447968247775
9,Baseline_no_gMLP,0.8935948048975856,0.6794040082645161,0.6801402235172013,0.8935948048975856,0.6674111532194739
