,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline_no_gMLP,0.8384514435695539,0.8297580755681314,0.8561334366396002,0.8384514435695539,0.8192828393480955
1,Baseline_no_gMLP,0.8380476478901677,0.8370242465327075,0.857012580834803,0.8380476478901677,0.8595465464017684
2,Baseline_no_gMLP,0.85249343832021,0.7983298802175484,0.7575477000965889,0.85249343832021,0.8053317173083773
3,Baseline_no_gMLP,0.8347668079951545,0.7418528246114452,0.6879143313398254,0.8347668079951545,0.7125621101377079
4,Baseline_no_gMLP,0.8326670704623461,0.7778379772961816,0.789140562248996,0.8326670704623461,0.7032133909193814
5,Baseline_no_gMLP,0.8032808398950131,0.729451566951567,0.77308901054339,0.8032808398950131,0.6118352467431273
6,Baseline_no_gMLP,0.829355945891379,0.7542381698413371,0.7098113244823772,0.829355945891379,0.7591178902015903
7,Baseline_no_gMLP,0.8181001413284879,0.7367555711300601,0.6916718202432488,0.8181001413284879,0.7029444363448164
8,Baseline_no_gMLP,0.8358267716535434,0.8205842798597253,0.8588844280881752,0.8358267716535434,0.801855286932744
9,Baseline_no_gMLP,0.834776902887139,0.8168130419236613,0.8544590643274854,0.834776902887139,0.7935083027981037
