,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Baseline_no_gMLP,0.9089207332816938,0.7818432157926848,0.7410849346643468,0.9089207332816938,0.9037640312827737
1,Baseline_no_gMLP,0.9153756777691712,0.9225162621059994,0.9307462597494411,0.9153756777691712,0.9741127114171665
2,Baseline_no_gMLP,0.9091789310611929,0.7830008954147472,0.7431050952499616,0.9091789310611929,0.9063850602207884
3,Baseline_no_gMLP,0.9094371288406919,0.7856839102246328,0.74535776443989,0.9094371288406919,0.9089377976138363
4,Baseline_no_gMLP,0.9140846888716757,0.8630422717379239,0.8286984915113433,0.9140846888716757,0.9587952418895275
5,Baseline_no_gMLP,0.9117609088561839,0.8157133823037713,0.7731392652027572,0.9117609088561839,0.932896479033164
6,Baseline_no_gMLP,0.9140846888716757,0.8630422717379239,0.8286984915113433,0.9140846888716757,0.9587952418895275
7,Baseline_no_gMLP,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
8,Baseline_no_gMLP,0.9158920733281694,0.9248200939658582,0.9347619171908578,0.9158920733281694,0.9804555977493298
9,Baseline_no_gMLP,0.9153756777691712,0.9036915298513154,0.8928030727547634,0.9153756777691712,0.9741216043376423
