,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6382808433746772,0.5103020713814638,0.5299464607273886,0.6382808433746772,0.3019194151136934
1,Transformer-FNET-128,0.6633727458124241,0.5370182959511991,0.4928630417824917,0.6633727458124241,0.42248237907822805
2,Transformer-MHA-64,0.7174527884983649,0.6352897240349084,0.6088254680321499,0.7174527884983649,0.5839118289839839
3,Transformer-MHA-128,0.7741949739268774,0.5187939798340208,0.5256118047779029,0.7741949739268774,0.3479742108142417
4,Transformer-FNET-64,0.6577358447331638,0.5660242423168164,0.585324921962323,0.6577358447331638,0.34454799289173443
5,Transformer-FNET-128,0.55751226729779,0.598929276761805,0.9044516570410323,0.55751226729779,0.6223971171384232
6,Transformer-MHA-64,0.8313373400504768,0.7363011833272056,0.6872179965887614,0.8313373400504768,0.575709708892782
7,Transformer-MHA-128,0.7702758218844009,0.4052387242521169,0.4209939370518454,0.7702758218844009,0.26669801543715727
8,Transformer-FNET-64,0.5845821589789418,0.4901016822414202,0.4805183604782639,0.5845821589789418,0.3355924287194929
9,Transformer-FNET-128,0.596283147891727,0.3710824000330289,0.39465556592617906,0.596283147891727,0.220878449956326
10,Transformer-MHA-64,0.715776776098492,0.3608345101716664,0.40510091743762894,0.715776776098492,0.22272850180035708
11,Transformer-MHA-128,0.7392213089264028,0.47156868053274476,0.5034011406947273,0.7392213089264028,0.28954181707433607
12,Transformer-FNET-64,0.696372513396642,0.5878758115939369,0.5606174322094246,0.696372513396642,0.5266102820654659
13,Transformer-FNET-128,0.7556982784864822,0.5696411003358931,0.5535808426529827,0.7556982784864822,0.4534981210842723
14,Transformer-MHA-64,0.6789323277258933,0.39731423910124725,0.4142429525976348,0.6789323277258933,0.2422958249388013
15,Transformer-MHA-128,0.8200365318327786,0.5902150640718372,0.5886180428065245,0.8200365318327786,0.4587486663457406
