,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.49186128176953864,0.2900496399911187,0.36058291677875437,0.36889596132715397,0.620991500129235
1,Transformer-FNET-128,0.4779060558877073,0.32889707040940797,0.42367877937961623,0.4096337621894634,0.5456978874585223
2,Transformer-MHA-64,0.6561218258465965,0.46222295735894164,0.4448923444976077,0.49209136938494735,0.9714357807999319
3,Transformer-MHA-128,0.5932391852116622,0.2893090796171998,0.30739299610894943,0.27380270086692104,0.8614571115113882
4,Transformer-FNET-64,0.583103882186451,0.31086553440050313,0.3358640686340423,0.388735921457634,0.7535300233647244
5,Transformer-FNET-128,0.5269678333898518,0.2837045271961327,0.3265728021039551,0.35131188892656784,0.7574984789552516
6,Transformer-MHA-64,0.7643879396172975,0.2879669092245918,0.2836930225106144,0.30575517584691897,0.7817009580504526
7,Transformer-MHA-128,0.5696598593387584,0.26321210527031447,0.2631083562901744,0.3107235596393228,0.7962451135610811
8,Transformer-FNET-64,0.4378106518014775,0.2360158886325038,0.28848212363710835,0.2626863910808865,0.6008841942602244
9,Transformer-FNET-128,0.42144923544006113,0.15856855147709847,0.18777316209624528,0.15804346329002295,0.4634801995431959
10,Transformer-MHA-64,0.6286286004175913,0.44486924817113255,0.4278483669108669,0.47147145031319343,0.9007210451923405
11,Transformer-MHA-128,0.5721211934514686,0.4239717951195103,0.43209758396248343,0.4290908950886015,0.7635781406389667
