,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.937671733825863,0.8659775109249583,0.8292220130824223,0.937671733825863,0.8316505556759461
1,Transformer-FNET-128,0.9611579671795266,0.9672791489783742,0.9740281102178465,0.9611579671795266,0.9638255925298101
2,Transformer-MHA-64,0.8690224427688914,0.7339863183248078,0.737761714679796,0.8690224427688914,0.6356650154785248
3,Transformer-MHA-128,0.9076171857814347,0.7990681379442477,0.7756863507268426,0.9076171857814347,0.7391283881537076
4,Transformer-FNET-64,0.9592462190413316,0.9317837351154248,0.9092002237067542,0.9592462190413316,0.920027562446902
5,Transformer-FNET-128,0.8919997483336796,0.7466607399418607,0.7417076762493894,0.8919997483336796,0.6471151504887867
6,Transformer-MHA-64,0.9255003552707084,0.8382377562644939,0.8091963163785331,0.9255003552707084,0.7988392252205533
7,Transformer-MHA-128,0.8732430430309219,0.7305097667428045,0.7403969694537991,0.8732430430309219,0.6302380192431685
8,Transformer-FNET-64,0.9534072499414252,0.9539801621231406,0.9546290437931306,0.9534072499414252,0.9488750993678555
9,Transformer-FNET-128,0.9633966398999582,0.940790971992293,0.9213863886793524,0.9633966398999582,0.9311550123641182
10,Transformer-MHA-64,0.9067154518738136,0.7988920049624912,0.7760622359154136,0.9067154518738136,0.7377654401210724
11,Transformer-MHA-128,0.8351182679569135,0.760966607866609,0.7811045858244458,0.8351182679569135,0.709415791928035
