,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.8414149216157455,0.6274920018200235,0.6680260821181259,0.8414149216157455,0.4980682329399243
1,Transformer-FNET-128,0.9002076079316038,0.6936386350444734,0.6853918201706879,0.9002076079316038,0.7208446901866232
2,Transformer-MHA-64,0.6965184803753289,0.5670299336913934,0.6529854879805029,0.6965184803753289,0.4028243122153723
3,Transformer-MHA-128,0.7704971964755694,0.5883657288043965,0.6611252126308905,0.7704971964755694,0.42884775953402904
4,Transformer-FNET-64,0.9458605103558759,0.7505481697324786,0.7168523550971657,0.9458605103558759,0.8408186526074752
5,Transformer-FNET-128,0.7887311395550324,0.5837737733263066,0.6650952473758148,0.7887311395550324,0.41700467767862326
6,Transformer-MHA-64,0.8783899759697906,0.6244249492594911,0.6661793372319689,0.8783899759697906,0.49537905242988345
7,Transformer-MHA-128,0.8560267601719714,0.5978991831169328,0.6698389984346637,0.8560267601719714,0.4399756530002846
8,Transformer-FNET-64,0.8447333791051608,0.6263963775180724,0.6607080675945175,0.8447333791051608,0.5051171065710924
9,Transformer-FNET-128,0.8456455462377193,0.6217944053744197,0.670128610048629,0.8456455462377193,0.48237789326701436
10,Transformer-MHA-64,0.8445903421444102,0.6086466561427687,0.6677288812686536,0.8445903421444102,0.45959539937323485
11,Transformer-MHA-128,0.7857416670753437,0.5693483182807082,0.6639987227992797,0.7857416670753437,0.39479788622846423
12,Transformer-FNET-64,0.8739811681624245,0.654719647098102,0.6683598688888335,0.8739811681624245,0.5880472203100731
13,Transformer-FNET-128,0.8153470485344841,0.6073040918846444,0.6675561466879464,0.8153470485344841,0.45399497779522796
14,Transformer-MHA-64,0.9573839765909797,0.6873360169472025,0.687919846782723,0.9573839765909797,0.6774663949358382
15,Transformer-MHA-128,0.8035530381050463,0.56106615190788,0.6668803539667277,0.8035530381050463,0.3964708349283664
16,Transformer-FNET-64,0.886729030781554,0.6690425497347556,0.6739128784441916,0.886729030781554,0.6343502149775623
17,Transformer-FNET-128,0.861050626910565,0.6452773514532444,0.6716954039525856,0.861050626910565,0.5488886225920737
18,Transformer-MHA-64,0.7800598303172969,0.5866221209328244,0.6623804407179722,0.7800598303172969,0.4258443355381022
19,Transformer-MHA-128,0.5973652591829729,0.5215362563470212,0.6462070766418593,0.5973652591829729,0.362305852883939
