,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.885239870218307,0.6787584721348612,0.6631812904496557,0.729021069591547,0.9920156894490609
1,Transformer-FNET-128,0.974649973766369,0.8433010243641268,0.8371595873647292,0.8528187270455727,0.9977740632054444
2,Transformer-MHA-64,0.9498989195942845,0.7527499902581682,0.7189906858688033,0.8865723249546655,0.9508496583116886
3,Transformer-MHA-128,0.9755333559322839,0.9626909576317094,0.9568323399800527,0.9755333559322839,0.8397355880942364
4,Transformer-FNET-64,0.905735011271228,0.7241083869947811,0.6889159456035686,0.7925181348623245,0.9942863331962216
5,Transformer-FNET-128,0.9551649819864441,0.8001869568951042,0.7879990021487631,0.8357693592381386,0.9977120336945597
6,Transformer-MHA-64,0.9498941588896563,0.8200304228263915,0.7989041679907553,0.8865678816303458,0.9752772683084547
7,Transformer-MHA-128,0.8614584613282111,0.6533260083005098,0.6871355267665589,0.8040278972396637,0.6067704633084136
8,Transformer-FNET-64,0.8843507272632111,0.6351318335394728,0.6370518859721374,0.6878283434269419,0.9907565675891548
9,Transformer-FNET-128,0.9191229149440814,0.787788693521716,0.7961078011129608,0.8042325505760712,0.9972168661889143
10,Transformer-MHA-64,0.8341805513546777,0.6723178867554247,0.7185513994510602,0.7785685145976993,0.6456510382779235
11,Transformer-MHA-128,0.8784689596600709,0.7338669898358338,0.7607002351752388,0.8199043623493995,0.882905654278313
12,Transformer-FNET-64,0.8958507456251041,0.7032151038113748,0.6828442273381535,0.7838694024219662,0.9904422209909878
13,Transformer-FNET-128,0.9944199229833913,0.8463385399209562,0.8355460541376911,0.8701174326104674,0.9990098589632086
14,Transformer-MHA-64,0.9442946923079306,0.913968663105164,0.9158475118913781,0.9442946923079306,0.9975246550180533
15,Transformer-MHA-128,0.9086745135366303,0.6968490522385301,0.7059035141983755,0.7950901993445516,0.7020245280983199
16,Transformer-FNET-64,0.8631269348710019,0.6093690125518426,0.608035338330197,0.6713209493441126,0.9821851829541347
17,Transformer-FNET-128,0.8891124713212697,0.7344412283658459,0.7135598003773271,0.7779734124061108,0.9949040491629848
18,Transformer-MHA-64,0.7926679800610581,0.5431408600743507,0.5966028664471773,0.7398234480569876,0.5445490617445643
19,Transformer-MHA-128,0.838732019350266,0.4503425380018565,0.4303891923467647,0.6907204865237485,0.6436409898650296
20,Transformer-FNET-64,0.9036202668736167,0.6379362089700921,0.6182277807733443,0.7028157631239241,0.9881842147212331
21,Transformer-FNET-128,0.9216586523642789,0.7322835246544417,0.7238823850505096,0.806451320818744,0.9905598024117398
22,Transformer-MHA-64,0.9414211526362699,0.7578110347453142,0.7485861316938767,0.8237435085567362,0.9914634145779931
23,Transformer-MHA-128,0.963799771769419,0.8549949341410773,0.8358359786756709,0.8995464536514578,0.9421766810465652
24,Transformer-FNET-64,0.936153714950715,0.7681366107493719,0.7445690956312063,0.8191345005818758,0.994810837498295
25,Transformer-FNET-128,0.9584210543899331,0.8303583743114129,0.8159711089985063,0.8945263174306042,0.9969704916426985
26,Transformer-MHA-64,0.864258445982042,0.5554459457742036,0.5607014171939717,0.7562261402342869,0.6723275100593303
27,Transformer-MHA-128,0.8891113405065666,0.522954937416399,0.46308177055033933,0.6915310426162186,0.9759642137344147
28,Transformer-FNET-64,0.8896785154758496,0.6715171467928749,0.643162955461862,0.7784687010413684,0.9887933045259438
29,Transformer-FNET-128,0.9732569722154985,0.8786512181230852,0.8702891863493077,0.9083731740677986,0.9984531884420416
30,Transformer-MHA-64,0.8525131095017232,0.5573990743965693,0.5385068531022693,0.7459489708140078,0.47924990981255744
31,Transformer-MHA-128,0.8552853395420162,0.7524736453562887,0.8031500507711291,0.8552853395420162,0.6105631658002241
32,Transformer-FNET-64,0.9422900792026911,0.7210132962308045,0.7014354675987328,0.7760035946375102,0.9940405392410344
33,Transformer-FNET-128,0.943441922654493,0.8117377073616711,0.8044212979371603,0.8255116823226811,0.9959552297928908
34,Transformer-MHA-64,0.9684839313428849,0.8903759258795271,0.8913274972663741,0.9684839313428849,0.784332710097658
35,Transformer-MHA-128,0.9501800348970436,0.7781037833585775,0.7364022980287911,0.9501800348970436,0.8892093019863515
36,Transformer-FNET-64,0.9102803449806706,0.6745668093226067,0.6412226725417948,0.7496426370429051,0.991218854013047
37,Transformer-FNET-128,0.9744561523433746,0.7794649638706358,0.7689564944304619,0.8024933019298378,0.9969410634709001
38,Transformer-MHA-64,0.8753113810040395,0.620972423048032,0.5792896130646463,0.7658974583785345,0.5794697099226783
39,Transformer-MHA-128,0.9183273626192404,0.8088930061252824,0.8085899560615069,0.8571055384446244,0.9967201570573261
