,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.6184493929080137,0.23670083039912382,0.22702485249418916,0.30922469645400685,0.7944475296036647
1,Transformer-FNET-128,0.803972980503948,0.3353151973315227,0.3406010373923574,0.45941313171654174,0.8313094321711134
2,Transformer-MHA-64,0.8107108563444492,0.34058036306882605,0.3341913445948754,0.498898988519661,0.7306998151457453
3,Transformer-MHA-128,0.9101360529901452,0.7312715806392928,0.7163052008883464,0.8090098248801291,0.7117065382748277
4,Transformer-FNET-64,0.6008270413789027,0.273464674857528,0.2777646604547526,0.3004135206894514,0.8817632252381761
5,Transformer-FNET-128,0.8602158223136642,0.3931218960972765,0.36557757718472006,0.49155189846495106,0.7599733349382642
6,Transformer-MHA-64,0.6455075719932776,0.306484860031115,0.36860761498295147,0.39723542891894004,0.8395366391336564
7,Transformer-MHA-128,0.728427457048319,0.40742492858842133,0.4641005756762799,0.4856183046988793,0.5431746019015651
8,Transformer-FNET-64,0.6376145219187508,0.22820045579618822,0.22365197086899274,0.3188072609593754,0.8057822389776035
9,Transformer-FNET-128,0.6767758140506186,0.4073748099398969,0.3992514928925772,0.49220059203681343,0.9041433288075766
10,Transformer-MHA-64,0.6019769984384901,0.3227760041743199,0.4185891533907867,0.3210543991671947,0.5661603654790094
11,Transformer-MHA-128,0.7476310671346436,0.5417481052810058,0.582557928747753,0.6645609485641276,0.6822655612447049
12,Transformer-FNET-64,0.641662254148838,0.29480266259604326,0.2950271283549987,0.36666414522790747,0.7935784612515013
13,Transformer-FNET-128,0.720778734128823,0.4089153623900596,0.4601281803075037,0.4805191560858819,0.8095903353465272
14,Transformer-MHA-64,0.811304959950955,0.5513312905453017,0.5508670428131355,0.5900399708734217,0.9636662722867216
15,Transformer-MHA-128,0.6079446572102534,0.35726043954425973,0.4775898849727493,0.44214156888018424,0.5221003851435947
16,Transformer-FNET-64,0.5926401543582138,0.30663058496674556,0.30054777298165913,0.3647016334512085,0.896108336779138
17,Transformer-FNET-128,0.6483366640879564,0.32255370517532217,0.34814791512287424,0.3704780937645466,0.6819784981374867
18,Transformer-MHA-64,0.48107279025265326,0.22548356963747584,0.28669713976868005,0.2960447940016328,0.4591514766801407
19,Transformer-MHA-128,0.5077228354435651,0.24624101191878192,0.29307760141093475,0.2901273345391801,0.47412150605363407
20,Transformer-FNET-64,0.5933100893114875,0.24506717573675676,0.24511696638466246,0.31643204763279337,0.7911177926082509
21,Transformer-FNET-128,0.6593626002337091,0.359554382499092,0.36540287642939906,0.40576160014382096,0.737374885062081
22,Transformer-MHA-64,0.7246896465643449,0.4479227221122232,0.4343531760930155,0.4831264310428966,0.8614667162963936
23,Transformer-MHA-128,0.8476295621728483,0.5166149368462615,0.5463827292725026,0.5216181921063682,0.6635793366261057
24,Transformer-FNET-64,0.8489640847632574,0.3907323380659056,0.3705905042429342,0.48512233415043277,0.9425819491651294
25,Transformer-FNET-128,0.8730590587479314,0.41619075806659517,0.39255128666510486,0.5820393724986209,0.8272749952276208
26,Transformer-MHA-64,0.5855012639298438,0.32118810980458695,0.364968814968815,0.36030847011067313,0.5338544200454622
27,Transformer-MHA-128,0.5668296508945718,0.24801171672706293,0.2538935286217895,0.323902657654041,0.8881569696058953
