,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.96243332645181,0.9705444454134494,0.9798527882887434,0.96243332645181,0.9642898091590928
1,Transformer-FNET-128,0.9638597868038797,0.9718002591526121,0.9808722821984164,0.9638597868038797,0.9658135048344596
2,Transformer-MHA-64,0.9670306695120914,0.9712239132932066,0.9759216942046133,0.9670306695120914,0.9648802904677811
3,Transformer-MHA-128,0.9628197393683452,0.9719739727823454,0.9824960345072103,0.9628197393683452,0.9659569270075181
4,Transformer-FNET-64,0.9630948976708438,0.9676683506791691,0.9727892364221992,0.9630948976708438,0.9606096865815804
5,Transformer-FNET-128,0.964171740531158,0.972383616385624,0.9817390280118081,0.964171740531158,0.9665687383776229
6,Transformer-MHA-64,0.9647925275461148,0.9715768123314875,0.9793246393694394,0.9647925275461148,0.9653772740734967
7,Transformer-MHA-128,0.9721653684424644,0.9767422075064877,0.9819252799141774,0.9721653684424644,0.9718791646537942
8,Transformer-FNET-64,0.959681005797203,0.9675114081084196,0.9763346586732115,0.959681005797203,0.961061938212787
9,Transformer-FNET-128,0.9635154310269457,0.9705086563831175,0.9784484884675709,0.9635154310269457,0.9642966257078799
10,Transformer-MHA-64,0.9668100529262432,0.9738520682173121,0.9818738180647698,0.9668100529262432,0.9681139803831409
11,Transformer-MHA-128,0.9731339962091758,0.9759558065492978,0.9791913603409484,0.9731339962091758,0.9707785058029376
12,Transformer-FNET-64,0.961890268490056,0.9703637389609826,0.9800841039302485,0.961890268490056,0.9642824101323838
13,Transformer-FNET-128,0.9625346832184061,0.9698217571338201,0.9781006678905365,0.9625346832184061,0.9635282575228566
14,Transformer-MHA-64,0.9681052676089429,0.9737577957330243,0.9800380131864953,0.9681052676089429,0.9681088779113066
15,Transformer-MHA-128,0.9643381215854868,0.9730418724999909,0.9829960280115791,0.9643381215854868,0.9671021313271289
16,Transformer-FNET-64,0.9611746593588486,0.9691885380921602,0.9783625656775691,0.9611746593588486,0.9629129547580273
17,Transformer-FNET-128,0.9661067031061195,0.971771833940482,0.9781538564665823,0.9661067031061195,0.965611721182921
18,Transformer-MHA-64,0.961927342453346,0.9706882407333023,0.9807221065068106,0.961927342453346,0.9643526034288354
19,Transformer-MHA-128,0.9657269816007147,0.9730074955023883,0.981282629695726,0.9657269816007147,0.9671151336661695
20,Transformer-FNET-64,0.9622508140072806,0.9685254618485434,0.9756362533223433,0.9622508140072806,0.9618714959563459
21,Transformer-FNET-128,0.9674411606739522,0.9712092426390798,0.9754350322980315,0.9674411606739522,0.9647398650535308
22,Transformer-MHA-64,0.9689743962682246,0.9720118077998886,0.9753715352089701,0.9689743962682246,0.9660357164453798
23,Transformer-MHA-128,0.9668998160245632,0.9728708880611884,0.9795837560040025,0.9668998160245632,0.9668974409866335
