,Model,Balanced Accuracy,F1-Score (Macro),Precision (Macro),Recall (Macro),MCC
0,Transformer-FNET-64,0.9737756108300611,0.9620436571878825,0.953840818891148,0.9737756108300611,0.9963924043499024
1,Transformer-FNET-128,0.9763392306984654,0.9649899297841577,0.9602209500290486,0.9763392306984654,0.9984516950406445
2,Transformer-MHA-64,0.9966255425578843,0.981027359118535,0.9669133405641589,0.9966255425578843,0.9981305112213706
3,Transformer-MHA-128,0.9840975138355925,0.9728262582008758,0.9650974664966872,0.9840975138355925,0.9981941710388268
4,Transformer-FNET-64,0.9516624783928095,0.945076021277615,0.9479925076902317,0.9516624783928095,0.9961958723343686
5,Transformer-FNET-128,0.9695448446854275,0.9669227694743441,0.9654434435885619,0.9695448446854275,0.9969058288552809
6,Transformer-MHA-64,0.9613806293533054,0.9570309916301905,0.9589364427646506,0.9613806293533054,0.9954298769151022
7,Transformer-MHA-128,0.9975145171163022,0.9980969958581727,0.9987113104836453,0.9975145171163022,0.9998063706031254
8,Transformer-FNET-64,0.9967338296829626,0.9838627950694,0.9720466814646466,0.9967338296829626,0.9977439406211182
9,Transformer-FNET-128,0.9972755670772331,0.9925998844527891,0.988086278993654,0.9972755670772331,0.9989036319460323
10,Transformer-MHA-64,0.9966585412065682,0.9825360951387854,0.9712471921481856,0.9966585412065682,0.995182262853427
11,Transformer-MHA-128,0.9868584942553275,0.9872067380816847,0.9876087774276034,0.9868584942553275,0.9987092599041781
12,Transformer-FNET-64,0.9959852991501693,0.9936424171879241,0.9915007336478858,0.9959852991501693,0.9994837231366679
13,Transformer-FNET-128,0.9968008741484069,0.9685538802328245,0.9460141728134762,0.9968008741484069,0.9972936694003524
14,Transformer-MHA-64,0.997373910785329,0.9955854073872538,0.9938922488532071,0.997373910785329,0.9996773214731597
15,Transformer-MHA-128,0.9999335667921889,0.9957655275864467,0.9917092171812902,0.9999335667921889,0.9994838330301778
16,Transformer-FNET-64,0.9911795256042016,0.9766878316128876,0.9647925335309058,0.9911795256042016,0.9976791545984786
17,Transformer-FNET-128,0.9808125719616458,0.9622604469382973,0.9527323929423355,0.9808125719616458,0.9981298552292498
18,Transformer-MHA-64,0.9642764454082491,0.9696979344996426,0.9827534660583902,0.9642764454082491,0.9978719289582605
19,Transformer-MHA-128,0.964160882140567,0.9503522124201326,0.9535025305062439,0.964160882140567,0.997936526570042
20,Transformer-FNET-64,0.9616334866709013,0.967163242766883,0.9794836977740936,0.9616334866709013,0.9974206710526979
21,Transformer-FNET-128,0.958223812387015,0.9368161769973342,0.9280387709998654,0.958223812387015,0.9963261416738995
22,Transformer-MHA-64,0.9642279266060113,0.9705939424186805,0.9815533367955798,0.9642279266060113,0.9974852380879261
23,Transformer-MHA-128,0.9920027668238036,0.990413333078444,0.9892374707166094,0.9920027668238036,0.9993546959856745
24,Transformer-FNET-64,0.9970418283346277,0.9848605274237539,0.9739728854514846,0.9970418283346277,0.9990323362716043
25,Transformer-FNET-128,0.9972173074100363,0.9826506601806329,0.9689606618739849,0.9972173074100363,0.9984527008817303
26,Transformer-MHA-64,0.9973736495646048,0.9965538757661617,0.9958010999155087,0.9973736495646048,0.9996772943247372
27,Transformer-MHA-128,0.9831532821008029,0.9831617228516184,0.9848506911443179,0.9831532821008029,0.99716408786505
28,Transformer-FNET-64,0.9926645777463291,0.9879443756115731,0.9835174685610514,0.9926645777463291,0.9981294759989237
29,Transformer-FNET-128,0.9927955641266261,0.9727280903530703,0.9561035384193577,0.9927955641266261,0.9978080456501202
30,Transformer-MHA-64,0.9606264850348099,0.9405199134739068,0.9342241859585787,0.9606264850348099,0.9905187739762071
31,Transformer-MHA-128,0.9787520396094508,0.984076824741925,0.9911086620666195,0.9787520396094508,0.9983229422466952
32,Transformer-FNET-64,0.9611727688264202,0.9406009778324399,0.9415210925394728,0.9611727688264202,0.9970991294359557
33,Transformer-FNET-128,0.9953998884306805,0.9783359304340178,0.9641379367494474,0.9953998884306805,0.9981947901565097
34,Transformer-MHA-64,0.9990701699554256,0.9947944645152097,0.9906728602657411,0.9990701699554256,0.9993548223722963
35,Transformer-MHA-128,0.5776268986662918,0.5257544347201029,0.6610369478195333,0.5776268986662918,0.9758327434120317
36,Transformer-FNET-64,0.9909808088447676,0.9866859052187371,0.982494982995003,0.9909808088447676,0.998903307967442
37,Transformer-FNET-128,0.993218872871287,0.9864388678009074,0.9799784195679793,0.993218872871287,0.9984522173934801
38,Transformer-MHA-64,0.993124942356357,0.9954808531419582,0.9980612434459967,0.993124942356357,0.9995482618101961
39,Transformer-MHA-128,0.9640380178106283,0.9692587882198376,0.9825909770184579,0.9640380178106283,0.9969716015808626
